model,group,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen2_5_vl_7b,ALL/I,0.8136304062909567,0.0050043660658030025,0.36440626024081707,0.004724175898833673
qwen2_5_vl_7b,ALL/I+S,0.8352067432477579,0.0031500688157480774,0.41645504312376463,0.010689363094043445
qwen2_5_vl_7b,ALL/S,0.8275332151209108,0.005307669863431338,0.34960630924845176,0.009478111307324582
qwen2_5_vl_7b,PVG/I,0.8533754786318197,0.0009475132855702765,0.4383706232248635,0.008273023582633016
qwen2_5_vl_7b,PVG/I+S,0.8714311412638449,0.0054685176815321345,0.4698745935935554,0.015680288074479055
qwen2_5_vl_7b,PVG/S,0.861146660499062,0.003559117017899835,0.4230467795572708,0.006107641981291653
llava_1_5_7b,ALL/I,0.8679632401130774,0.0014741453276528376,0.6163857708637205,0.0010843000683449986
llava_1_5_7b,ALL/I+S,0.8855981388554678,0.0011063210955215184,0.6524919662695958,0.00015956807748670237
llava_1_5_7b,ALL/S,0.8740711395434522,0.0011521283014487556,0.6290465394614478,0.0023579962439495864
llava_1_5_7b,PVG/I,0.901222884121907,0.00039089526195995844,0.686886315816909,0.005393377539915335
llava_1_5_7b,PVG/I+S,0.9052815030013727,0.0007925178059406888,0.705470559702437,0.0012984691775490796
llava_1_5_7b,PVG/S,0.9024651687518137,0.0007108384414345807,0.7074944258528618,0.001658213448098744
qwen3_vl_8b,ALL/I,0.8493498622589531,0.0025344347826086714,0.5597247710307999,0.00569241119476546
qwen3_vl_8b,ALL/I+S,0.8902214876033057,0.0020507825535151757,0.6516084228979112,0.008386316126249953
qwen3_vl_8b,ALL/S,0.8818909090909091,0.0015897034535810924,0.6193207798527715,0.009882316041491427
qwen3_vl_8b,PVG/I,0.9054424242424242,0.0019185753377940467,0.6789574054488474,0.007175692501622991
qwen3_vl_8b,PVG/I+S,0.9188771349862259,0.0015745264797319815,0.7101608814621535,0.004121684327453994
qwen3_vl_8b,PVG/S,0.9134611570247934,0.0006256760567333906,0.6939499653752609,0.002264067872653734
internvl_2_5_8b,ALL/I,0.8344254867939078,0.002793789020019963,0.4396539789687524,0.005720734657146677
internvl_2_5_8b,ALL/I+S,0.8770647773279352,0.001844135699306014,0.5559379291352939,0.009109019755984759
internvl_2_5_8b,ALL/S,0.8549652978600347,0.0022885148497805924,0.5157655271086491,0.009438401314716223
internvl_2_5_8b,PVG/I,0.8771669558511664,0.0023040309091306105,0.5736609961413741,0.004277652811947289
internvl_2_5_8b,PVG/I+S,0.887494698284172,0.001308923998372699,0.6019700398083868,0.003305183215592732
internvl_2_5_8b,PVG/S,0.8843464430306535,0.0012600570958420292,0.592738432466925,0.006987569803854142
