comparison,difference,high,images_with_mentions,low,metric,model,support,test_images,valid_replicates
S minus I,0.007771181867242238,0.024319844479607902,361,-0.008447613652500536,AUROC,qwen2_5_vl_7b,PVG,400,2000
S minus I,-0.015323843667592651,0.0369299765686854,361,-0.05612038742111894,HALL_AUPR,qwen2_5_vl_7b,PVG,400,2000
I+S minus I,0.018055662632025182,0.0335733429237773,361,0.003473500324362555,AUROC,qwen2_5_vl_7b,PVG,400,2000
I+S minus I,0.0315039703686919,0.0711437610370852,361,-0.005788111373692622,HALL_AUPR,qwen2_5_vl_7b,PVG,400,2000
I+S minus S,0.010284480764782944,0.02179975858518053,361,-0.0014673138051492479,AUROC,qwen2_5_vl_7b,PVG,400,2000
I+S minus S,0.046827814036284554,0.08606818501388445,361,-0.0025656993634398982,HALL_AUPR,qwen2_5_vl_7b,PVG,400,2000
S minus I,0.013902808829954094,0.04660715812105201,361,-0.013003100272616405,AUROC,qwen2_5_vl_7b,ALL,400,2000
S minus I,-0.014799950992365307,0.05499876568716534,361,-0.08400899688765305,HALL_AUPR,qwen2_5_vl_7b,ALL,400,2000
I+S minus I,0.021576336956801168,0.03610627647818532,361,0.008206854230136135,AUROC,qwen2_5_vl_7b,ALL,400,2000
I+S minus I,0.052048782882947564,0.10800158150111114,361,-0.004068297314643804,HALL_AUPR,qwen2_5_vl_7b,ALL,400,2000
I+S minus S,0.007673528126847073,0.027694111026196025,361,-0.01450586872678106,AUROC,qwen2_5_vl_7b,ALL,400,2000
I+S minus S,0.06684873387531287,0.11005387332828209,361,0.020503456433565312,HALL_AUPR,qwen2_5_vl_7b,ALL,400,2000
S minus I,0.0012422846299067203,0.0077118008620297735,398,-0.005923248708918744,AUROC,llava_1_5_7b,PVG,400,2000
S minus I,0.020608110035952865,0.04340047735247575,398,-0.005084110100212852,HALL_AUPR,llava_1_5_7b,PVG,400,2000
I+S minus I,0.004058618879465681,0.009259997549823389,398,-0.0014117263941641172,AUROC,llava_1_5_7b,PVG,400,2000
I+S minus I,0.01858424388552804,0.03647670377556178,398,0.0008763183505970497,HALL_AUPR,llava_1_5_7b,PVG,400,2000
I+S minus S,0.0028163342495589605,0.007148662378399831,398,-0.0013341172433316423,AUROC,llava_1_5_7b,PVG,400,2000
I+S minus S,-0.0020238661504248245,0.011096228516733194,398,-0.013926450935566919,HALL_AUPR,llava_1_5_7b,PVG,400,2000
S minus I,0.006107899430374819,0.01638859135537669,398,-0.004662135694750005,AUROC,llava_1_5_7b,ALL,400,2000
S minus I,0.012660768597727357,0.04633266264017287,398,-0.020324496458938128,HALL_AUPR,llava_1_5_7b,ALL,400,2000
I+S minus I,0.017634898742390437,0.027009487250111108,398,0.008732126901343345,AUROC,llava_1_5_7b,ALL,400,2000
