comparison,difference,high,images_with_mentions,low,metric,model,support,test_images,valid_replicates
I+S minus I,0.03610619540587534,0.06560384322986401,398,0.00795727492177869,HALL_AUPR,llava_1_5_7b,ALL,400,2000
I+S minus S,0.011526999312015618,0.018903065614910033,398,0.004452983055146862,AUROC,llava_1_5_7b,ALL,400,2000
I+S minus S,0.023445426808147984,0.04295035410333766,398,0.000235065369199386,HALL_AUPR,llava_1_5_7b,ALL,400,2000
S minus I,0.008018732782369198,0.018004899495342112,396,-0.0016205125678578403,AUROC,qwen3_vl_8b,PVG,400,2000
S minus I,0.014992559926413462,0.04861395279229881,396,-0.020533165789684543,HALL_AUPR,qwen3_vl_8b,PVG,400,2000
I+S minus I,0.013434710743801759,0.02020754716405066,396,0.006670845184884253,AUROC,qwen3_vl_8b,PVG,400,2000
I+S minus I,0.031203476013306086,0.05610754857647728,396,0.006383154073201056,HALL_AUPR,qwen3_vl_8b,PVG,400,2000
I+S minus S,0.005415977961432561,0.011538111247316735,396,-0.0003615661366928785,AUROC,qwen3_vl_8b,PVG,400,2000
I+S minus S,0.016210916086892624,0.03605801748455064,396,-0.0015809953674313813,HALL_AUPR,qwen3_vl_8b,PVG,400,2000
S minus I,0.03254104683195591,0.05129375078097659,396,0.013141614703144358,AUROC,qwen3_vl_8b,ALL,400,2000
S minus I,0.05959600882197158,0.10391464623249307,396,0.020147608114844034,HALL_AUPR,qwen3_vl_8b,ALL,400,2000
I+S minus I,0.040871625344352513,0.05472843178918794,396,0.026587516495400174,AUROC,qwen3_vl_8b,ALL,400,2000
I+S minus I,0.09188365186711134,0.12539630583794098,396,0.05846146385029993,HALL_AUPR,qwen3_vl_8b,ALL,400,2000
I+S minus S,0.008330578512396603,0.020822496780594887,396,-0.00338461984474912,AUROC,qwen3_vl_8b,ALL,400,2000
I+S minus S,0.03228764304513976,0.06142422696130876,396,-0.000413743308684733,HALL_AUPR,qwen3_vl_8b,ALL,400,2000
S minus I,0.007179487179487021,0.01833590397610522,390,-0.0039195865809726945,AUROC,internvl_2_5_8b,PVG,400,2000
S minus I,0.019077436325550923,0.058947785546573844,390,-0.021174385401308372,HALL_AUPR,internvl_2_5_8b,PVG,400,2000
I+S minus I,0.010327742433005604,0.018705940064284804,390,0.0024044919722924717,AUROC,internvl_2_5_8b,PVG,400,2000
I+S minus I,0.0283090436670127,0.05687011379531233,390,-0.0018654357055207626,HALL_AUPR,internvl_2_5_8b,PVG,400,2000
I+S minus S,0.0031482552535185837,0.010230976464839947,390,-0.0036308572912233353,AUROC,internvl_2_5_8b,PVG,400,2000
I+S minus S,0.009231607341461778,0.03234638864554651,390,-0.0147144231351724,HALL_AUPR,internvl_2_5_8b,PVG,400,2000
S minus I,0.0205398110661269,0.042390394364014754,390,-0.0009509236937875975,AUROC,internvl_2_5_8b,ALL,400,2000
S minus I,0.07611154813989668,0.1351507111275384,390,0.016919753044829566,HALL_AUPR,internvl_2_5_8b,ALL,400,2000
I+S minus I,0.042639290534027374,0.06160123171668098,390,0.025827077417122014,AUROC,internvl_2_5_8b,ALL,400,2000
I+S minus I,0.11628395016654153,0.16506208227412747,390,0.0682282952484048,HALL_AUPR,internvl_2_5_8b,ALL,400,2000
I+S minus S,0.022099479467900474,0.035692692684085404,390,0.009703476537142847,AUROC,internvl_2_5_8b,ALL,400,2000
I+S minus S,0.04017240202664485,0.08727987665838696,390,-0.005769310507277389,HALL_AUPR,internvl_2_5_8b,ALL,400,2000
