model,split,metric,region,label,n,layer,mean,median,q25,q75
shikra_7b,train,raw_attention,BOS,0,3135,1,0.019830554853263273,0.01863420009613037,0.016001522541046143,0.022834956645965576
shikra_7b,train,raw_attention,BOS,0,3135,2,0.01954393294867146,0.019005537033081055,0.01700371503829956,0.021138280630111694
shikra_7b,train,raw_attention,BOS,0,3135,3,0.01648166775822259,0.016381263732910156,0.015273958444595337,0.01753208041191101
shikra_7b,train,raw_attention,BOS,0,3135,4,0.23854885215394234,0.23513221740722656,0.2135295867919922,0.26065826416015625
shikra_7b,train,raw_attention,BOS,0,3135,5,0.23660452354467656,0.2324535846710205,0.20636463165283203,0.26184141635894775
shikra_7b,train,raw_attention,BOS,0,3135,6,0.2810927098590221,0.2764549255371094,0.24659061431884766,0.31037211418151855
shikra_7b,train,raw_attention,BOS,0,3135,7,0.2737267685801599,0.26959991455078125,0.2401413917541504,0.30332422256469727
shikra_7b,train,raw_attention,BOS,0,3135,8,0.2927802419358273,0.2895088195800781,0.25719547271728516,0.3245677947998047
shikra_7b,train,raw_attention,BOS,0,3135,9,0.2676013169438835,0.26358699798583984,0.2354574203491211,0.29575204849243164
shikra_7b,train,raw_attention,BOS,0,3135,10,0.24438729126012307,0.2393568754196167,0.2098369598388672,0.273576483130455
shikra_7b,train,raw_attention,BOS,0,3135,11,0.27519578574852127,0.27084779739379883,0.23981380462646484,0.3055849075317383
shikra_7b,train,raw_attention,BOS,0,3135,12,0.25650052029692955,0.25217676162719727,0.21991759538650513,0.28929901123046875
shikra_7b,train,raw_attention,BOS,0,3135,13,0.24352417943770424,0.24096441268920898,0.20877398550510406,0.2736246585845947
shikra_7b,train,raw_attention,BOS,0,3135,14,0.23669891896430384,0.23203444480895996,0.2011500597000122,0.26820263266563416
shikra_7b,train,raw_attention,BOS,0,3135,15,0.2534061699630351,0.2497318983078003,0.21615076065063477,0.2861447334289551
shikra_7b,train,raw_attention,BOS,0,3135,16,0.22103950519833648,0.21687644720077515,0.18719938397407532,0.24970127642154694
shikra_7b,train,raw_attention,BOS,0,3135,17,0.25157158506924265,0.2475295066833496,0.21689867973327637,0.2823028564453125
shikra_7b,train,raw_attention,BOS,0,3135,18,0.21975953106247068,0.2141520380973816,0.18544548749923706,0.24893935024738312
shikra_7b,train,raw_attention,BOS,0,3135,19,0.24356327766056457,0.23903191089630127,0.20565174520015717,0.2767585813999176
shikra_7b,train,raw_attention,BOS,0,3135,20,0.2160940282153741,0.2118091583251953,0.18130703270435333,0.244531087577343
shikra_7b,train,raw_attention,BOS,0,3135,21,0.23388966910148923,0.23001056909561157,0.20121829211711884,0.2632461339235306
shikra_7b,train,raw_attention,BOS,0,3135,22,0.23112964659834212,0.2244563102722168,0.19219017028808594,0.2636301517486572
shikra_7b,train,raw_attention,BOS,0,3135,23,0.2940787514240928,0.2888984680175781,0.2529207468032837,0.3299778699874878
shikra_7b,train,raw_attention,BOS,0,3135,24,0.2072329645664498,0.2018752098083496,0.1683337688446045,0.2402779459953308
shikra_7b,train,raw_attention,BOS,0,3135,25,0.24754680002990523,0.24336066842079163,0.2034461498260498,0.2870039641857147
shikra_7b,train,raw_attention,BOS,0,3135,26,0.29591655941766226,0.29320913553237915,0.25196388363838196,0.3356871008872986
shikra_7b,train,raw_attention,BOS,0,3135,27,0.2628959039728227,0.2588934302330017,0.21840015053749084,0.30148492753505707
shikra_7b,train,raw_attention,BOS,0,3135,28,0.26919679233427063,0.26574039459228516,0.22436678409576416,0.3087696433067322
shikra_7b,train,raw_attention,BOS,0,3135,29,0.25117159504116626,0.2454007863998413,0.20585742592811584,0.290372371673584
shikra_7b,train,raw_attention,BOS,0,3135,30,0.2573445895238166,0.25309959053993225,0.22077631950378418,0.2899898290634155
shikra_7b,train,raw_attention,BOS,0,3135,31,0.27446930182227297,0.2721174359321594,0.24014711380004883,0.3045809715986252
shikra_7b,train,raw_attention,BOS,0,3135,32,0.193503892497773,0.19097119569778442,0.16647697985172272,0.2191404402256012
