model,feature,mean_auroc,std_auroc,mean_hall_aupr,std_hall_aupr,ensemble_auroc,ensemble_hall_aupr
llava_1_5_7b,old_hpre_cos__hpre_raw_logit_gauss__sqrt_matched_state__risk_ev,0.8881412922043586,0.001421812473487456,0.6561748771893198,0.0059758283329339615,0.8934014456258215,0.668118787110274
llava_1_5_7b,old_hpre_risk_sqrt_plus_ev_plus_jacobian_S,0.8930874685227103,0.002437239775307217,0.6756636784200264,0.004282654807392177,0.9028812391012326,0.6946695533003322
internvl_2_5_8b,old_hpre_cos__hpre_raw_logit_gauss__sqrt_matched_state__risk_ev,0.8488245409781784,0.004339478572954749,0.5028266848553632,0.0025221480299368834,0.8566851895367592,0.5228193426000229
internvl_2_5_8b,old_hpre_risk_sqrt_plus_ev_plus_jacobian_S,0.8667448169787338,0.0021367103785366257,0.5461719164122502,0.012492946687405849,0.8747456554479134,0.5655885003462565
