model,training,hall_to_real_row_weight_ratio,auroc_mean,auroc_std,hall_aupr_mean,hall_precision_mean,hall_recall_mean,hall_f1_mean,fixed_0_5_hall_precision_mean,fixed_0_5_hall_recall_mean,fixed_0_5_hall_f1_mean
llava_1_5_7b,unweighted,3.433765298776098,0.8881412922043586,0.001421812473487456,0.6561748771893198,0.6321112647695789,0.6577338975082275,0.6443318119851602,0.6202026678620663,0.690644099670898,0.6513815218012674
llava_1_5_7b,sqrt_hall_weight,3.433765298776098,0.8892092966546342,0.0021189648435591163,0.6568110075702563,0.6415818289193195,0.6356370474847203,0.6379175694162381,0.5480770798703972,0.8279266572637517,0.6584818550696893
llava_1_5_7b,dhcp_sampler,3.433765298776098,0.8891786223938695,0.00127161079605451,0.6570142465595996,0.6523993591301694,0.6168312176774801,0.6339241590088195,0.5137569578915188,0.8796426892336625,0.6484885597037705
internvl_2_5_8b,unweighted,5.732232591529074,0.8488245409781784,0.004339478572954749,0.5028266848553632,0.5409563074291043,0.4128686327077748,0.4663106679776561,0.5068334987128198,0.49151027703306527,0.4845086811469473
internvl_2_5_8b,sqrt_hall_weight,5.732232591529074,0.8480397000024923,0.004696508132463507,0.5097670129937243,0.5275466596895169,0.43699731903485256,0.47787467637980335,0.43802904350768196,0.6970509383378015,0.5329491463972871
internvl_2_5_8b,dhcp_sampler,5.732232591529074,0.8460053886331349,0.00670861946908449,0.5060565923197808,0.5281385281385281,0.4700625558534406,0.49731040623069994,0.4488306005922036,0.674709562109026,0.5359043394043789
