model,feature,head,mean_auroc,std_auroc,mean_hall_f1,mean_hall_aupr,ensemble_auroc,ensemble_hall_aupr
llava_1_5_7b,old_risk_ev,current_3layer_torch_mlp,0.8881412922043586,0.001421812473487456,0.6443318119851602,0.6561748771893198,0.8934014456258215,0.668118787110274
llava_1_5_7b,old_risk_ev,svar_native,0.8828794989639238,0.0012148386130934235,0.5933302045900802,0.6377287883287638,0.8839054468805725,0.6391088241398516
llava_1_5_7b,old_risk_ev,svar_native_h128,0.8815838490564,0.0015879242391100717,0.5823725554182145,0.6341108226081228,0.8829368926279334,0.6355268489773889
llava_1_5_7b,old_risk_ev,metatoken_lr,0.8745984131568271,0.0,0.5791139240506329,0.6186061845832468,0.8745984131568271,0.6186043623266847
llava_1_5_7b,old_risk_ev,metatoken_gb,0.8734171647375644,2.457287377206528e-05,0.5433813096890704,0.6260631661507601,0.8734258461321204,0.6260803429343146
llava_1_5_7b,old_risk_ev_s,current_3layer_torch_mlp,0.8930874685227103,0.002437239775307217,0.6589499218162387,0.6756636784200264,0.9028812391012326,0.6946695533003322
llava_1_5_7b,old_risk_ev_s,svar_native,0.887272863368933,0.0006645522248490433,0.5851807117518524,0.6641277934008586,0.8881222895962746,0.6653810701503993
llava_1_5_7b,old_risk_ev_s,svar_native_h128,0.8857653874342409,0.0014553778752986407,0.5600505753359387,0.6585438762467658,0.8873522498991512,0.6607566886621352
llava_1_5_7b,old_risk_ev_s,metatoken_lr,0.8808299181691751,1.1102230246251565e-16,0.556836902800659,0.6461426561419602,0.880829918169175,0.6461433859107485
llava_1_5_7b,old_risk_ev_s,metatoken_gb,0.8889007213081358,1.2277345921472725e-05,0.6137071651090342,0.6758655533604297,0.8889047726255952,0.6758764152462828
internvl_2_5_8b,old_risk_ev,current_3layer_torch_mlp,0.8488245409781784,0.004339478572954749,0.4663106679776561,0.5028266848553632,0.8566851895367592,0.5228193426000229
internvl_2_5_8b,old_risk_ev,svar_native,0.8227494401304521,0.0008837122842570365,0.2953428350393409,0.4662717448487958,0.8236631223096889,0.46838958801621317
internvl_2_5_8b,old_risk_ev,svar_native_h128,0.8170350323460402,0.001616480172159053,0.2696439719586698,0.44611361996958365,0.8180154716255621,0.4470427309710261
internvl_2_5_8b,old_risk_ev,metatoken_lr,0.8185508635698492,1.1102230246251565e-16,0.2682926829268293,0.4364454974376017,0.8185515311408521,0.4364454974376017
internvl_2_5_8b,old_risk_ev,metatoken_gb,0.8120162335466,3.301759359522499e-05,0.3758873126094146,0.4681511720160835,0.8120126731679183,0.4681667690379029
internvl_2_5_8b,old_risk_ev_s,current_3layer_torch_mlp,0.8667448169787338,0.0021367103785366257,0.5108167390076118,0.5461719164122502,0.8747456554479134,0.5655885003462565
internvl_2_5_8b,old_risk_ev_s,svar_native,0.8514236174159485,0.0015629102148694955,0.32497879499901705,0.5059637331739643,0.8519374245644766,0.5062860303090834
internvl_2_5_8b,old_risk_ev_s,svar_native_h128,0.8457752991608188,0.004036334031875187,0.2970126389333381,0.49105658252996776,0.8470027397113957,0.4953249681052712
internvl_2_5_8b,old_risk_ev_s,metatoken_lr,0.8394698685152152,1.1102230246251565e-16,0.28857715430861725,0.47253910934175075,0.8394698685152153,0.4725391093417507
internvl_2_5_8b,old_risk_ev_s,metatoken_gb,0.840995045733064,7.886258872799428e-06,0.42285611347384416,0.5182753277583965,0.8410052818217746,0.5184531608972217
