model,head,auroc_mean,auroc_std,hall_aupr_mean,hall_precision_mean,hall_recall_mean,hall_f1_mean,fixed_0_5_hall_precision_mean,fixed_0_5_hall_recall_mean,fixed_0_5_hall_f1_mean
llava_1_5_7b,one_output_bce,0.8891786223938695,0.00127161079605451,0.6570142465595996,0.6523993591301694,0.6168312176774801,0.6339241590088195,0.5137569578915188,0.8796426892336625,0.6484885597037705
llava_1_5_7b,two_output_cross_entropy,0.8872704518704451,0.002080649311462729,0.6611063768811459,0.6363411337262329,0.6314057357780912,0.6336705244482091,0.556349838055846,0.8128819934179597,0.6600745240381577
internvl_2_5_8b,one_output_bce,0.8460053886331349,0.00670861946908449,0.5060565923197808,0.5281385281385281,0.4700625558534406,0.49731040623069994,0.4488306005922036,0.674709562109026,0.5359043394043789
internvl_2_5_8b,two_output_cross_entropy,0.8463069082027564,0.0028732906016786476,0.5008541071103734,0.5272851034690066,0.44325290437890974,0.48127640357035667,0.45309834481474764,0.6881143878462913,0.5447423485001671
