model,feature,display,dimensions,auroc_mean,auroc_std,hall_aupr_mean,hall_f1_mean
llava_1_5_7b,union_i_only,Union I only,32,0.8734710858437514,0.0006497186521478468,0.6410573080142798,0.581208487386781
llava_1_5_7b,union_r_only,Union R only,32,0.8788864433078891,0.0011362115486165144,0.6519946497532688,0.6041256891445289
llava_1_5_7b,union_s_only,Union S only,32,0.8748939664114915,0.002045180443204787,0.6259401275942086,0.6079126459422125
llava_1_5_7b,union_i_r_s,Union I + R + S,96,0.884852297646821,0.0012891213434114562,0.6503735718557085,0.6270907428699731
llava_1_5_7b,old_risk_ev,Original risk + EV,64,0.8881412922043586,0.001421812473487456,0.6561748771893198,0.6443318119851602
llava_1_5_7b,old_risk_ev_union_i,Original risk + EV + Union I,96,0.8888875062964225,0.000824836528897882,0.6677132549791778,0.6580518107552065
llava_1_5_7b,old_risk_ev_union_r,Original risk + EV + Union R,96,0.8932968830513905,0.0009012451663494944,0.6630033766903924,0.6387301242760327
llava_1_5_7b,old_risk_ev_union_s,Original risk + EV + Union S,96,0.8917933619742185,0.0013123836642860056,0.6723790235961888,0.6401991545181188
llava_1_5_7b,old_risk_ev_union_i_r_s,Original risk + EV + Union I + R + S,160,0.8948703375847087,0.0023042865958099066,0.6700137322095209,0.6498029979962022
llava_1_5_7b,jffn_risk_ev,P_JFFN risk + EV,64,0.8767172521881456,0.004153255875248113,0.6594440994810403,0.6117402605826092
llava_1_5_7b,jffn_risk_ev_union_i,P_JFFN risk + EV + Union I,96,0.8835421787483706,0.00042418470896850747,0.6679289222593764,0.6123746266198052
llava_1_5_7b,jffn_risk_ev_union_r,P_JFFN risk + EV + Union R,96,0.8875408290808968,0.000623102703637516,0.6647902317779856,0.621673916269407
llava_1_5_7b,jffn_risk_ev_union_s,P_JFFN risk + EV + Union S,96,0.8882783617784048,0.005210596944449495,0.6739355309705068,0.6209829706052586
llava_1_5_7b,jffn_risk_ev_union_i_r_s,P_JFFN risk + EV + Union I + R + S,160,0.8908675394747835,0.0006337208512067335,0.6740852776061118,0.6335134552547884
internvl_2_5_8b,union_i_only,Union I only,32,0.8274429093278362,0.0031855446033683486,0.4766354415926486,0.3607880407394492
internvl_2_5_8b,union_r_only,Union R only,32,0.8329007473234853,0.0037986157378463816,0.48410273352213834,0.2874818042482938
internvl_2_5_8b,union_s_only,Union S only,32,0.8484905329530849,0.0010191663657524528,0.5215117865023869,0.37406584139031956
internvl_2_5_8b,union_i_r_s,Union I + R + S,96,0.8544109976537104,0.004652785588528876,0.5202762261297492,0.4316762229200333
internvl_2_5_8b,old_risk_ev,Original risk + EV,64,0.8488245409781784,0.004339478572954749,0.5028266848553632,0.4663106679776561
internvl_2_5_8b,old_risk_ev_union_i,Original risk + EV + Union I,96,0.8498979951507643,0.002931319248602387,0.5201556915395534,0.43300417514626127
internvl_2_5_8b,old_risk_ev_union_r,Original risk + EV + Union R,96,0.8596901491442631,0.002624072551272979,0.5330084754383583,0.45901738592542873
internvl_2_5_8b,old_risk_ev_union_s,Original risk + EV + Union S,96,0.8666050721154702,0.00152474253023474,0.5522891253107645,0.500021077925089
internvl_2_5_8b,old_risk_ev_union_i_r_s,Original risk + EV + Union I + R + S,160,0.8670196337082413,0.0024420388648562054,0.5457173805454835,0.4902787369506811
internvl_2_5_8b,jffn_risk_ev,P_JFFN risk + EV,64,0.8405252982707241,0.0028010446129329044,0.4837685650235089,0.4785269025538261
internvl_2_5_8b,jffn_risk_ev_union_i,P_JFFN risk + EV + Union I,96,0.8460191851005273,0.0032544026060333676,0.5087503590799035,0.41482443596342317
internvl_2_5_8b,jffn_risk_ev_union_r,P_JFFN risk + EV + Union R,96,0.8567530592553824,0.0027422456234488177,0.5190594867472504,0.458674769210331
internvl_2_5_8b,jffn_risk_ev_union_s,P_JFFN risk + EV + Union S,96,0.8524470037633204,0.0029567545606383056,0.5085626258379065,0.4822226567677133
internvl_2_5_8b,jffn_risk_ev_union_i_r_s,P_JFFN risk + EV + Union I + R + S,160,0.8625424575157815,0.001021125736141989,0.5322817266856555,0.4807062934013626
