model,feature,mean_auroc,std_auroc,mean_hall_f1,mean_hall_aupr,ensemble_auroc,ensemble_hall_aupr
llava_1_5_7b,old_risk_ev,0.8881412922043586,0.001421812473487456,0.6443318119851602,0.6561748771893198,0.8934014456258215,0.668118787110274
llava_1_5_7b,old_risk_ev_s,0.8930874685227103,0.002437239775307217,0.6589499218162387,0.6756636784200264,0.9028812391012326,0.6946695533003322
llava_1_5_7b,s_times_risk_ev,0.8908933907385724,0.00024662631656111706,0.6400645457252717,0.6729318315944504,0.8956965169666281,0.6849880334872058
internvl_2_5_8b,old_risk_ev,0.8488245409781784,0.004339478572954749,0.4663106679776561,0.5028266848553632,0.8566851895367592,0.5228193426000229
internvl_2_5_8b,old_risk_ev_s,0.8667448169787338,0.0021367103785366257,0.5108167390076118,0.5461719164122502,0.8747456554479134,0.5655885003462565
internvl_2_5_8b,s_times_risk_ev,0.8512774193663238,0.004706657246128224,0.4635735724153946,0.5113331508146971,0.8596745724875299,0.5278814405268887
