model,display_model,label,branch,layers,n_images_min,n_targets_min,vv_cosine,vv_p90_minus_p10,vv_centered_cosine,cosine_cost_mean,cosine_cost_p90_minus_p10,sqrt_cost_mean,sqrt_cost_p90_minus_p10,qv_cosine,qv_p90_minus_p10,qv_centered_cosine,qv_entropy,qv_max_over_uniform,qv_top1_minus_bottom,union_size,intersection_size
internvl_2_5_8b,InternVL-2.5-8B,all,hmid_cos__hpre_raw_logit_gauss,32,500,1346,0.496350587554081,0.3609375,0.09616685055298554,0.4992086109670182,0.3486049695487238,0.4920018312956791,0.17827088804811264,0.4270435964247254,0.21218750000000003,0.1313946734866745,0.8771320041064083,6.083676814751451,0.31972711400648,56.186496924603176,7.813503075396825
internvl_2_5_8b,InternVL-2.5-8B,all,hmid_cos__hpre_softmax_prob_gauss,32,500,1346,0.4927043295292483,0.3631249999999999,0.0961831674953034,0.5027603966319822,0.35083711119890476,0.4937169260411147,0.17886398294557193,0.4258369144612314,0.21406249999999993,0.13352941567104412,0.8759365814841678,6.125566136554854,0.3227474080002928,56.46899615575397,7.531003844246031
internvl_2_5_8b,InternVL-2.5-8B,all,hpre_cos__hpre_raw_logit_gauss,32,500,1346,0.4978441594942409,0.360625,0.10097663246369705,0.4974310487646949,0.3483143221390316,0.49106713597737256,0.17841845614254664,0.42891593174630943,0.2115625,0.135591458748979,0.8790588846257148,5.9764008995558795,0.3178196439851789,55.568857514880946,8.431142485119047
internvl_2_5_8b,InternVL-2.5-8B,all,hpre_cos__hpre_softmax_prob_gauss,32,500,1346,0.49426270256580307,0.3628125000000001,0.10107722850600923,0.5009122601275762,0.3504892318213909,0.49274730360216595,0.17899176851530374,0.427710989068597,0.21343750000000006,0.13772749176509722,0.87783931887306,6.019210653327823,0.32071950134953947,55.81654350198413,8.183456498015872
internvl_2_5_8b,InternVL-2.5-8B,hall,hmid_cos__hpre_raw_logit_gauss,32,186,242,0.49140559712556386,0.3671875000000001,0.08571697327051489,0.5063456352155882,0.3468494868703774,0.49572560180455955,0.17591212204720919,0.41047966258319146,0.208125,0.10948407523801992,0.8936728427004683,5.402823399196255,0.3072134931233176,56.899921594982075,7.100078405017921
internvl_2_5_8b,InternVL-2.5-8B,hall,hmid_cos__hpre_softmax_prob_gauss,32,186,242,0.48805066156546467,0.36624999999999996,0.08605542681444867,0.5097073669547021,0.3488191472115262,0.4973128522258906,0.17644244887211813,0.4095591490877134,0.2109375,0.11259633344233926,0.8927627953156616,5.428975043389078,0.3100816100231192,57.10132728494624,6.898672715053763
internvl_2_5_8b,InternVL-2.5-8B,hall,hpre_cos__hpre_raw_logit_gauss,32,186,242,0.4927428239561454,0.3659375,0.0900079696534867,0.5048098876184407,0.3465859197082639,0.49492938635239914,0.17601684103319315,0.4120750413417453,0.20781249999999996,0.11318997981524032,0.8951167881371968,5.321338793477812,0.3054559602352914,56.36224798387097,7.637752016129031
internvl_2_5_8b,InternVL-2.5-8B,hall,hpre_cos__hpre_softmax_prob_gauss,32,186,242,0.4894489451018986,0.3659375,0.0904432885834348,0.5080998954276377,0.34852886627533375,0.496480864961715,0.1765388003807502,0.41115321898815993,0.20937499999999998,0.11628801985981164,0.894176833083566,5.346491128608157,0.30827434854129226,56.526467293906805,7.47353270609319
internvl_2_5_8b,InternVL-2.5-8B,real,hmid_cos__hpre_raw_logit_gauss,32,444,1104,0.49747149292264553,0.36124999999999996,0.09880879411811821,0.49754271369389186,0.3483134259466948,0.4911898345015721,0.17843063924033997,0.4307467605435982,0.21124999999999994,0.1378929358714015,0.8720419187733557,6.278950684195015,0.3239715300020548,55.985811397334835,8.014188602665165
internvl_2_5_8b,InternVL-2.5-8B,real,hmid_cos__hpre_softmax_prob_gauss,32,444,1104,0.4937617584120261,0.36156249999999995,0.09878068612359717,0.5011086914429598,0.3504681057902854,0.49292507194117346,0.17897316276117337,0.4294658823828066,0.2146875000000001,0.13981528101635382,0.8708153491609932,6.325355718242804,0.326819457119066,56.29888451509545,7.701115484904547
internvl_2_5_8b,InternVL-2.5-8B,real,hpre_cos__hpre_raw_logit_gauss,32,444,1104,0.4990066403565465,0.3596875,0.10371063301145533,0.495722032451053,0.34802839799705676,0.4902298993201572,0.17859436201238266,0.4326888973949777,0.2115625000000001,0.14222620466478117,0.8740906299906932,6.1649706801513755,0.32205288248932695,55.34903558692621,8.650964413073789
internvl_2_5_8b,InternVL-2.5-8B,real,hpre_cos__hpre_softmax_prob_gauss,32,444,1104,0.4953629915622202,0.3615625,0.10376414285596297,0.4992172407337475,0.3501182066019928,0.49193017946211415,0.17911503382715555,0.4314102866846111,0.21437499999999998,0.14415013735634843,0.8728337652810704,6.213246083125927,0.3247667073755497,55.62825018098456,8.371749819015443
qwen2_5_vl_7b,Qwen2.5-VL-7B,all,hmid_cos__hpre_raw_logit_gauss,28,500,1120,0.5605195663905584,0.3750000000000001,0.11206566693092034,0.4292559942231596,0.34059295075450635,0.45278608451509206,0.19096028914318802,0.5024404232515914,0.2510714285714285,0.1261349355916933,0.8776193417718824,5.63952693205047,0.34199654218989883,57.6810030612245,6.31899693877551
qwen2_5_vl_7b,Qwen2.5-VL-7B,all,hmid_cos__hpre_softmax_prob_gauss,28,500,1120,0.5590892346110797,0.382857142857143,0.11837030774758861,0.4309223389139031,0.34686857498021795,0.45361136969385196,0.19401317028315335,0.5023714248108394,0.25357142857142856,0.141561389999349,0.8760313091030891,5.625575502536998,0.3521598691070705,57.78010059523808,6.219899404761905
qwen2_5_vl_7b,Qwen2.5-VL-7B,all,hpre_cos__hpre_raw_logit_gauss,28,500,1120,0.5606048302929858,0.3760714285714287,0.11476644462153715,0.4283950171809922,0.3400905837165583,0.4522039057648329,0.19091148310904565,0.5032112930029042,0.25107142857142856,0.12790094562763193,0.8786054760772404,5.590284359640633,0.341504559398203,57.42931437074829,6.5706856292517015
qwen2_5_vl_7b,Qwen2.5-VL-7B,all,hpre_cos__hpre_softmax_prob_gauss,28,500,1120,0.5592327788405053,0.38464285714285706,0.12126463107032504,0.4300151782365959,0.34625090900828714,0.4529865151760276,0.19392259684614843,0.5031120726238789,0.25499999999999984,0.14319780619508268,0.8770682480546589,5.573708843479118,0.3516152696914972,57.48756947278912,6.512430527210883
qwen2_5_vl_7b,Qwen2.5-VL-7B,hall,hmid_cos__hpre_raw_logit_gauss,28,125,153,0.5422290154983573,0.38642857142857134,0.10091093747322226,0.4515734506370056,0.3470090914680844,0.4650351803402106,0.18997504492955553,0.47926253537012986,0.24678571428571416,0.1098692122106334,0.8796265807038264,5.63405284215155,0.33632058458367275,58.070285714285724,5.929714285714285
qwen2_5_vl_7b,Qwen2.5-VL-7B,hall,hmid_cos__hpre_softmax_prob_gauss,28,125,153,0.5403846039955099,0.3932142857142856,0.10736761610602427,0.4538999247579348,0.3524012783084596,0.4662156301921322,0.19244415725128994,0.47841387518108475,0.2514285714285714,0.12463317749729719,0.8766977567516622,5.676745768490292,0.34592577891938747,58.13342857142857,5.866571428571428
qwen2_5_vl_7b,Qwen2.5-VL-7B,hall,hpre_cos__hpre_raw_logit_gauss,28,125,153,0.5419014575222788,0.38785714285714284,0.10305953092418522,0.451341130836379,0.3464731148626833,0.46483246223699476,0.1897614155092408,0.4797692851448235,0.24785714285714283,0.11184977459756122,0.8803127505566393,5.591090171093032,0.33580057968394394,57.86785714285713,6.132142857142857
qwen2_5_vl_7b,Qwen2.5-VL-7B,hall,hpre_cos__hpre_softmax_prob_gauss,28,125,153,0.5402225805576629,0.39464285714285713,0.10972355132080458,0.45359070942302543,0.3518193727962317,0.4659613218818392,0.19222422294886343,0.47892808693988087,0.25250000000000006,0.12651116228979525,0.8773563783381667,5.631246847283272,0.345404832766347,57.87790476190476,6.122095238095239
qwen2_5_vl_7b,Qwen2.5-VL-7B,real,hmid_cos__hpre_raw_logit_gauss,28,451,967,0.563467798756442,0.3742857142857145,0.11386113059152285,0.4259139316475447,0.3389435225595623,0.451003114762715,0.19069916538185666,0.5061393450733139,0.2496428571428571,0.12916504218230387,0.8774826542742177,5.647295524938603,0.34288138722658285,57.62821790578761,6.371782094212408
qwen2_5_vl_7b,Qwen2.5-VL-7B,real,hmid_cos__hpre_softmax_prob_gauss,28,451,967,0.5620948438859329,0.3810714285714286,0.1201218234806508,0.4274602270214493,0.34546414547812065,0.4517620331056988,0.193905469130687,0.506188925738872,0.254642857142857,0.14470673339755138,0.8761084662366775,5.623006824616415,0.3532415269514182,57.73895613677844,6.2610438632215635
qwen2_5_vl_7b,Qwen2.5-VL-7B,real,hpre_cos__hpre_raw_logit_gauss,28,451,967,0.5636277086561269,0.3753571428571429,0.11663514355960483,0.42494282837882297,0.3384615127177282,0.45035360222262183,0.19068922052681037,0.5069559165480092,0.2485714285714285,0.1308665180698743,0.8785269493898195,5.59697030958858,0.34240528429695055,57.366775268865865,6.63322473113414
qwen2_5_vl_7b,Qwen2.5-VL-7B,real,hpre_cos__hpre_softmax_prob_gauss,28,451,967,0.5622952103564253,0.3810714285714286,0.12308659325020332,0.42645092537236057,0.34485470854963424,0.4510725613741789,0.193847571516933,0.5069689336874644,0.2557142857142856,0.14627375795550052,0.8772139228031473,5.570637547191035,0.3527136163427732,57.43869349291823,6.561306507081767
qwen3_vl_8b,Qwen3-VL-8B,all,hmid_cos__hpre_raw_logit_gauss,36,500,1753,0.6097087746562075,0.3366666666666667,0.11597061277146456,0.38555667163316937,0.3174920469834944,0.4295265563484156,0.1848817604318651,0.5289559269297607,0.235,0.13432433628156148,0.8963884981711742,5.389941778638551,0.3598971019249107,57.55134808201058,6.448651917989419
qwen3_vl_8b,Qwen3-VL-8B,all,hmid_cos__hpre_softmax_prob_gauss,36,500,1753,0.6110974118829533,0.33638888888888885,0.11830743946563523,0.3840936161533852,0.3163597620952399,0.4286834575115294,0.18439744999712565,0.5297610347248871,0.23611111111111105,0.13914997558541892,0.8970197339325789,5.369365349880486,0.3544509583925115,57.38269320987654,6.617306790123457
qwen3_vl_8b,Qwen3-VL-8B,all,hpre_cos__hpre_raw_logit_gauss,36,500,1753,0.6084942894328257,0.33722222222222226,0.11475199523237894,0.38655528095969033,0.31696475985102845,0.4300630701877295,0.1844639883021773,0.5291376755695407,0.2352777777777777,0.13252873032382786,0.8963064382776174,5.356287877039511,0.3598931916427033,57.024939704585535,6.975060295414464
qwen3_vl_8b,Qwen3-VL-8B,all,hpre_cos__hpre_softmax_prob_gauss,36,500,1753,0.6098537457454145,0.3375,0.11680702552881456,0.3851098862202448,0.3159086440723097,0.4292220836662629,0.18402186921541752,0.5299365096194559,0.23583333333333323,0.13732427182563012,0.8969445218199569,5.335592174491802,0.3543770692523953,56.83919620811287,7.160803791887125
qwen3_vl_8b,Qwen3-VL-8B,hall,hmid_cos__hpre_raw_logit_gauss,36,232,344,0.6058661530373048,0.3413888888888889,0.10701479492068364,0.3918540167533061,0.3186550257416171,0.4333288857624729,0.1837198979450249,0.5211755947920111,0.23138888888888887,0.12342604813363324,0.9085462478057293,4.813628745276009,0.3547774076650837,57.61591834291187,6.384081657088122
qwen3_vl_8b,Qwen3-VL-8B,hall,hmid_cos__hpre_softmax_prob_gauss,36,232,344,0.6070239168241085,0.34111111111111114,0.1098711613823447,0.390569040473101,0.31774294554710253,0.4325768419429612,0.18331680384798793,0.5219030007548706,0.2302777777777778,0.12866125694433717,0.9090179664022165,4.801210514121091,0.350458918009609,57.4176245210728,6.582375478927204
qwen3_vl_8b,Qwen3-VL-8B,hall,hpre_cos__hpre_raw_logit_gauss,36,232,344,0.6043122509604754,0.3411111111111113,0.10518727095116193,0.3932277741755738,0.3180521382582118,0.43408799279263505,0.18319982617319186,0.5210489805541564,0.23166666666666674,0.12079952697097454,0.9081611781391776,4.801121445914841,0.35494216423761815,57.19692488825032,6.803075111749681
qwen3_vl_8b,Qwen3-VL-8B,hall,hpre_cos__hpre_softmax_prob_gauss,36,232,344,0.6054637328270629,0.3402777777777779,0.10774402168545166,0.39195925995965014,0.31718886557325354,0.43333810773954073,0.18282337796590076,0.5217769873705217,0.2311111111111111,0.1260264298084003,0.9086359984154598,4.7880640337055755,0.35056967872818207,56.98727450510856,7.012725494891444
qwen3_vl_8b,Qwen3-VL-8B,real,hmid_cos__hpre_raw_logit_gauss,36,472,1409,0.6106577421877388,0.33638888888888885,0.11791391178341468,0.3847980186616451,0.3168934966463068,0.4290616863876531,0.18478401485115853,0.5308610561343334,0.23444444444444434,0.1370511622698636,0.8933371189466632,5.543660851832141,0.36107529346587897,57.581453457089054,6.418546542910948
qwen3_vl_8b,Qwen3-VL-8B,real,hmid_cos__hpre_softmax_prob_gauss,36,472,1409,0.6121010341512583,0.33638888888888896,0.12012572957240991,0.3832580553075364,0.31568615609203776,0.4281772356007293,0.18427550974809792,0.5316850618894262,0.2355555555555554,0.14173896982544765,0.8940176134678391,5.520086948246082,0.35527711389663225,57.420998350297424,6.579001649702567
qwen3_vl_8b,Qwen3-VL-8B,real,hpre_cos__hpre_raw_logit_gauss,36,472,1409,0.6095362255807878,0.3372222222222222,0.11684743000743586,0.3856916731370757,0.3163829174494527,0.42953335019340355,0.18439988492466036,0.53112475656178,0.2352777777777777,0.1354141102130404,0.8933444202194537,5.5044544588356885,0.36102655215753515,57.03279573207188,6.967204267928138
qwen3_vl_8b,Qwen3-VL-8B,real,hpre_cos__hpre_softmax_prob_gauss,36,472,1409,0.6109453904484432,0.33666666666666667,0.11877726146646153,0.38417239451465535,0.31526438263231227,0.42865265191010216,0.18393976421284314,0.5319412478753539,0.23555555555555552,0.1400698230292291,0.8940300759047566,5.480820132153035,0.35514976259773867,56.85235502981795,7.147644970182046
