model,display_model,label,branch,layers,n_images_min,n_targets_min,vv_cosine,vv_p90_minus_p10,vv_centered_cosine,cosine_cost_mean,cosine_cost_p90_minus_p10,sqrt_cost_mean,sqrt_cost_p90_minus_p10,qv_cosine,qv_p90_minus_p10,qv_centered_cosine,qv_entropy,qv_max_over_uniform,qv_top1_minus_bottom,union_size,intersection_size
llava_1_5_7b,LLaVA-1.5-7B,all,hmid_cos__hpre_raw_logit_gauss,32,500,1815,0.34552262131693867,0.6974999999999999,0.1838682768890315,0.6466486355686462,0.6626061209048859,0.5474635513576115,0.34317416355919,0.21130183665484137,0.24687499999999996,0.16535523236046135,0.8595453387617373,6.28964346193124,0.35303780528348444,59.922167963113274,4.077832036886724
llava_1_5_7b,LLaVA-1.5-7B,all,hmid_cos__hpre_softmax_prob_gauss,32,500,1815,0.35331433896435827,0.6834374999999999,0.19258057322240602,0.6381581561009018,0.6463295062217327,0.54424072229818,0.33655779543737396,0.21300208778251267,0.24249999999999994,0.17151057960895277,0.8619646393464577,6.256264108290296,0.346576214879893,60.0718043808622,3.9281956191378065
llava_1_5_7b,LLaVA-1.5-7B,all,hpre_cos__hpre_raw_logit_gauss,32,500,1815,0.3489227287463073,0.6812499999999999,0.20481147470245686,0.642625697417317,0.6489723596373469,0.5473381021366936,0.3301165295512898,0.21331054035574956,0.24687499999999996,0.18900415439567692,0.8625898343203141,6.192472261152489,0.35228812252026775,59.80177322781385,4.198226772186147
llava_1_5_7b,LLaVA-1.5-7B,all,hpre_cos__hpre_softmax_prob_gauss,32,500,1815,0.35765238310092184,0.669375,0.21560171406118217,0.6330950159724706,0.6314523023712664,0.5436426899938342,0.32333381059804445,0.21502844802477816,0.24156249999999996,0.1954547460682879,0.8650130767136078,6.161681278809349,0.34508283125548833,59.83005030438312,4.169949695616882
llava_1_5_7b,LLaVA-1.5-7B,hall,hmid_cos__hpre_raw_logit_gauss,32,263,454,0.3317752798355632,0.6659375,0.1607516096303772,0.6662376901381549,0.6311654327306706,0.5581340413485545,0.3194869334608817,0.19307301649196307,0.21312499999999993,0.13573906903653649,0.8867125396114083,5.580797149233484,0.31119099238460973,60.476520346731846,3.5234796532681516
llava_1_5_7b,LLaVA-1.5-7B,hall,hmid_cos__hpre_softmax_prob_gauss,32,263,454,0.338903254850759,0.653125,0.16917515454691245,0.658507608978392,0.6148031571544864,0.555384161211105,0.3124746474730447,0.194421955608942,0.2081249999999999,0.1418273694201298,0.8896126441424248,5.52378678710515,0.30491872294575345,60.639897361035665,3.3601026389643307
llava_1_5_7b,LLaVA-1.5-7B,hall,hpre_cos__hpre_raw_logit_gauss,32,263,454,0.33499221319279293,0.6475,0.17889352601847291,0.6629588742140227,0.6187583776708205,0.5581324931213549,0.3079584489652575,0.19439621277217956,0.21218749999999997,0.15686768534944356,0.8885919446240629,5.518557801050147,0.31037808566844666,60.54301189344559,3.456988106554409
llava_1_5_7b,LLaVA-1.5-7B,hall,hpre_cos__hpre_softmax_prob_gauss,32,263,454,0.342882355327147,0.6337499999999999,0.18906444034408146,0.6543980502946565,0.6015589334600857,0.5550166652106874,0.3008214982503902,0.19575010452398067,0.20749999999999996,0.16326185111526173,0.8916429923199878,5.460549895240156,0.30365141209983604,60.595240924316485,3.404759075683506
llava_1_5_7b,LLaVA-1.5-7B,real,hmid_cos__hpre_raw_logit_gauss,32,461,1366,0.35027539708886746,0.7056250000000001,0.1885062572971935,0.6417917383455326,0.6686886527092921,0.5449606840011222,0.34775178511201765,0.21747966108270905,0.25437499999999996,0.1712574624897571,0.851288641614475,6.518970561980466,0.36509288994913514,59.758753615328985,4.241246384671006
llava_1_5_7b,LLaVA-1.5-7B,real,hmid_cos__hpre_softmax_prob_gauss,32,461,1366,0.35829724455733686,0.6928125,0.19718854746096015,0.6332348612318213,0.6527414469425108,0.5416672632445172,0.3413340768150127,0.21930693849288768,0.250625,0.17730490539301294,0.8535633155757792,6.4912936717366465,0.35867711013348724,59.904386895077984,4.095613104922012
llava_1_5_7b,LLaVA-1.5-7B,real,hpre_cos__hpre_raw_logit_gauss,32,461,1366,0.3537676074491988,0.6909374999999999,0.2096600619683391,0.6374883873492622,0.6550705876509172,0.5447167414782716,0.33463552602384816,0.21973756054891078,0.25406249999999997,0.19493228020763728,0.8546126395833546,6.415662787887948,0.36434477302497004,59.59550642043695,4.404493579563061
llava_1_5_7b,LLaVA-1.5-7B,real,hpre_cos__hpre_softmax_prob_gauss,32,461,1366,0.36279278113637936,0.678125,0.22048670175440876,0.6278264400746073,0.6377486038335904,0.5409199932321593,0.32804816793559277,0.22158905677325483,0.24968749999999998,0.20127800339516244,0.856850656844194,6.3917401116528465,0.357120433131497,59.61777224718521,4.382227752814791
