model,source,gate,mean_auroc,std_auroc,mean_hall_f1,mean_hall_aupr,ensemble_auroc,ensemble_hall_aupr
llava_1_5_7b,old_hpre_cos,hpre_raw_logit_gauss,0.8895543338582684,0.0012922438748164356,0.6400648543654035,0.6653234139868084,0.8960753151490914,0.6792570864300227
llava_1_5_7b,old_hpre_cos,hpre_softmax_prob_gauss,0.8902031234114253,0.0019216488218860102,0.6529419864483055,0.6759338215050166,0.8962888774551707,0.6902834930929379
llava_1_5_7b,new_jffn,hpre_raw_logit_gauss,0.8760568874422471,0.0025468841224063907,0.6214060071247857,0.6512485360667843,0.88119453674053,0.6625585608685743
llava_1_5_7b,new_jffn,hpre_softmax_prob_gauss,0.8771913527908465,0.002650791401022316,0.6293477268721107,0.6552538350091881,0.884186724064189,0.6689333620065178
internvl_2_5_8b,old_hpre_cos,hpre_raw_logit_gauss,0.8488076291794394,0.002422745150179944,0.4748164500646221,0.5077830531744446,0.8578587793597727,0.5239270443815752
internvl_2_5_8b,old_hpre_cos,hpre_softmax_prob_gauss,0.8444650798058881,0.0010179290146060884,0.4740978396351819,0.49182590301989787,0.8536183683496577,0.5087297774835238
internvl_2_5_8b,new_jffn,hpre_raw_logit_gauss,0.8387295322730525,0.007828086528072167,0.44754373057578895,0.45847231056796783,0.8476849972763103,0.4736037923307761
internvl_2_5_8b,new_jffn,hpre_softmax_prob_gauss,0.8429897478895856,0.005356494114435882,0.44545400439478255,0.47930072457073764,0.8527632098950044,0.5001018797129266
