model,training,hall_sample_weight,auroc_mean,auroc_std,hall_aupr_mean,hall_precision_mean,hall_recall_mean,hall_f1_mean
llava_1_5_7b,unweighted,1.8530421740414054,0.8881412922043586,0.001421812473487456,0.6561748771893198,0.6321112647695789,0.6577338975082275,0.6443318119851602
llava_1_5_7b,sqrt_hall_weight,1.8530421740414054,0.8892092966546342,0.0021189648435591163,0.6568110075702563,0.6415818289193195,0.6356370474847203,0.6379175694162381
internvl_2_5_8b,unweighted,2.3942081345465924,0.8488245409781784,0.004339478572954749,0.5028266848553632,0.5409563074291043,0.4128686327077748,0.4663106679776561
internvl_2_5_8b,sqrt_hall_weight,2.3942081345465924,0.8480397000024923,0.004696508132463507,0.5097670129937243,0.5275466596895169,0.43699731903485256,0.47787467637980335
