model,feature,seed,input_dim,best_epoch,validation_AUROC,validation_HALL_AUPR,AUROC,HALL_AUPR
qwen2_5_vl_7b,logS,43,28,55,0.8411876200862024,0.37745789300170346,0.8259039395574743,0.3531662169441099
qwen2_5_vl_7b,logS,44,28,26,0.8391623825102561,0.3848649092395165,0.8231593554853133,0.34932976666508014
qwen2_5_vl_7b,logS,45,28,52,0.8452121306537882,0.4030172803843726,0.8297741114794541,0.35296430397983636
qwen2_5_vl_7b,logS_plus_kappa,43,56,37,0.8588045905385056,0.41233082805658877,0.8624161591242002,0.40249362499515623
qwen2_5_vl_7b,logS_plus_kappa,44,56,44,0.8484966505686244,0.38914165542313917,0.8547220723151645,0.40865783103496445
qwen2_5_vl_7b,logS_plus_kappa,45,56,22,0.8428104066053901,0.38846868836075343,0.8511911186492944,0.3976052806226004
llava_1_5_7b,logS,43,32,53,0.886018865600197,0.6876857787379136,0.8797502714440824,0.6521949842875072
llava_1_5_7b,logS,44,32,28,0.8859418721292436,0.6914596630274935,0.8796817990629064,0.6572626032159045
llava_1_5_7b,logS,45,32,43,0.8859264734350526,0.6947907846439212,0.8783563693987148,0.6517804972963516
llava_1_5_7b,logS_plus_kappa,43,64,43,0.9015451489713672,0.7272106920268315,0.8950318396572469,0.6529636701200519
llava_1_5_7b,logS_plus_kappa,44,64,36,0.9017233338612884,0.7281281772927422,0.8945696510843089,0.6513335250524407
llava_1_5_7b,logS_plus_kappa,45,64,34,0.9023700790172993,0.7299620087935074,0.8915446391016424,0.639299887045706
qwen3_vl_8b,logS,43,36,58,0.8611460027668922,0.5441860564321059,0.8804495867768596,0.6240529814486167
qwen3_vl_8b,logS,44,36,38,0.8579941767916786,0.5432072119261981,0.8823173553719008,0.6320454466034302
qwen3_vl_8b,logS,45,36,37,0.8580665327598881,0.5398320337607609,0.8813024793388429,0.6211268199731009
qwen3_vl_8b,logS_plus_kappa,43,72,26,0.8790034557210415,0.6035279358423802,0.9076793388429752,0.676492694538093
qwen3_vl_8b,logS_plus_kappa,44,72,40,0.8842695230873423,0.6059591999052935,0.9137289256198347,0.6842585883915229
qwen3_vl_8b,logS_plus_kappa,45,72,36,0.8802479783742481,0.5994998368079448,0.9086644628099174,0.6819922667859006
internvl_2_5_8b,logS,43,32,42,0.8192760942760943,0.47583387085601014,0.8545083863504915,0.5326851102127275
internvl_2_5_8b,logS,44,32,30,0.8214844523668052,0.4788261540301409,0.8508646616541353,0.538510806926253
internvl_2_5_8b,logS,45,32,21,0.8196127946127946,0.4816130800607172,0.8471978021978023,0.5373537524789476
internvl_2_5_8b,logS_plus_kappa,43,64,22,0.8639334521687463,0.5664030401585011,0.8740514748409485,0.5513463712636236
internvl_2_5_8b,logS_plus_kappa,44,64,25,0.8636759754406813,0.5523277358763623,0.8743811451706187,0.5332014410299556
internvl_2_5_8b,logS_plus_kappa,45,64,15,0.8598039215686274,0.5525972065677873,0.8741497975708501,0.5455767219344598
