model,feature,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen2_5_vl_7b,logS,0.8262791355074138,0.0027134637416831755,0.35182009586300883,0.0017628569325250408
qwen2_5_vl_7b,kappa,0.8344023848071339,0.0008537347071398203,0.36125978992608326,0.004004378819759794
qwen2_5_vl_7b,logS_plus_kappa,0.8561097833628865,0.004686483392324169,0.40291891221757375,0.004522194863162926
qwen2_5_vl_7b,F_plus_kappa,0.8896409940122839,0.002562413150450621,0.45538702627918964,0.013204092538161596
llava_1_5_7b,logS,0.8792628133019011,0.0006415619112571356,0.6537460282665878,0.0024923448660623053
llava_1_5_7b,kappa,0.8735111332831202,0.0003193110374914841,0.5989697355867848,0.0003985458937825511
llava_1_5_7b,logS_plus_kappa,0.8937153766143994,0.0015464972424172833,0.6478656940727329,0.006093391543498117
llava_1_5_7b,F_plus_kappa,0.905938511801704,0.0019236487193196087,0.6874093274095058,0.007095124876610545
qwen3_vl_8b,logS,0.881356473829201,0.0007634685913196236,0.6257417493417159,0.004614690644792718
qwen3_vl_8b,kappa,0.8756853994490359,0.00042363593011645576,0.5782076075114838,0.0015884485702058616
qwen3_vl_8b,logS_plus_kappa,0.9100242424242424,0.0026502987872236185,0.6809145165718388,0.003260719345851726
qwen3_vl_8b,F_plus_kappa,0.919273829201102,0.0020597019274253923,0.7192143223862585,0.006621884434845597
internvl_2_5_8b,logS,0.8508569500674764,0.0029845384640191223,0.536183223205976,0.002518238754057815
internvl_2_5_8b,kappa,0.8536755349913244,0.001980579579157639,0.48701013273061716,0.0035999883843231967
internvl_2_5_8b,logS_plus_kappa,0.874194139194139,0.00013819133169425804,0.5433748447426797,0.00756949230670641
internvl_2_5_8b,F_plus_kappa,0.8817167919799499,0.0010006656591641863,0.5684684598588124,0.002200650632430781
