model,regime,hidden_dim,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen2_5_vl_7b,fixed_split,248,0.8733739367306557,0.0022135577124323207,0.4705651882800607,0.006626181974365109
qwen2_5_vl_7b,fixed_split,256,0.8729833217690746,0.003020902302763383,0.47347483950349756,0.0062984577694820895
qwen2_5_vl_7b,joint_split_training,248,0.8731801602292939,0.008714370489594283,0.42139157629931306,0.03261671219577436
qwen2_5_vl_7b,joint_split_training,256,0.8736286363342485,0.00826193102240228,0.437448381920336,0.045164204219291
llava_1_5_7b,fixed_split,248,0.9044476072163369,0.00035734894091844527,0.7096409404052854,0.005276662232630245
llava_1_5_7b,fixed_split,256,0.9033267795482779,0.0007599727187105048,0.7052938226680093,0.005403806318009979
llava_1_5_7b,joint_split_training,248,0.9050710327129464,0.00768730820458992,0.7250961106028232,0.03390739715233388
llava_1_5_7b,joint_split_training,256,0.9050060733937627,0.0062786240797387234,0.7278604093638442,0.030633507061130525
qwen3_vl_8b,fixed_split,248,0.8895129476584023,0.002272175774142073,0.6265796967484444,0.0038729142631544985
qwen3_vl_8b,fixed_split,256,0.8868297520661157,0.0002356323813250966,0.6098946291491668,0.005241331821522855
qwen3_vl_8b,joint_split_training,248,0.8659653090722913,0.004580342130947582,0.5829360914743247,0.01930294858950057
qwen3_vl_8b,joint_split_training,256,0.8653309669888398,0.003169323150398435,0.5732468936723704,0.011732321676408369
internvl_2_5_8b,fixed_split,248,0.869790823211876,0.006071846807447766,0.5373208901074216,0.011426294603283193
internvl_2_5_8b,fixed_split,256,0.8779766724503567,0.00304412746673838,0.5508741469678,0.004454129928268959
internvl_2_5_8b,joint_split_training,248,0.8690458097000393,0.005135169923495823,0.5409228890220944,0.035659618055788704
internvl_2_5_8b,joint_split_training,256,0.868435553433375,0.005705407627058746,0.5385003489589647,0.03910901639968134
