model,case_id,layer,control,spearman,js,top32_overlap,gross_relative_error,kappa_difference,candidate_completeness_relative_error
internvl_2_5_8b,internvl_2_5_8b:204830:115:8,8,native_vs_fp32_gauss_k64,0.9999992847333484,3.808132498207977e-09,1.0,1.491941261925555e-05,0.0022722482681274414,3.3275114219577517e-06
internvl_2_5_8b,internvl_2_5_8b:204830:115:8,8,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,2.921776447066014e-15,1.0,6.939158155210926e-07,4.172325134277344e-07,3.7624690776283387e-06
internvl_2_5_8b,internvl_2_5_8b:220981:79:24,24,native_vs_fp32_gauss_k64,0.9999985694666971,1.448182724973016e-08,1.0,7.958458273209359e-05,0.0063533782958984375,3.680165173136629e-05
internvl_2_5_8b,internvl_2_5_8b:220981:79:24,24,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,4.0433438290350906e-16,1.0,1.1879241334628012e-07,5.960464477539063e-08,3.680213922052644e-05
internvl_2_5_8b,internvl_2_5_8b:240727:38:16,16,native_vs_fp32_gauss_k64,0.9999978542000457,1.171639358351072e-09,1.0,0.0010672046933820761,0.0008934140205383301,1.5036833929116256e-06
internvl_2_5_8b,internvl_2_5_8b:240727:38:16,16,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,1.2017210058621365e-13,1.0,3.3052951268638375e-06,2.0265579223632812e-06,6.4373739405709784e-06
internvl_2_5_8b,internvl_2_5_8b:262093:45:32,32,native_vs_fp32_gauss_k64,0.9999985694666971,1.9085317808942458e-08,1.0,3.764323249966121e-05,0.023451268672943115,9.687339115771465e-06
internvl_2_5_8b,internvl_2_5_8b:262093:45:32,32,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,5.888251032035332e-16,1.0,0.0,0.0,9.688863428891636e-06
internvl_2_5_8b,internvl_2_5_8b:268390:171:24,24,native_vs_fp32_gauss_k64,0.9999978542000457,8.75766740651831e-09,1.0,0.00033735433556247727,0.019587457180023193,2.9673254175577313e-05
internvl_2_5_8b,internvl_2_5_8b:268390:171:24,24,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,4.880638017046286e-16,1.0,1.381367916155388e-07,5.960464477539063e-08,2.967624277516734e-05
internvl_2_5_8b,internvl_2_5_8b:278032:49:32,32,native_vs_fp32_gauss_k64,0.9999985694666971,1.5077706010660217e-08,1.0,0.0006918209262612961,0.01927483081817627,1.0306654985470232e-05
internvl_2_5_8b,internvl_2_5_8b:278032:49:32,32,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,6.164269061500837e-16,1.0,0.0,0.0,1.0323878086637706e-05
internvl_2_5_8b,internvl_2_5_8b:280710:36:16,16,native_vs_fp32_gauss_k64,0.9999999999999998,1.743904136867754e-09,1.0,0.00011545847492568945,0.000241011381149292,1.8055028476737789e-06
internvl_2_5_8b,internvl_2_5_8b:280710:36:16,16,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,3.744068577295218e-14,1.0,1.868476348292533e-06,8.642673492431641e-07,5.5149612308014184e-06
internvl_2_5_8b,internvl_2_5_8b:28499:111:8,8,native_vs_fp32_gauss_k64,0.9999992847333484,1.889167304259444e-09,1.0,0.0006624940638833174,0.0006185770034790039,5.6831481742847245e-06
internvl_2_5_8b,internvl_2_5_8b:28499:111:8,8,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,1.0909671359491907e-15,1.0,6.799315417726481e-08,5.960464477539063e-08,5.695875188393984e-06
internvl_2_5_8b,internvl_2_5_8b:301494:84:16,16,native_vs_fp32_gauss_k64,0.9999999999999998,1.693595849500753e-09,1.0,0.000900063803339432,0.00034299492835998535,1.3360635193748749e-06
internvl_2_5_8b,internvl_2_5_8b:301494:84:16,16,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,2.5598536364344447e-13,1.0,3.665599858862581e-06,1.6391277313232422e-06,1.2089672964066267e-05
internvl_2_5_8b,internvl_2_5_8b:301494:8:32,32,native_vs_fp32_gauss_k64,0.9999978542000457,3.530584440415322e-08,1.0,0.0032965003535011714,0.0009925365447998047,1.2662464541790541e-05
internvl_2_5_8b,internvl_2_5_8b:301494:8:32,32,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,2.6043802728968533e-15,1.0,2.2725566588144785e-07,8.940696716308594e-08,1.2925317605549935e-05
internvl_2_5_8b,internvl_2_5_8b:314757:74:16,16,native_vs_fp32_gauss_k64,0.9999999999999998,2.7209707506308954e-09,1.0,0.000440662774382339,0.0004932284355163574,1.6898048897928675e-06
internvl_2_5_8b,internvl_2_5_8b:314757:74:16,16,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,1.4426951924610003e-13,1.0,2.584913771153965e-06,1.1622905731201172e-06,6.590450539079029e-06
internvl_2_5_8b,internvl_2_5_8b:315037:5:8,8,native_vs_fp32_gauss_k64,0.9999992847333484,5.255187532125731e-10,1.0,0.00029963250209139465,0.0009795725345611572,1.5647734699086868e-06
internvl_2_5_8b,internvl_2_5_8b:315037:5:8,8,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,2.278313893964144e-14,1.0,2.186477302572688e-06,1.043081283569336e-06,6.048612249287544e-06
internvl_2_5_8b,internvl_2_5_8b:331604:11:24,24,native_vs_fp32_gauss_k64,0.9999999999999998,5.341780702161215e-09,1.0,0.00016866604538304204,0.0029150843620300293,1.826083280320745e-05
internvl_2_5_8b,internvl_2_5_8b:331604:11:24,24,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,3.0442824295234075e-16,1.0,0.0,0.0,1.8250171706313267e-05
internvl_2_5_8b,internvl_2_5_8b:351183:160:16,16,native_vs_fp32_gauss_k64,0.9999999999999998,7.937858595932428e-10,1.0,0.00023390118894000254,0.0009005367755889893,1.4243598798202584e-06
internvl_2_5_8b,internvl_2_5_8b:351183:160:16,16,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,1.506123271467902e-14,1.0,1.4730487682992246e-06,6.258487701416016e-07,6.997589935053838e-06
internvl_2_5_8b,internvl_2_5_8b:355777:145:8,8,native_vs_fp32_gauss_k64,0.9999971389333944,1.8268384399089716e-09,1.0,0.00010666375410548213,0.001913219690322876,6.552928425662685e-06
internvl_2_5_8b,internvl_2_5_8b:355777:145:8,8,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,4.511023741298219e-16,1.0,8.2502035943992e-08,2.9802322387695312e-08,6.565946478076512e-06
internvl_2_5_8b,internvl_2_5_8b:36563:135:24,24,native_vs_fp32_gauss_k64,0.9999985694666971,6.883282030349627e-09,1.0,0.00024298352731733818,0.008421510457992554,2.0190171198919415e-05
internvl_2_5_8b,internvl_2_5_8b:36563:135:24,24,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,1.5530347433546372e-16,1.0,0.0,0.0,2.0187617337796837e-05
internvl_2_5_8b,internvl_2_5_8b:373140:159:24,24,native_vs_fp32_gauss_k64,0.9999957084000913,2.5073213539450833e-08,1.0,0.0001385961421831103,0.1876208782196045,0.00010096626647282392
internvl_2_5_8b,internvl_2_5_8b:373140:159:24,24,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,2.6857777430959497e-16,1.0,0.0,0.0,0.00010096535697812214
internvl_2_5_8b,internvl_2_5_8b:38865:59:8,8,native_vs_fp32_gauss_k64,0.9999985694666971,3.1337100325037383e-09,1.0,0.0008072539358102754,0.0036739706993103027,7.3717542363738175e-06
internvl_2_5_8b,internvl_2_5_8b:38865:59:8,8,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,6.108021782803724e-16,1.0,8.527613692277649e-08,2.9802322387695312e-08,7.372590971499449e-06
internvl_2_5_8b,internvl_2_5_8b:396997:117:32,32,native_vs_fp32_gauss_k64,0.9999971389333944,4.6519713522776175e-08,1.0,0.0015473572482210627,0.11690390110015869,3.871975786751136e-05
internvl_2_5_8b,internvl_2_5_8b:396997:117:32,32,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,1.0090997085651439e-15,1.0,0.0,0.0,3.8709145883331075e-05
internvl_2_5_8b,internvl_2_5_8b:424975:190:16,16,native_vs_fp32_gauss_k64,0.9999992847333484,1.2429718423094753e-09,1.0,0.00020766287299664078,0.0006742477416992188,8.043426532822195e-06
internvl_2_5_8b,internvl_2_5_8b:424975:190:16,16,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,9.332559882455399e-16,1.0,2.2591921445178104e-07,8.940696716308594e-08,8.095981684164144e-06
internvl_2_5_8b,internvl_2_5_8b:434159:213:32,32,native_vs_fp32_gauss_k64,0.9999985694666971,1.3589500515304131e-08,1.0,0.0005702916119293524,0.021346181631088257,1.3577057870861609e-05
internvl_2_5_8b,internvl_2_5_8b:434159:213:32,32,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,7.820982341591462e-16,1.0,0.0,0.0,1.3674740330316126e-05
internvl_2_5_8b,internvl_2_5_8b:435986:5:16,16,native_vs_fp32_gauss_k64,0.9999992847333484,7.815518352549003e-10,1.0,0.0015243634390854801,0.00042942166328430176,1.5817862504263758e-06
internvl_2_5_8b,internvl_2_5_8b:435986:5:16,16,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,5.471721013708386e-14,1.0,2.658234746052189e-06,1.1324882507324219e-06,8.840844202495646e-06
internvl_2_5_8b,internvl_2_5_8b:438556:239:8,8,native_vs_fp32_gauss_k64,0.9999999999999998,2.1421508907722018e-09,1.0,0.000948421653000524,0.0005710124969482422,2.754807837845874e-06
internvl_2_5_8b,internvl_2_5_8b:438556:239:8,8,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,4.3769899799863355e-15,1.0,6.908179381101735e-07,3.5762786865234375e-07,3.525874035403831e-06
internvl_2_5_8b,internvl_2_5_8b:438556:239:16,16,native_vs_fp32_gauss_k64,0.9999992847333484,1.5035286717962233e-09,1.0,0.00016922185102731437,0.0005057454109191895,3.994132839579834e-06
internvl_2_5_8b,internvl_2_5_8b:438556:239:16,16,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,4.9313646869585465e-15,1.0,3.9347260427319117e-07,1.7881393432617188e-07,4.165043264947599e-06
internvl_2_5_8b,internvl_2_5_8b:453824:84:24,24,native_vs_fp32_gauss_k64,0.9999999999999998,9.015432968889553e-09,1.0,0.0004190998611367854,0.025970816612243652,3.856438343063928e-05
internvl_2_5_8b,internvl_2_5_8b:453824:84:24,24,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,4.747902646813932e-16,1.0,6.262517990648558e-08,0.0,3.8561429391847923e-05
internvl_2_5_8b,internvl_2_5_8b:525762:6:16,16,native_vs_fp32_gauss_k64,0.9999985694666971,1.781082374377036e-09,1.0,0.000996569740461291,0.00042045116424560547,1.8639057088876143e-06
internvl_2_5_8b,internvl_2_5_8b:525762:6:16,16,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,2.3622305093213533e-14,1.0,2.0292186379998137e-06,1.0132789611816406e-06,7.542550065409159e-06
internvl_2_5_8b,internvl_2_5_8b:526030:12:32,32,native_vs_fp32_gauss_k64,0.9999935626001373,4.4363657510310814e-08,1.0,0.002799521775893612,0.0020074844360351562,9.567139386490453e-06
internvl_2_5_8b,internvl_2_5_8b:526030:12:32,32,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,2.2307272520324342e-15,1.0,1.7807656651284412e-07,8.940696716308594e-08,9.606994353816845e-06
internvl_2_5_8b,internvl_2_5_8b:540697:64:8,8,native_vs_fp32_gauss_k64,0.9999999999999998,2.710709809679198e-09,1.0,0.0006717878603327013,0.0004050135612487793,3.1043368835526053e-06
internvl_2_5_8b,internvl_2_5_8b:540697:64:8,8,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,3.34580827530789e-15,1.0,4.867783354712175e-07,2.980232238769531e-07,3.4796939871739596e-06
internvl_2_5_8b,internvl_2_5_8b:540697:64:32,32,native_vs_fp32_gauss_k64,0.9999942778667886,1.834307332861593e-08,1.0,0.002005224840811351,0.030269742012023926,1.812495247577317e-05
internvl_2_5_8b,internvl_2_5_8b:540697:64:32,32,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,5.846275466474017e-16,1.0,0.0,0.0,1.8084539988194592e-05
internvl_2_5_8b,internvl_2_5_8b:553482:110:16,16,native_vs_fp32_gauss_k64,0.9999985694666971,2.3645775951133935e-09,1.0,0.0009468061773555064,3.606081008911133e-05,2.2616882233705837e-06
internvl_2_5_8b,internvl_2_5_8b:553482:110:16,16,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,2.561225712084652e-14,1.0,1.459252561109849e-06,6.258487701416016e-07,4.859195087192347e-06
internvl_2_5_8b,internvl_2_5_8b:562090:130:24,24,native_vs_fp32_gauss_k64,0.9999971389333944,8.306871800089989e-09,1.0,1.2315375261941982e-05,0.01029115915298462,1.7480078895459883e-05
internvl_2_5_8b,internvl_2_5_8b:562090:130:24,24,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,2.1365020727229943e-16,1.0,0.0,0.0,1.7479494999861345e-05
internvl_2_5_8b,internvl_2_5_8b:571029:37:8,8,native_vs_fp32_gauss_k64,0.9999999999999998,8.193260036205566e-10,1.0,0.001353233948312026,0.001215517520904541,1.6427210312031093e-06
internvl_2_5_8b,internvl_2_5_8b:571029:37:8,8,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,2.2810225428918704e-14,1.0,1.6969597804455573e-06,8.940696716308594e-07,4.8455758587806486e-06
internvl_2_5_8b,internvl_2_5_8b:65736:5:32,32,native_vs_fp32_gauss_k64,0.9999971389333944,2.9115649785921828e-08,1.0,0.0012888681793168098,0.03856402635574341,8.97966128832195e-06
internvl_2_5_8b,internvl_2_5_8b:65736:5:32,32,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,6.6227403535414695e-16,1.0,1.2422999917200705e-07,5.960464477539063e-08,8.974035154096782e-06
internvl_2_5_8b,internvl_2_5_8b:7088:16:8,8,native_vs_fp32_gauss_k64,0.9999999999999998,6.905530045923835e-10,1.0,0.0008749989107314179,0.00031769275665283203,1.5834767737032962e-06
internvl_2_5_8b,internvl_2_5_8b:7088:16:8,8,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,6.635920164363178e-14,1.0,2.7383442552310975e-06,1.4901161193847656e-06,7.02714396538795e-06
internvl_2_5_8b,internvl_2_5_8b:7888:12:8,8,native_vs_fp32_gauss_k64,0.9999992847333484,1.0555220652296825e-09,1.0,0.00024997861875326405,0.00029027462005615234,1.2850291568611283e-06
internvl_2_5_8b,internvl_2_5_8b:7888:12:8,8,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,1.3542852528552182e-13,1.0,3.640271136494924e-06,1.7583370208740234e-06,9.773637430043891e-06
internvl_2_5_8b,internvl_2_5_8b:94419:7:24,24,native_vs_fp32_gauss_k64,0.9999999999999998,7.146664665657124e-09,1.0,0.0011949239732022138,0.05743974447250366,4.982369864592329e-05
internvl_2_5_8b,internvl_2_5_8b:94419:7:24,24,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,3.170406371560318e-16,1.0,0.0,0.0,4.982393147656694e-05
internvl_2_5_8b,internvl_2_5_8b:94419:7:32,32,native_vs_fp32_gauss_k64,0.9999985694666971,2.3183346974418008e-08,1.0,0.00042212923820360336,0.04617971181869507,1.2202774996694643e-05
internvl_2_5_8b,internvl_2_5_8b:94419:7:32,32,fp32_trapezoid_vs_gauss_k64,0.9999999999999998,5.478201143566558e-16,1.0,8.987178262388399e-08,5.960464477539063e-08,1.2205643542984035e-05
