model,label,layer,n_mentions,mean,q25,median,q75,raw_d_ot_real_auroc
internvl_2_5_8b,HALL,1,1766,0.04153743013739586,0.032127682119607925,0.03967710956931114,0.04867677390575409,0.48335527961305647
internvl_2_5_8b,HALL,2,1766,0.04260964319109917,0.03596663847565651,0.04156828671693802,0.04803294315934181,0.5572908397146406
internvl_2_5_8b,HALL,3,1766,0.02443826198577881,0.0182433370500803,0.022569023072719574,0.028265343979001045,0.5410577891500268
internvl_2_5_8b,HALL,4,1766,0.031779587268829346,0.025597931817173958,0.03131931275129318,0.03720086067914963,0.517584477877436
internvl_2_5_8b,HALL,5,1766,0.022612042725086212,0.017862996086478233,0.021690048277378082,0.026080884039402008,0.41255996978179177
internvl_2_5_8b,HALL,6,1766,0.019964903593063354,0.01392137911170721,0.018167395144701004,0.024252790957689285,0.4897376634765514
internvl_2_5_8b,HALL,7,1766,0.026353461667895317,0.020318597555160522,0.025315042585134506,0.03146832063794136,0.37512691500131634
internvl_2_5_8b,HALL,8,1766,0.02158542163670063,0.014523351565003395,0.019475668668746948,0.026411699131131172,0.4642125762099155
internvl_2_5_8b,HALL,9,1766,0.017689639702439308,0.014044687151908875,0.017002496868371964,0.020498843863606453,0.45009340626773964
internvl_2_5_8b,HALL,10,1766,0.01890893653035164,0.014410853385925293,0.018170174211263657,0.022684235125780106,0.5192034480761676
internvl_2_5_8b,HALL,11,1766,0.019188350066542625,0.01437702588737011,0.018299400806427002,0.023071827366948128,0.4215420499899193
internvl_2_5_8b,HALL,12,1766,0.014492246322333813,0.010863740928471088,0.013682162389159203,0.0170841496437788,0.5969534846533003
internvl_2_5_8b,HALL,13,1766,0.015367226675152779,0.0111240204423666,0.014108952134847641,0.018274683505296707,0.6212421741651772
internvl_2_5_8b,HALL,14,1766,0.012804162688553333,0.009774891659617424,0.012110346928238869,0.015200337395071983,0.5282147389922662
internvl_2_5_8b,HALL,15,1766,0.013971797190606594,0.01083993911743164,0.013332926668226719,0.0163932703435421,0.5477265286153309
internvl_2_5_8b,HALL,16,1766,0.017279837280511856,0.013121417723596096,0.01634693518280983,0.020398983731865883,0.6096011828891775
internvl_2_5_8b,HALL,17,1766,0.014009508304297924,0.010356170125305653,0.013230834156274796,0.016654424369335175,0.4938860089945181
internvl_2_5_8b,HALL,18,1766,0.015474439598619938,0.010908521711826324,0.01415923610329628,0.018631819635629654,0.6212876476727367
internvl_2_5_8b,HALL,19,1766,0.02145678736269474,0.016175750643014908,0.02034701406955719,0.02548273652791977,0.6941021512340632
internvl_2_5_8b,HALL,20,1766,0.03008768893778324,0.019652795046567917,0.026119383051991463,0.03544825315475464,0.49300543789486156
internvl_2_5_8b,HALL,21,1766,0.020307689905166626,0.014910301193594933,0.01872621849179268,0.02388593927025795,0.4242611107503452
internvl_2_5_8b,HALL,22,1766,0.029367687180638313,0.018107660114765167,0.02674531564116478,0.03780286759138107,0.5248622506875991
internvl_2_5_8b,HALL,23,1766,0.017352338880300522,0.011459541507065296,0.01574789173901081,0.021557260304689407,0.4863264704319071
internvl_2_5_8b,HALL,24,1766,0.016588512808084488,0.008329201489686966,0.012900209054350853,0.021259013563394547,0.5039105799880981
internvl_2_5_8b,HALL,25,1766,0.022736037150025368,0.012890717014670372,0.019362272694706917,0.02793210744857788,0.544879263729231
internvl_2_5_8b,HALL,26,1766,0.012000573799014091,0.007194157689809799,0.009693251922726631,0.01380537636578083,0.5589685996505595
internvl_2_5_8b,HALL,27,1766,0.017516324296593666,0.007276032119989395,0.010666163638234138,0.019765779376029968,0.5630546988781161
internvl_2_5_8b,HALL,28,1766,0.014717404730618,0.007015781477093697,0.010751660913228989,0.01905016042292118,0.5360635513942432
internvl_2_5_8b,HALL,29,1766,0.022199563682079315,0.015186029486358166,0.019770540297031403,0.02616407908499241,0.6251326664792194
internvl_2_5_8b,HALL,30,1766,0.02863600105047226,0.01646658219397068,0.02422855794429779,0.036069825291633606,0.5899129673897436
internvl_2_5_8b,HALL,31,1766,0.019847175106406212,0.012304733507335186,0.016577167436480522,0.02387598715722561,0.5622247577834496
internvl_2_5_8b,HALL,32,1766,0.04639904573559761,0.028596196323633194,0.041692979633808136,0.061434224247932434,0.4093822924064965
internvl_2_5_8b,REAL,1,9993,0.040429193526506424,0.03196804225444794,0.03946183994412422,0.04743916168808937,0.48335527961305647
internvl_2_5_8b,REAL,2,9993,0.04460238292813301,0.037627752870321274,0.043485816568136215,0.05076225474476814,0.5572908397146406
internvl_2_5_8b,REAL,3,9993,0.025552012026309967,0.019234368577599525,0.023689454421401024,0.02955673076212406,0.5410577891500268
internvl_2_5_8b,REAL,4,9993,0.032247286289930344,0.026304975152015686,0.03188435733318329,0.03788173198699951,0.517584477877436
internvl_2_5_8b,REAL,5,9993,0.020631851628422737,0.01586410589516163,0.019617611542344093,0.024337811395525932,0.41255996978179177
internvl_2_5_8b,REAL,6,9993,0.020318929105997086,0.013360581360757351,0.017674153670668602,0.02448154240846634,0.4897376634765514
internvl_2_5_8b,REAL,7,9993,0.02296920120716095,0.016862699761986732,0.0214881282299757,0.027385002002120018,0.37512691500131634
internvl_2_5_8b,REAL,8,9993,0.020610002800822258,0.013628021813929081,0.018358338624238968,0.02543666586279869,0.4642125762099155
internvl_2_5_8b,REAL,9,9993,0.017354656010866165,0.012649922631680965,0.015959128737449646,0.02025325410068035,0.45009340626773964
internvl_2_5_8b,REAL,10,9993,0.019322900101542473,0.014782282523810863,0.018541580066084862,0.023132717236876488,0.5192034480761676
internvl_2_5_8b,REAL,11,9993,0.01750713400542736,0.013114816509187222,0.01643671654164791,0.020789243280887604,0.4215420499899193
internvl_2_5_8b,REAL,12,9993,0.01623103953897953,0.01225489005446434,0.015400774776935577,0.019362032413482666,0.5969534846533003
internvl_2_5_8b,REAL,13,9993,0.01777360588312149,0.013036646880209446,0.016721393913030624,0.02135339193046093,0.6212421741651772
internvl_2_5_8b,REAL,14,9993,0.01326600182801485,0.010145383886992931,0.01245550811290741,0.015514851547777653,0.5282147389922662
internvl_2_5_8b,REAL,15,9993,0.014593635685741901,0.01157875545322895,0.014038728550076485,0.01701129414141178,0.5477265286153309
internvl_2_5_8b,REAL,16,9993,0.019592279568314552,0.014958192594349384,0.01870180293917656,0.02324194461107254,0.6096011828891775
internvl_2_5_8b,REAL,17,9993,0.01378538180142641,0.010504327714443207,0.01305705588310957,0.01621350646018982,0.4938860089945181
internvl_2_5_8b,REAL,18,9993,0.017799867317080498,0.01308385282754898,0.01703878492116928,0.021486720070242882,0.6212876476727367
internvl_2_5_8b,REAL,19,9993,0.027532603591680527,0.020418565720319748,0.026501599699258804,0.03353011980652809,0.6941021512340632
internvl_2_5_8b,REAL,20,9993,0.028847740963101387,0.019963061437010765,0.025858482345938683,0.034061089158058167,0.49300543789486156
internvl_2_5_8b,REAL,21,9993,0.018414096906781197,0.013215114362537861,0.016981545835733414,0.022057589143514633,0.4242611107503452
internvl_2_5_8b,REAL,22,9993,0.030526021495461464,0.019638558849692345,0.027784906327724457,0.03873561695218086,0.5248622506875991
