model,label,layer,n_mentions,mean,q25,median,q75,raw_bounded_strength_real_auroc
internvl_2_5_8b,HALL,1,1766,0.411950945854187,0.32645419239997864,0.39543431997299194,0.4964205026626587,0.6973707189596703
internvl_2_5_8b,HALL,2,1766,0.45478153228759766,0.3994741439819336,0.4555444121360779,0.508266031742096,0.6771084606336554
internvl_2_5_8b,HALL,3,1766,0.4420994818210602,0.3524678945541382,0.43103742599487305,0.5200948715209961,0.6615639441380201
internvl_2_5_8b,HALL,4,1766,0.42275160551071167,0.3366992473602295,0.4124336242675781,0.4998019337654114,0.7044857787767405
internvl_2_5_8b,HALL,5,1766,0.41576331853866577,0.3133220076560974,0.4018425941467285,0.5042535066604614,0.6912796205361873
internvl_2_5_8b,HALL,6,1766,0.39229097962379456,0.280943900346756,0.37792545557022095,0.4902271032333374,0.7128376046698146
internvl_2_5_8b,HALL,7,1766,0.397271990776062,0.2895631194114685,0.37854108214378357,0.4864191710948944,0.7136367767743197
internvl_2_5_8b,HALL,8,1766,0.39974719285964966,0.30271002650260925,0.4065461754798889,0.49465373158454895,0.6999307499394536
internvl_2_5_8b,HALL,9,1766,0.4178277254104614,0.3447537124156952,0.4083338975906372,0.480082631111145,0.7369385070115332
internvl_2_5_8b,HALL,10,1766,0.4075217843055725,0.32376083731651306,0.41966456174850464,0.502729058265686,0.6964530607438797
internvl_2_5_8b,HALL,11,1766,0.4027021527290344,0.30823376774787903,0.41281208395957947,0.5016746520996094,0.6976539863295019
internvl_2_5_8b,HALL,12,1766,0.40055638551712036,0.31604647636413574,0.4188505709171295,0.49882450699806213,0.7139599645006318
internvl_2_5_8b,HALL,13,1766,0.4199388027191162,0.34007155895233154,0.4461993873119354,0.5182866454124451,0.6550249670805803
internvl_2_5_8b,HALL,14,1766,0.40557798743247986,0.30897679924964905,0.4125833511352539,0.5041435360908508,0.7002964079385581
internvl_2_5_8b,HALL,15,1766,0.4188348948955536,0.3354565501213074,0.4407598376274109,0.5132473707199097,0.6741250302165083
internvl_2_5_8b,HALL,16,1766,0.4286825954914093,0.3508092761039734,0.45302218198776245,0.5193294882774353,0.6416376231198759
internvl_2_5_8b,HALL,17,1766,0.42136549949645996,0.3397027552127838,0.44377562403678894,0.515497088432312,0.6607383379010834
internvl_2_5_8b,HALL,18,1766,0.3902570307254791,0.28156664967536926,0.4058848023414612,0.5144942998886108,0.681892103634492
internvl_2_5_8b,HALL,19,1766,0.39777621626853943,0.3068179190158844,0.41573643684387207,0.5000497102737427,0.6923342092579188
internvl_2_5_8b,HALL,20,1766,0.41714730858802795,0.3463233709335327,0.44369426369667053,0.5117195844650269,0.668618825930133
internvl_2_5_8b,HALL,21,1766,0.41813960671424866,0.3287006616592407,0.43761980533599854,0.5167226195335388,0.6583792969914728
internvl_2_5_8b,HALL,22,1766,0.4110719561576843,0.30333346128463745,0.4217979609966278,0.5291361808776855,0.6470775012497423
internvl_2_5_8b,HALL,23,1766,0.4187803864479065,0.28718841075897217,0.42374441027641296,0.5485876798629761,0.6309664216820404
internvl_2_5_8b,HALL,24,1766,0.46449151635169983,0.33007586002349854,0.4753988981246948,0.604899525642395,0.5538475743892752
internvl_2_5_8b,HALL,25,1766,0.40672335028648376,0.26708194613456726,0.4338777959346771,0.5529255867004395,0.6215136552551679
internvl_2_5_8b,HALL,26,1766,0.3800959587097168,0.22565561532974243,0.40495434403419495,0.5351793766021729,0.6534068185215495
internvl_2_5_8b,HALL,27,1766,0.4295527935028076,0.25559043884277344,0.435706228017807,0.5842429995536804,0.5842620978512818
internvl_2_5_8b,HALL,28,1766,0.4365380108356476,0.3035625219345093,0.4457094669342041,0.5749676823616028,0.6000926016274812
internvl_2_5_8b,HALL,29,1766,0.4087267220020294,0.2756834030151367,0.42136839032173157,0.5483265519142151,0.6346464609031531
internvl_2_5_8b,HALL,30,1766,0.4167073965072632,0.2978683114051819,0.4334818720817566,0.541609525680542,0.6319510010348127
internvl_2_5_8b,HALL,31,1766,0.4212947189807892,0.30329856276512146,0.4293891489505768,0.541587233543396,0.6394486616282588
internvl_2_5_8b,HALL,32,1766,0.42272064089775085,0.3286673426628113,0.42419302463531494,0.5138233304023743,0.689287880905082
internvl_2_5_8b,REAL,1,9993,0.50276118516922,0.3922281563282013,0.5196587443351746,0.6219539642333984,0.6973707189596703
internvl_2_5_8b,REAL,2,9993,0.5118935108184814,0.4489136040210724,0.5078202486038208,0.5733353495597839,0.6771084606336554
internvl_2_5_8b,REAL,3,9993,0.5158199667930603,0.42416685819625854,0.5125944018363953,0.5992799997329712,0.6615639441380201
internvl_2_5_8b,REAL,4,9993,0.5158291459083557,0.4216247498989105,0.5146721601486206,0.6147494912147522,0.7044857787767405
internvl_2_5_8b,REAL,5,9993,0.5160689353942871,0.3975176513195038,0.5222929120063782,0.6422622799873352,0.6912796205361873
internvl_2_5_8b,REAL,6,9993,0.519059419631958,0.38688915967941284,0.5249550342559814,0.6748033761978149,0.7128376046698146
internvl_2_5_8b,REAL,7,9993,0.5175411701202393,0.39128732681274414,0.5282838940620422,0.6466236710548401,0.7136367767743197
internvl_2_5_8b,REAL,8,9993,0.48765110969543457,0.4110725522041321,0.5126815438270569,0.5756276845932007,0.6999307499394536
internvl_2_5_8b,REAL,9,9993,0.5186007022857666,0.4259095788002014,0.5197789669036865,0.6211434006690979,0.7369385070115332
internvl_2_5_8b,REAL,10,9993,0.4886265695095062,0.4342547059059143,0.5099034309387207,0.5601131916046143,0.6964530607438797
internvl_2_5_8b,REAL,11,9993,0.491787850856781,0.42065951228141785,0.5114620923995972,0.581760585308075,0.6976539863295019
internvl_2_5_8b,REAL,12,9993,0.4922805428504944,0.4402010142803192,0.511386513710022,0.5663713812828064,0.7139599645006318
internvl_2_5_8b,REAL,13,9993,0.4887987971305847,0.44233542680740356,0.5050332546234131,0.5563101768493652,0.6550249670805803
internvl_2_5_8b,REAL,14,9993,0.494439035654068,0.42452991008758545,0.5122039318084717,0.5827158689498901,0.7002964079385581
internvl_2_5_8b,REAL,15,9993,0.4878392815589905,0.4414583444595337,0.5080877542495728,0.5600866079330444,0.6741250302165083
internvl_2_5_8b,REAL,16,9993,0.4833734333515167,0.4473121762275696,0.5052746534347534,0.549183189868927,0.6416376231198759
internvl_2_5_8b,REAL,17,9993,0.4838514029979706,0.44700491428375244,0.5064154863357544,0.5487815141677856,0.6607383379010834
internvl_2_5_8b,REAL,18,9993,0.4773201644420624,0.4253767728805542,0.5093235373497009,0.556435227394104,0.681892103634492
