model,case_id,layer,strategy,lambda,finite_effect_norm
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,highest_p_ffn_token,0.0,1.88542902469635
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,highest_p_ffn_token,0.25,1.8875163793563843
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,highest_p_ffn_token,0.5,1.8927459716796875
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,highest_p_ffn_token,0.75,1.9010361433029175
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,highest_p_ffn_token,1.0,1.9124181270599365
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,highest_p_ffn_token,1.25,1.926882028579712
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,highest_8_region,0.0,1.7456966638565063
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,highest_8_region,0.25,1.7808113098144531
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,highest_8_region,0.5,1.8205268383026123
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,highest_8_region,0.75,1.8644846677780151
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,highest_8_region,1.0,1.9124181270599365
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,highest_8_region,1.25,1.9641185998916626
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,deterministic_random_region,0.0,1.669934630393982
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,deterministic_random_region,0.25,1.7298216819763184
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,deterministic_random_region,0.5,1.7902517318725586
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,deterministic_random_region,0.75,1.8511440753936768
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,deterministic_random_region,1.0,1.9124181270599365
internvl_2_5_8b,internvl_2_5_8b:101031:210:32,32,deterministic_random_region,1.25,1.9740962982177734
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,highest_p_ffn_token,0.0,3.741323232650757
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,highest_p_ffn_token,0.25,3.8780019283294678
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,highest_p_ffn_token,0.5,4.027313232421875
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,highest_p_ffn_token,0.75,4.1879143714904785
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,highest_p_ffn_token,1.0,4.358588695526123
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,highest_p_ffn_token,1.25,4.538247585296631
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,highest_8_region,0.0,2.166692018508911
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,highest_8_region,0.25,2.641477346420288
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,highest_8_region,0.5,3.181598663330078
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,highest_8_region,0.75,3.758869171142578
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,highest_8_region,1.0,4.358588695526123
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,highest_8_region,1.25,4.9727702140808105
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,deterministic_random_region,0.0,4.3135786056518555
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,deterministic_random_region,0.25,4.324615955352783
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,deterministic_random_region,0.5,4.335798263549805
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,deterministic_random_region,0.75,4.347122669219971
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,deterministic_random_region,1.0,4.358588695526123
internvl_2_5_8b,internvl_2_5_8b:111801:41:16,16,deterministic_random_region,1.25,4.370194435119629
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,highest_p_ffn_token,0.0,0.49888181686401367
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,highest_p_ffn_token,0.25,0.5165120959281921
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,highest_p_ffn_token,0.5,0.543450117111206
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,highest_p_ffn_token,0.75,0.578407347202301
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,highest_p_ffn_token,1.0,0.6200282573699951
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,highest_p_ffn_token,1.25,0.6670700907707214
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,highest_8_region,0.0,0.44420844316482544
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,highest_8_region,0.25,0.46953698992729187
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,highest_8_region,0.5,0.5092689394950867
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,highest_8_region,0.75,0.5603618025779724
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,highest_8_region,1.0,0.6200282573699951
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,highest_8_region,1.25,0.6860522031784058
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,deterministic_random_region,0.0,0.6052387356758118
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,deterministic_random_region,0.25,0.6085457801818848
internvl_2_5_8b,internvl_2_5_8b:120475:118:24,24,deterministic_random_region,0.5,0.6121190786361694
