model,label,layer,n_mentions,mean,q25,median,q75,raw_d_ef_js_union_topk_real_auroc
internvl_2_5_8b,HALL,1,1766,0.07810115069150925,0.058634769171476364,0.07395659387111664,0.09247097373008728,0.525822067519744
internvl_2_5_8b,HALL,2,1766,0.10471741110086441,0.078423410654068,0.10165603458881378,0.1259372979402542,0.5592418090171614
internvl_2_5_8b,HALL,3,1766,0.09687687456607819,0.07062900066375732,0.09231932461261749,0.11747939139604568,0.48593089341474477
internvl_2_5_8b,HALL,4,1766,0.09762310236692429,0.07437555491924286,0.09269401431083679,0.11637499928474426,0.47733101732934463
internvl_2_5_8b,HALL,5,1766,0.07590753585100174,0.056092821061611176,0.07213427126407623,0.09206205606460571,0.43557503276075815
internvl_2_5_8b,HALL,6,1766,0.05663478001952171,0.038797035813331604,0.053047336637973785,0.07050161808729172,0.36156042525350984
internvl_2_5_8b,HALL,7,1766,0.04892349988222122,0.03344132751226425,0.04590235650539398,0.060837674885988235,0.42069043460660294
internvl_2_5_8b,HALL,8,1766,0.04364105314016342,0.028602290898561478,0.040416862815618515,0.05480173975229263,0.4399617671214697
internvl_2_5_8b,HALL,9,1766,0.04309944435954094,0.030399342998862267,0.04064035788178444,0.052517011761665344,0.4335680786289927
internvl_2_5_8b,HALL,10,1766,0.031856127083301544,0.019742349162697792,0.028300127014517784,0.03995765000581741,0.5097659811471654
internvl_2_5_8b,HALL,11,1766,0.03617045283317566,0.023544183000922203,0.03249888867139816,0.04373001307249069,0.5062030964143757
internvl_2_5_8b,HALL,12,1766,0.029337627813220024,0.01835627108812332,0.025440575554966927,0.0365510918200016,0.5138346276141883
internvl_2_5_8b,HALL,13,1766,0.030952202156186104,0.019457213580608368,0.026928268373012543,0.037653598934412,0.5449797020995104
internvl_2_5_8b,HALL,14,1766,0.03627930209040642,0.02390502393245697,0.032067351043224335,0.043651510030031204,0.43966903672888114
internvl_2_5_8b,HALL,15,1766,0.030140021815896034,0.019498568028211594,0.02691642940044403,0.03692534193396568,0.48343905853009905
