model,label,layer,n,mean,median,q25,q75
internvl_2_5_8b,HALL,1,1766,0.14322438836097717,0.13826832175254822,0.1136755719780922,0.1666969209909439
internvl_2_5_8b,HALL,2,1766,0.20701327919960022,0.2056719958782196,0.1795496791601181,0.23319266736507416
internvl_2_5_8b,HALL,3,1766,0.21375687420368195,0.21048091351985931,0.17921632528305054,0.2447020262479782
internvl_2_5_8b,HALL,4,1766,0.17513249814510345,0.1708400547504425,0.14815282821655273,0.1995009183883667
internvl_2_5_8b,HALL,5,1766,0.1505586951971054,0.14714407920837402,0.1245470643043518,0.17165568470954895
internvl_2_5_8b,HALL,6,1766,0.15254755318164825,0.14979667961597443,0.12850584089756012,0.17484146356582642
internvl_2_5_8b,HALL,7,1766,0.1441059410572052,0.14111727476119995,0.12021684646606445,0.16534191370010376
internvl_2_5_8b,HALL,8,1766,0.15192091464996338,0.1471821814775467,0.1227555125951767,0.17621493339538574
internvl_2_5_8b,HALL,9,1766,0.13377636671066284,0.12860539555549622,0.1096329316496849,0.15435181558132172
internvl_2_5_8b,HALL,10,1766,0.14228735864162445,0.13834363222122192,0.10964154452085495,0.17111128568649292
internvl_2_5_8b,HALL,11,1766,0.1664942353963852,0.16169577836990356,0.13095645606517792,0.19732674956321716
internvl_2_5_8b,HALL,12,1766,0.15475156903266907,0.15006370842456818,0.11765587329864502,0.18615296483039856
internvl_2_5_8b,HALL,13,1766,0.1718055009841919,0.1643921136856079,0.12558142840862274,0.2124692052602768
internvl_2_5_8b,HALL,14,1766,0.19326959550380707,0.1905585080385208,0.15786506235599518,0.22463014721870422
internvl_2_5_8b,HALL,15,1766,0.17793288826942444,0.17543621361255646,0.14055703580379486,0.21438398957252502
internvl_2_5_8b,HALL,16,1766,0.14957928657531738,0.13931123912334442,0.10934873670339584,0.18193604052066803
internvl_2_5_8b,HALL,17,1766,0.1625967174768448,0.15623123943805695,0.1158318966627121,0.20168864727020264
internvl_2_5_8b,HALL,18,1766,0.19737857580184937,0.19934627413749695,0.1562381088733673,0.24046997725963593
internvl_2_5_8b,HALL,19,1766,0.17013049125671387,0.17001280188560486,0.1287367045879364,0.20828460156917572
internvl_2_5_8b,HALL,20,1766,0.17721857130527496,0.1692315638065338,0.13065940141677856,0.21551677584648132
internvl_2_5_8b,HALL,21,1766,0.2091928869485855,0.20918917655944824,0.17165829241275787,0.24521560966968536
internvl_2_5_8b,HALL,22,1766,0.2518847584724426,0.24937815964221954,0.20743124186992645,0.29434290528297424
internvl_2_5_8b,HALL,23,1766,0.2762727439403534,0.27501457929611206,0.2261703908443451,0.3234124183654785
internvl_2_5_8b,HALL,24,1766,0.26176413893699646,0.25884971022605896,0.20554259419441223,0.31769025325775146
internvl_2_5_8b,HALL,25,1766,0.2156287431716919,0.21632061898708344,0.1690959930419922,0.26183319091796875
internvl_2_5_8b,HALL,26,1766,0.2436799556016922,0.2456817477941513,0.19758720695972443,0.2900145351886749
internvl_2_5_8b,HALL,27,1766,0.23753012716770172,0.23606473207473755,0.19257158041000366,0.2795589864253998
internvl_2_5_8b,HALL,28,1766,0.24408899247646332,0.24512554705142975,0.18896690011024475,0.29581183195114136
internvl_2_5_8b,HALL,29,1766,0.2477797567844391,0.25440967082977295,0.2001924067735672,0.2963995337486267
internvl_2_5_8b,HALL,30,1766,0.18223494291305542,0.17885805666446686,0.1369849294424057,0.2227141559123993
internvl_2_5_8b,HALL,31,1766,0.22700759768486023,0.22994166612625122,0.18387015163898468,0.2725698947906494
internvl_2_5_8b,HALL,32,1766,0.2563111484050751,0.25795602798461914,0.20733991265296936,0.30458900332450867
internvl_2_5_8b,REAL,1,9993,0.1474856734275818,0.14207148551940918,0.11875271052122116,0.17130766808986664
internvl_2_5_8b,REAL,2,9993,0.2085602730512619,0.20584650337696075,0.18035288155078888,0.23392915725708008
internvl_2_5_8b,REAL,3,9993,0.21658502519130707,0.21207067370414734,0.18069659173488617,0.24817803502082825
internvl_2_5_8b,REAL,4,9993,0.18447314202785492,0.18108336627483368,0.15539026260375977,0.2094394862651825
internvl_2_5_8b,REAL,5,9993,0.16303955018520355,0.15954919159412384,0.1375834047794342,0.18500633537769318
internvl_2_5_8b,REAL,6,9993,0.14779022336006165,0.14438864588737488,0.12474627792835236,0.16820447146892548
internvl_2_5_8b,REAL,7,9993,0.15151694416999817,0.147483229637146,0.12689867615699768,0.1720186471939087
internvl_2_5_8b,REAL,8,9993,0.14058130979537964,0.1355360895395279,0.11405880749225616,0.16186992824077606
internvl_2_5_8b,REAL,9,9993,0.13874389231204987,0.13572435081005096,0.11615333706140518,0.1576949656009674
internvl_2_5_8b,REAL,10,9993,0.1241152286529541,0.11709855496883392,0.09353815019130707,0.14895963668823242
internvl_2_5_8b,REAL,11,9993,0.15577347576618195,0.1510343998670578,0.1223248541355133,0.18453189730644226
internvl_2_5_8b,REAL,12,9993,0.1338239461183548,0.1267724633216858,0.09990542382001877,0.16089993715286255
internvl_2_5_8b,REAL,13,9993,0.14882414042949677,0.13989926874637604,0.11015721410512924,0.17789028584957123
internvl_2_5_8b,REAL,14,9993,0.18524956703186035,0.18211692571640015,0.1523897647857666,0.21554549038410187
internvl_2_5_8b,REAL,15,9993,0.15583810210227966,0.14924581348896027,0.1174440011382103,0.18927615880966187
internvl_2_5_8b,REAL,16,9993,0.13126614689826965,0.11952590197324753,0.09758605808019638,0.1533285528421402
internvl_2_5_8b,REAL,17,9993,0.1319301575422287,0.12145189940929413,0.09766056388616562,0.15581564605236053
internvl_2_5_8b,REAL,18,9993,0.17541766166687012,0.17453184723854065,0.13155798614025116,0.21743543446063995
internvl_2_5_8b,REAL,19,9993,0.14104396104812622,0.13422410190105438,0.1057489737868309,0.17008954286575317
internvl_2_5_8b,REAL,20,9993,0.17320826649665833,0.16620111465454102,0.13205882906913757,0.20580166578292847
internvl_2_5_8b,REAL,21,9993,0.18426066637039185,0.18178309500217438,0.14381572604179382,0.221504807472229
internvl_2_5_8b,REAL,22,9993,0.22369404137134552,0.22214122116565704,0.18220752477645874,0.2629860043525696
internvl_2_5_8b,REAL,23,9993,0.26452386379241943,0.2642655670642853,0.2251891940832138,0.30309462547302246
internvl_2_5_8b,REAL,24,9993,0.2539002597332001,0.2533738315105438,0.21410265564918518,0.29324671626091003
internvl_2_5_8b,REAL,25,9993,0.1987019032239914,0.19285465776920319,0.1513320356607437,0.2419877052307129
internvl_2_5_8b,REAL,26,9993,0.21918965876102448,0.21926920115947723,0.17000506818294525,0.26707056164741516
internvl_2_5_8b,REAL,27,9993,0.22302140295505524,0.22037605941295624,0.18055866658687592,0.26163405179977417
internvl_2_5_8b,REAL,28,9993,0.23237350583076477,0.2306216061115265,0.19202332198619843,0.2715108096599579
internvl_2_5_8b,REAL,29,9993,0.22235171496868134,0.22191080451011658,0.17007207870483398,0.2716315686702728
