feature_set,ae_variant,seed,threshold_rule,threshold,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
A,top32,43,fixed_0.5,0.5,0.8513205889578417,0.9668185797192862,0.9080973671137605,0.9103585657370518,0.9092265605570754,0.5136802165243645,0.5108695652173914,0.5040214477211796,0.5074224021592443
A,top32,43,train_f1,0.4276231527328491,0.8513205889578417,0.9668185797192862,0.8993320610687023,0.9387450199203188,0.9186159844054581,0.5136802165243645,0.5684210526315789,0.4343163538873995,0.49240121580547114
A,top32,44,fixed_0.5,0.5,0.8454179261506254,0.9662365238759761,0.9081735620585267,0.896414342629482,0.9022556390977443,0.49836234491141745,0.47869674185463656,0.5120643431635389,0.4948186528497409
A,top32,44,train_f1,0.4429549276828766,0.8454179261506254,0.9662365238759761,0.89375,0.9257968127490039,0.9094911937377691,0.49836234491141745,0.5049833887043189,0.4075067024128686,0.45103857566765576
A,top32,45,fixed_0.5,0.5,0.8510922796748663,0.9664098867507616,0.886290692342962,0.9626494023904383,0.9228932919551206,0.5191831583947604,0.625,0.3351206434316354,0.4363001745200698
A,top32,45,train_f1,0.6745048761367798,0.8510922796748663,0.9664098867507616,0.9063871282301317,0.9257968127490039,0.9159891598915989,0.5191831583947604,0.5484848484848485,0.48525469168900803,0.5149359886201992
A,full,43,fixed_0.5,0.5,0.8431835660040802,0.9651234729963045,0.9106874059207225,0.9038844621513944,0.9072731817045738,0.4956812802144896,0.5025773195876289,0.5227882037533512,0.5124835742444153
A,full,43,train_f1,0.44060683250427246,0.8431835660040802,0.9651234729963045,0.9027370478983382,0.9198207171314741,0.9111988159842132,0.4956812802144896,0.5194029850746269,0.46648793565683644,0.4915254237288136
A,full,44,fixed_0.5,0.5,0.8361927624622154,0.9625815032138861,0.8809742647058824,0.9546812749003984,0.9163479923518164,0.4947406448055588,0.5560975609756098,0.30563002680965146,0.3944636678200692
A,full,44,train_f1,0.5853021740913391,0.8361927624622154,0.9625815032138861,0.889943074003795,0.9342629482071713,0.9115646258503401,0.4947406448055588,0.5164835164835165,0.3780160857908847,0.43653250773993807
A,full,45,fixed_0.5,0.5,0.8365599265137841,0.9627045710659567,0.8610258658483121,0.9780876494023905,0.915831196083003,0.4755823553342015,0.56,0.15013404825737264,0.23678646934460887
A,full,45,train_f1,0.800125002861023,0.8365599265137841,0.9627045710659567,0.8901461574728902,0.9402390438247012,0.9145071445870671,0.4755823553342015,0.5384615384615384,0.3753351206434316,0.4423380726698262
B,top32,43,fixed_0.5,0.5,0.8440454001687618,0.9655480107114646,0.8777828259881872,0.9621513944223108,0.9180327868852459,0.5028228490231408,0.5777777777777777,0.27882037533512066,0.37613019891500904
B,top32,43,train_f1,0.5189194083213806,0.8440454001687618,0.9655480107114646,0.8856481481481482,0.9526892430278885,0.9179462571976967,0.5028228490231408,0.5701357466063348,0.3378016085790885,0.42424242424242425
B,top32,44,fixed_0.5,0.5,0.8411594907234332,0.9652936813798634,0.8873831775700934,0.9457171314741036,0.9156219864995179,0.4784610909347913,0.5477178423236515,0.353887399463807,0.42996742671009774
B,top32,44,train_f1,0.5009602308273315,0.8411594907234332,0.9652936813798634,0.8873831775700934,0.9457171314741036,0.9156219864995179,0.4784610909347913,0.5477178423236515,0.353887399463807,0.42996742671009774
B,top32,45,fixed_0.5,0.5,0.8437036038153019,0.9663510881983328,0.8768115942028986,0.9641434262948207,0.9184060721062619,0.4865243981968238,0.5838150289017341,0.2707774798927614,0.36996336996337
B,top32,45,train_f1,0.5223031044006348,0.8437036038153019,0.9663510881983328,0.8794131132508024,0.9551792828685259,0.9157316782048222,0.4865243981968238,0.55,0.2949061662198391,0.38394415357766143
B,full,43,fixed_0.5,0.5,0.8326352765880178,0.9614770453767306,0.8762466001813236,0.9626494023904383,0.9174181300427148,0.4754253895581192,0.5714285714285714,0.2680965147453083,0.36496350364963503
B,full,43,train_f1,0.511777400970459,0.8326352765880178,0.9614770453767306,0.8785388127853881,0.9581673306772909,0.9166269652215341,0.4754253895581192,0.5602094240837696,0.2868632707774799,0.37943262411347517
B,full,44,fixed_0.5,0.5,0.8310905172874186,0.9621547662946048,0.8739800543970988,0.9601593625498008,0.9150450878025629,0.455223900828882,0.5428571428571428,0.2546916890080429,0.3467153284671533
B,full,44,train_f1,0.5397403836250305,0.8310905172874186,0.9621547662946048,0.8867041198501873,0.9432270916334662,0.9140926640926641,0.455223900828882,0.5346938775510204,0.3512064343163539,0.42394822006472493
B,full,45,fixed_0.5,0.5,0.8288808572679791,0.9610017568875131,0.8752276867030966,0.9571713147410359,0.9143672692673644,0.4628422082152303,0.5351351351351351,0.26541554959785524,0.3548387096774194
B,full,45,train_f1,0.5257799029350281,0.8288808572679791,0.9610017568875131,0.8806660499537465,0.9482071713147411,0.913189448441247,0.4628422082152303,0.5251141552511416,0.30831099195710454,0.3885135135135135
F,top32,43,fixed_0.5,0.5,0.8682381733121135,0.9716634862415992,0.8883720930232558,0.951195219123506,0.9187109187109187,0.5408723638983967,0.5757575757575758,0.35656836461126007,0.44039735099337746
F,top32,43,train_f1,0.5781949758529663,0.8682381733121135,0.9716634862415992,0.9071914480077745,0.9297808764940239,0.9183472700442695,0.5408723638983967,0.5634674922600619,0.4879356568364611,0.5229885057471264
F,top32,44,fixed_0.5,0.5,0.8652774959144653,0.9704031593663667,0.8798011748757343,0.9696215139442231,0.9225302061122956,0.548975440834335,0.6369047619047619,0.2868632707774799,0.3955637707948244
F,top32,44,train_f1,0.5327684283256531,0.8652774959144653,0.9704031593663667,0.8877691250572607,0.9651394422310757,0.9248389405869721,0.548975440834335,0.6464646464646465,0.34316353887399464,0.44833625218914186
F,top32,45,fixed_0.5,0.5,0.8670705916281256,0.9714462791898938,0.9015369836695485,0.9347609561752988,0.9178484107579462,0.5443068894310222,0.5618729096989966,0.450402144772118,0.5
