new,baseline,ensemble_auroc_delta,ensemble_hall_aupr_delta
AE+I,AE,0.011745244224175888,0.053383378552911864
AE+S,AE,0.01967732288006152,0.0651872091289154
AE+S,AE+I,0.007932078655885633,0.011803830576003538
AE+I+S,AE+I,0.018055125343131362,0.01628296896221293
AE+I+S,AE+S,0.01012304668724573,0.004479138386209391
AE+N,AE+S,0.00020894972389262634,-0.009854989187766394
AE+N,AE+S+kappa,-0.01522796214605382,-0.032087181537619025
AE+S+kappa,AE+S,0.015436911869946446,0.02223219234985263
AE+S+N,AE+S,0.011091024641380898,0.006723344755622418
AE+S+kappa,AE+S+N,0.004345887228565548,0.015508847594230213
U,AE+S+kappa,0.007101620328338165,0.003210202155562447
H_OT,U,0.007402027279621581,0.002402939280582328
H_JS,U,0.002751727673755422,-0.005029066704741347
