feature_set,dimensions,formal_ae_ensemble_auroc,ae_cosine_ensemble_auroc,ae_cosine_minus_ae_auroc,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,seed43_auroc,seed44_auroc,seed45_auroc
A,64,0.8473765794729928,0.8609509682449825,0.013574388771989687,0.5208100104878515,0.5196993433740732,0.4727435210008937,0.4947433815777022,0.8540456137914829,0.854874069406022,0.8497391132520855
B,32,0.8346259733185222,0.8292907458637301,-0.005335227454792091,0.452229509696376,0.5412682555539697,0.22341376228775692,0.31075781873915126,0.8251117513858774,0.809052663341273,0.8310037330570479
F,96,0.8697402080685301,0.8698870736891575,0.00014686562062737885,0.546412609899695,0.5967711974176689,0.46291331546023234,0.5211099798939212,0.8657521388974931,0.8637707881610288,0.8683503252405926
C_JS,64,0.853729185136131,0.8510382064236353,-0.002690978712495795,0.4608151457456197,0.5263353686999007,0.38069705093833783,0.4375332352450461,0.852886710530532,0.8312387180500518,0.8311813069438065
D_JS,64,0.8541544278649477,0.8526223524134028,-0.0015320754515448787,0.4985400589086944,0.5551763181770725,0.35924932975871315,0.4322847752098678,0.8308027941851895,0.8465995268256732,0.847452014996315
E_JS,64,0.8537478771242109,0.8479520256774511,-0.005795851446759759,0.4712093905547177,0.5172576152545875,0.37444146559428065,0.43402084206201114,0.8442436687566091,0.8338195475470771,0.8391093801736752
G_JS,192,0.8742169392136548,0.8726574933509929,-0.00155944586266199,0.5505682365048993,0.5661195002416833,0.47899910634495085,0.5184294596684668,0.867491828930925,0.8671727299915619,0.8659951347425311
H_JS,224,0.8795935560706237,0.8789894043130427,-0.0006041517575809952,0.5428349474632994,0.5506667021767693,0.4664879356568365,0.5047884192607662,0.8734025025901755,0.8735353492197431,0.8732409504074854
C_OT,64,0.8488726060903837,0.8368650064620873,-0.01200759962829645,0.42972055561173256,0.4787406844413355,0.4361036639857015,0.45632183908045976,0.8315818495455176,0.818538847291798,0.8271044508293902
D_OT,64,0.853423437616825,0.8495902449184496,-0.003833192698375454,0.4945537147647136,0.5518303480833521,0.42359249329758714,0.4782239163982828,0.8382929408371874,0.8395866934407143,0.8433290964827019
E_OT,64,0.8485948965531974,0.8419599083558527,-0.00663498819734476,0.45461676693276715,0.5096865183458014,0.386952636282395,0.4398511711377209,0.8291131719769715,0.8298708650652084,0.8345578810762313
G_OT,192,0.8770020454375527,0.8718771028486589,-0.005124942588893733,0.5487793173360171,0.570658724562009,0.47542448614834676,0.5183473884511322,0.8642027065998739,0.8676620595366524,0.8691433995919806
H_OT,224,0.8842438556764899,0.8806823643762751,-0.0035614913002147697,0.5489824410312628,0.565740659321572,0.45933869526362825,0.5061739265801856,0.8711474477425419,0.8762076359441592,0.8748090746931844
