model,label,layer,n_mentions,mean,q25,median,q75,raw_endpoint_js_residual_real_auroc
internvl_2_5_8b,HALL,1,1766,0.009961099363863468,0.0079035684466362,0.009918257594108582,0.012062333524227142,0.5116411896028239
internvl_2_5_8b,HALL,2,1766,0.009551526978611946,0.006962127983570099,0.00975935161113739,0.012418996542692184,0.3628482463205558
internvl_2_5_8b,HALL,3,1766,-0.003192412666976452,-0.006455902010202408,-0.0021577253937721252,0.001219864934682846,0.40408127138600647
internvl_2_5_8b,HALL,4,1766,-0.0047920458018779755,-0.008039575070142746,-0.0037277042865753174,-0.00026588141918182373,0.34545648545148083
internvl_2_5_8b,HALL,5,1766,-0.006408086512237787,-0.011119451373815536,-0.004747070372104645,-0.00032364390790462494,0.36829438591158775
internvl_2_5_8b,HALL,6,1766,-0.01875985972583294,-0.025711901485919952,-0.016529329121112823,-0.009707320481538773,0.39548533350468773
internvl_2_5_8b,HALL,7,1766,-0.007939496077597141,-0.0129392109811306,-0.006283007562160492,-0.0010864213109016418,0.3689034475888502
internvl_2_5_8b,HALL,8,1766,-0.021145375445485115,-0.02830609306693077,-0.019815489649772644,-0.012663131579756737,0.42446071253274803
internvl_2_5_8b,HALL,9,1766,-0.01060281042009592,-0.016300389543175697,-0.009326763451099396,-0.0038767512887716293,0.3589676986801293
internvl_2_5_8b,HALL,10,1766,-0.02901029773056507,-0.03590276837348938,-0.028428465127944946,-0.02169329673051834,0.4232252214148999
internvl_2_5_8b,HALL,11,1766,-0.018216781318187714,-0.025285061448812485,-0.0164421945810318,-0.009799730032682419,0.4152399318254375
internvl_2_5_8b,HALL,12,1766,-0.03104471042752266,-0.03786958381533623,-0.031251855194568634,-0.024062152951955795,0.4638917400730908
internvl_2_5_8b,HALL,13,1766,-0.030817508697509766,-0.038246382027864456,-0.03007923811674118,-0.02319101244211197,0.502065687204146
internvl_2_5_8b,HALL,14,1766,-0.024742433801293373,-0.030210450291633606,-0.024485290050506592,-0.019406143575906754,0.4211880932734454
internvl_2_5_8b,HALL,15,1766,-0.03027656115591526,-0.03750396519899368,-0.030270881950855255,-0.02299327775835991,0.44120819454705495
internvl_2_5_8b,HALL,16,1766,-0.03622161224484444,-0.04216277226805687,-0.03484159708023071,-0.02937750518321991,0.5336520672058209
internvl_2_5_8b,HALL,17,1766,-0.034823399037122726,-0.041443176567554474,-0.03457532078027725,-0.02779494971036911,0.43874075386179157
internvl_2_5_8b,HALL,18,1766,-0.029359785839915276,-0.03702034801244736,-0.0290653258562088,-0.021555718034505844,0.4008738166546707
internvl_2_5_8b,HALL,19,1766,-0.030503978952765465,-0.037295445799827576,-0.030240051448345184,-0.023181788623332977,0.4057361954047335
internvl_2_5_8b,HALL,20,1766,-0.0410902313888073,-0.04927700757980347,-0.04088832437992096,-0.03268352895975113,0.4372756002814654
internvl_2_5_8b,HALL,21,1766,-0.023192312568426132,-0.029553893953561783,-0.022405996918678284,-0.016020696610212326,0.4565187420548858
internvl_2_5_8b,HALL,22,1766,-0.024628009647130966,-0.03262189403176308,-0.023282885551452637,-0.01523701474070549,0.4082260753535403
internvl_2_5_8b,HALL,23,1766,-0.010856252163648605,-0.018445968627929688,-0.010335370898246765,-0.0024353042244911194,0.3587690035346373
internvl_2_5_8b,HALL,24,1766,-0.01118767261505127,-0.017028067260980606,-0.009816668927669525,-0.004084836691617966,0.4077283033570838
