feature_set,dimensions,ensemble_auroc,mean_real_aupr,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,mean_seed_auroc,std_seed_auroc,ensemble_real_aupr,ensemble_hall_aupr,seed43_auroc,seed44_auroc,seed45_auroc
AE,32,0.8346259733185222,0.9615445228529494,0.4644971662007438,0.5400058189619772,0.3154602323503128,0.3972981192305712,0.8308688837144719,0.001540726492743572,0.9627314937320813,0.4698446995376835,0.8326352765880178,0.8310905172874186,0.8288808572679791
AE+I,64,0.8463712175426981,0.9633494516182514,0.5145066948639171,0.5605353290513538,0.35656836461126007,0.4336853566216459,0.8422075771979106,0.004348413248985394,0.9643319362188355,0.5232280780905953,0.8373670198562317,0.8413430727492176,0.8479126389882827
AE+S,64,0.8543032961985837,0.9661843391225249,0.5250706989041265,0.5996624352208434,0.37801608579088475,0.4613538490958804,0.8500791294162048,0.0037782045103161126,0.9673790819994488,0.5350319086665989,0.8461148702776027,0.8551637952212598,0.8489587227497517
AE+I+S,96,0.8644263428858294,0.9688369008980103,0.5316281536890445,0.5611200142450142,0.4611260053619303,0.5059835557930681,0.8599293620869516,0.003084004167611338,0.9705380387367953,0.5395110470528083,0.8584822906764364,0.8570897375644874,0.864216058019931
AE+N,64,0.8545122459224763,0.9670798396241377,0.5131285536269236,0.5510486724553303,0.4048257372654156,0.4664026543643507,0.8490354934150797,0.0024734378617721283,0.9685024361380643,0.5251769194788325,0.8499627495380409,0.8514928222765774,0.8456509084306207
AE+S+kappa,96,0.8697402080685301,0.969688560349129,0.5458619023606915,0.5876471765460448,0.47721179624664883,0.5261033612549495,0.8636326009634384,0.0018037143410490882,0.9717147587616,0.5572641010164515,0.8618254862587185,0.8629770462386379,0.866095270392959
AE+S+N,96,0.8653943208399646,0.9689845504588704,0.532334420821246,0.5529467195657127,0.4647006255585344,0.5028040520867644,0.8605072560517537,0.0027867532938572505,0.9703564308641897,0.5417552534222213,0.8605704527733571,0.8570630347243733,0.8638882806575306
U,128,0.8768418283968683,0.9717495953323857,0.5490241734220108,0.5655168774425111,0.5210008936550491,0.5414931516363395,0.8707511330905154,0.001026029243860788,0.9741573645414778,0.560474303172014,0.869718178225436,0.8703850816572849,0.8721501393888255
H_OT,224,0.8842438556764899,0.974449204949735,0.5496761911875123,0.5667607171381991,0.4673815907059875,0.511587984463717,0.8777826584635543,0.002565889505579976,0.9763645285702175,0.5628772424525963,0.876694962776241,0.875328444933403,0.8813245676810186
H_JS,224,0.8795935560706237,0.9734788116452685,0.5438284821039332,0.5329028540347462,0.46291331546023234,0.4947411134996635,0.8741112404715365,0.0024226837731994473,0.9748676648291819,0.5554452364672726,0.8752663608301378,0.8707402294308022,0.8763271311536696
