layer,tau_train_median,train_raw_min,train_raw_max,test_raw_min,test_raw_max,train_bounded_min,train_bounded_max,test_bounded_min,test_bounded_max
1,0.5932196378707886,0.09066598117351532,3.517585515975952,0.11291719228029251,3.074190139770508,0.13257476687431335,0.8556926250457764,0.15990836918354034,0.8382455706596375
2,0.26914745569229126,0.07219281047582626,0.9614641666412354,0.08552128076553345,0.8460136651992798,0.21149806678295135,0.7812896966934204,0.2411300241947174,0.7586469650268555
3,0.1238146722316742,0.015641625970602036,2.0090978145599365,0.023162607103586197,1.2351384162902832,0.11216148734092712,0.9419504404067993,0.15759311616420746,0.908889651298523
4,0.3126910924911499,0.02404925972223282,2.8372511863708496,0.057279862463474274,1.8606598377227783,0.07141781598329544,0.9007311463356018,0.15482260286808014,0.8561249375343323
5,0.9923688173294067,0.08646659553050995,7.11325740814209,0.13641169667243958,5.94455099105835,0.08014809340238571,0.877570390701294,0.12084873765707016,0.8569439053535461
6,2.386429786682129,0.1522887796163559,13.513202667236328,0.20898136496543884,12.0367431640625,0.059986479580402374,0.8499066233634949,0.08051956444978714,0.8345419764518738
7,1.9400826692581177,0.21581368148326874,9.423349380493164,0.17348498106002808,9.062326431274414,0.10010392218828201,0.8292696475982666,0.08208158612251282,0.8236674666404724
8,4.888286113739014,0.24739471077919006,13.534160614013672,0.13676202297210693,13.130826950073242,0.0481717474758625,0.7346559762954712,0.02721606194972992,0.7287166118621826
9,2.1546268463134766,0.2443746030330658,8.77853775024414,0.23842266201972961,9.211559295654297,0.10186513513326645,0.8029274344444275,0.09963130950927734,0.8104353547096252
10,6.99693489074707,0.29090917110443115,19.409868240356445,0.2603391110897064,16.567668914794922,0.03991704061627388,0.735032856464386,0.03587285056710243,0.7030743956565857
11,3.9282946586608887,0.2766520380973816,17.25679588317871,0.17317898571491241,10.148022651672363,0.06579204648733139,0.8145726323127747,0.042223598808050156,0.7209288477897644
12,6.357297897338867,0.23153379559516907,15.155009269714355,0.18755725026130676,15.496469497680664,0.03514033928513527,0.7044809460639954,0.028657203540205956,0.7090982794761658
13,9.569961547851562,0.22001516819000244,23.39813232421875,0.24277079105377197,21.375967025756836,0.022473512217402458,0.7097204923629761,0.02474038489162922,0.6907521486282349
14,3.7176835536956787,0.1303231120109558,12.84457015991211,0.1747359037399292,15.854513168334961,0.033867694437503815,0.7755327224731445,0.04489133507013321,0.8100528120994568
15,6.066661357879639,0.26291221380233765,20.051464080810547,0.24861012399196625,14.933492660522461,0.04153711348772049,0.7677221894264221,0.039366498589515686,0.711113452911377
16,13.569982528686523,0.38878485560417175,30.413833618164062,0.47301748394966125,28.34383773803711,0.0278523787856102,0.6914777755737305,0.03368350490927696,0.676240861415863
17,9.694793701171875,0.19261214137077332,26.03192138671875,0.4752967953681946,23.913040161132812,0.01948055438697338,0.7286401987075806,0.0467347651720047,0.7115317583084106
18,6.490203857421875,0.2170560359954834,15.926414489746094,0.1776713877916336,15.088911056518555,0.03236135467886925,0.7104735374450684,0.026645878329873085,0.6992368102073669
19,11.441877365112305,0.3350445628166199,32.302982330322266,0.545006513595581,25.57731819152832,0.028449246659874916,0.7384406924247742,0.04546690359711647,0.6909204125404358
20,16.277816772460938,0.5265326499938965,39.011436462402344,0.6278189420700073,36.63726806640625,0.031333114951848984,0.7055880427360535,0.03713666647672653,0.6923785209655762
21,9.654370307922363,0.49206972122192383,26.025171279907227,0.4702884554862976,24.760746002197266,0.048496782779693604,0.7294144034385681,0.04644981026649475,0.7194730043411255
22,6.88661003112793,0.2428203523159027,22.447559356689453,0.3038562834262848,21.173057556152344,0.03405887261033058,0.7652359008789062,0.04225821793079376,0.7545726299285889
23,2.8645272254943848,0.19074711203575134,14.260226249694824,0.19092510640621185,11.121834754943848,0.062432076781988144,0.8327258825302124,0.062486689537763596,0.7951913475990295
24,2.0925796031951904,0.15828317403793335,11.753480911254883,0.14590853452682495,10.075608253479004,0.07032111287117004,0.848868191242218,0.06518173217773438,0.8280286192893982
25,8.14941120147705,0.13967373967170715,29.40859603881836,0.12637394666671753,27.931259155273438,0.016850320622324944,0.7830180525779724,0.015270326286554337,0.7741336226463318
26,6.245793342590332,0.11482781171798706,20.87668800354004,0.11564107984304428,20.793222427368164,0.018052924424409866,0.7697189450263977,0.018178459256887436,0.7690081000328064
27,3.9039080142974854,0.16762030124664307,24.21648597717285,0.1625317633152008,19.697437286376953,0.04116888716816902,0.8611716628074646,0.039969056844711304,0.8345896005630493
28,1.89678955078125,0.15944628417491913,10.010149002075195,0.24304300546646118,7.176506042480469,0.07754280418157578,0.840698778629303,0.11358039081096649,0.7909480929374695
29,6.877601623535156,0.3125377893447876,31.92896270751953,0.32113200426101685,26.773574829101562,0.043467555195093155,0.822772204875946,0.04460951313376427,0.7956207394599915
30,12.146272659301758,0.4694095253944397,55.599056243896484,0.29582977294921875,47.89098358154297,0.03720841184258461,0.820706844329834,0.02377651073038578,0.7976877689361572
31,8.441001892089844,0.5340960025787354,55.84559631347656,0.5562634468078613,42.452117919921875,0.05950865522027016,0.8686973452568054,0.061825837939977646,0.8341425657272339
32,12.440889358520508,1.6897351741790771,65.60401916503906,1.625705599784851,49.51912307739258,0.11957965046167374,0.8405932188034058,0.11557208001613617,0.7992109656333923
