feature_set,dimensions,formal_ae_ensemble_auroc,old_ev_ensemble_auroc,old_ev_minus_ae_auroc,auroc_ci95_low,auroc_ci95_high,mean_hall_aupr,mean_hall_precision,mean_hall_recall,mean_hall_f1,seed43_auroc,seed44_auroc,seed45_auroc
A,64,0.8473765794729928,0.855522948420794,0.008146368947801186,-0.007883789420442664,0.024657346834861125,0.5084193661996453,0.5329954798785255,0.42091152815013405,0.4697025537526425,0.848321860013031,0.8435881140318083,0.845784422631191
B,32,0.8346259733185222,0.8429626000021363,0.008336626683614123,-0.0102874681005698,0.02711642301030202,0.4847199246102341,0.5305574337014499,0.258266309204647,0.34042455967775015,0.8398523866998493,0.8384831985730004,0.837997206882924
F,96,0.8697402080685301,0.8721634908088824,0.002423282740352306,-0.0047417644869555825,0.009712619894930132,0.5407740058960063,0.5831850532206836,0.41554959785522794,0.48405151013641096,0.8680939779754975,0.864761463529261,0.8690359206605216
C_JS,64,0.853729185136131,0.8498512651805645,-0.0038779199555665222,-0.02236111047766517,0.015050648944864409,0.4689221823017526,0.5205907320483372,0.3663985701519214,0.42731176414166283,0.8446201788022174,0.8402642780086089,0.8248180201446227
D_JS,64,0.8541544278649477,0.856635789282548,0.0024813614176003584,-0.014166156193317875,0.019564816591621192,0.5183422672249195,0.5624670412756729,0.32797140303842715,0.414313645741498,0.8500875853155742,0.8429732811381818,0.8577426220052765
E_JS,64,0.8537478771242109,0.857920195892035,0.004172318767824201,-0.012304150970413064,0.02086496818784304,0.48570748660237006,0.5194221536400995,0.41197497765862373,0.4588840788840789,0.8495929152024608,0.8534274430428421,0.8539207780139496
G_JS,192,0.8742169392136548,0.8712542591029983,-0.0029626801106565903,-0.011295834220497477,0.005038219543408702,0.5450429116637662,0.5745766609181243,0.4611260053619303,0.510985017849412,0.8654070046890188,0.8670645834890999,0.8674464341027311
H_JS,224,0.8795935560706237,0.8755313865182701,-0.004062169552353612,-0.01242466784282297,0.003986346362405543,0.5268325033664955,0.5353544111354102,0.45129579982126894,0.48960180271620635,0.8707762782649562,0.8673970338485202,0.868015204597161
C_OT,64,0.8488726060903837,0.8482804706108541,-0.0005921354795296319,-0.01981788795970985,0.01875544049701187,0.4688107927878691,0.5178723636614188,0.4146559428060768,0.4582350371341197,0.8393210001815794,0.8462657413242474,0.8282279728271899
D_OT,64,0.853423437616825,0.8595597502750392,0.006136312658214127,-0.01036235931633387,0.022607073007121153,0.5147466163400849,0.5471255153458543,0.4030384271671135,0.46291233536520293,0.849029485276054,0.8445394027108722,0.8539541565640921
E_OT,64,0.8485948965531974,0.8521463742883694,0.0035514777351719484,-0.014312816463906511,0.02117286719507877,0.4657583504943968,0.5072872068067675,0.41823056300268097,0.45793583192522647,0.8416648419725923,0.8400025901754912,0.8433764940239045
G_OT,192,0.8770020454375527,0.8696894726723134,-0.0073125727652392225,-0.015013107454266327,8.660526703755257e-05,0.5329231804068238,0.5248139737483158,0.47899910634495085,0.49989011234942266,0.8662948741228118,0.8585597289127671,0.8671313405893852
H_OT,224,0.8842438556764899,0.8762984256005468,-0.00794543007594306,-0.01614686578888366,7.377990894647473e-05,0.5331234004896083,0.5547558668914786,0.4146559428060768,0.47098705634673915,0.8678376307104024,0.8668950204543755,0.868041907437275
