feature_set,seed,threshold_rule,auroc,real_aupr,hall_aupr,precision,recall,f1,decision_threshold
A,43,fixed_0.5,0.8431835660040802,0.9651234729963045,0.4956812802144896,0.9106874059207225,0.9038844621513944,0.9072731817045738,0.5
A,43,train_f1,0.8431835660040802,0.9651234729963045,0.4956812802144896,0.9027370478983382,0.9198207171314741,0.9111988159842132,0.44060683250427246
A,44,fixed_0.5,0.8361927624622154,0.9625815032138861,0.4947406448055588,0.8809742647058824,0.9546812749003984,0.9163479923518164,0.5
A,44,train_f1,0.8361927624622154,0.9625815032138861,0.4947406448055588,0.889943074003795,0.9342629482071713,0.9115646258503401,0.5853021740913391
A,45,fixed_0.5,0.8365599265137841,0.9627045710659567,0.4755823553342015,0.8610258658483121,0.9780876494023905,0.915831196083003,0.5
A,45,train_f1,0.8365599265137841,0.9627045710659567,0.4755823553342015,0.8901461574728902,0.9402390438247012,0.9145071445870671,0.800125002861023
B,43,fixed_0.5,0.8326352765880178,0.9614770453767306,0.4754253895581192,0.8762466001813236,0.9626494023904383,0.9174181300427148,0.5
B,43,train_f1,0.8326352765880178,0.9614770453767306,0.4754253895581192,0.8785388127853881,0.9581673306772909,0.9166269652215341,0.511777400970459
B,44,fixed_0.5,0.8310905172874186,0.9621547662946048,0.455223900828882,0.8739800543970988,0.9601593625498008,0.9150450878025629,0.5
B,44,train_f1,0.8310905172874186,0.9621547662946048,0.455223900828882,0.8867041198501873,0.9432270916334662,0.9140926640926641,0.5397403836250305
B,45,fixed_0.5,0.8288808572679791,0.9610017568875131,0.4628422082152303,0.8752276867030966,0.9571713147410359,0.9143672692673644,0.5
B,45,train_f1,0.8288808572679791,0.9610017568875131,0.4628422082152303,0.8806660499537465,0.9482071713147411,0.913189448441247,0.5257799029350281
F,43,fixed_0.5,0.8618254862587185,0.9699448102472635,0.5363537759130242,0.8995695839311334,0.9367529880478087,0.9177848255672115,0.5
F,43,train_f1,0.8618254862587185,0.9699448102472635,0.5363537759130242,0.90869140625,0.9267928286852589,0.9176528599605522,0.5318412184715271
F,44,fixed_0.5,0.8629770462386379,0.9691491630558462,0.5467608931887518,0.8900138057984354,0.9631474103585658,0.9251375269074384,0.5
F,44,train_f1,0.8629770462386379,0.9691491630558462,0.5467608931887518,0.9050572519083969,0.9447211155378487,0.9244639376218323,0.5718568563461304
F,45,fixed_0.5,0.866095270392959,0.9699717077442771,0.5544710379802987,0.904510556621881,0.9387450199203188,0.9213098729227761,0.5
F,45,train_f1,0.866095270392959,0.9699717077442771,0.5544710379802987,0.9046934865900383,0.9407370517928287,0.92236328125,0.49642878770828247
C_JS,43,fixed_0.5,0.8456121893124553,0.965213106589659,0.4807154171748623,0.8795070743952533,0.9596613545816733,0.91783758037628,0.5
C_JS,43,train_f1,0.8456121893124553,0.965213106589659,0.4807154171748623,0.8982558139534884,0.9233067729083665,0.9106090373280943,0.6273499131202698
C_JS,44,fixed_0.5,0.8370038612306806,0.9624698855422017,0.4712453157365123,0.8571428571428571,0.9860557768924303,0.9170912459471978,0.5
C_JS,44,train_f1,0.8370038612306806,0.9624698855422017,0.4712453157365123,0.8929081389814374,0.9342629482071713,0.9131175468483816,0.8131338357925415
C_JS,45,fixed_0.5,0.8427850261153776,0.965344935151761,0.46701403706852096,0.9141388174807198,0.8854581673306773,0.8995699468757905,0.5
C_JS,45,train_f1,0.8427850261153776,0.965344935151761,0.46701403706852096,0.8943050193050193,0.922808764940239,0.9083333333333333,0.44281283020973206
D_JS,43,fixed_0.5,0.8558627420612457,0.9670397542870413,0.5117424748376919,0.8862164662349676,0.954183266932271,0.9189448441247002,0.5
D_JS,43,train_f1,0.8558627420612457,0.9670397542870413,0.5117424748376919,0.8967314069161535,0.9427290836653387,0.9191551347414421,0.5306826829910278
D_JS,44,fixed_0.5,0.8311198904115442,0.9604183174001638,0.48446110116511143,0.864592462751972,0.9825697211155379,0.9198135198135198,0.5
D_JS,44,train_f1,0.8311198904115442,0.9604183174001638,0.48446110116511143,0.8841044434264773,0.9611553784860558,0.9210212359818659,0.5889930725097656
D_JS,45,fixed_0.5,0.8419759300599212,0.963753690819824,0.5010907079392976,0.8836463582226294,0.9606573705179283,0.9205440229062276,0.5
D_JS,45,train_f1,0.8419759300599212,0.963753690819824,0.5010907079392976,0.8946622579121398,0.9432270916334662,0.9183030303030303,0.5538915395736694
E_JS,43,fixed_0.5,0.8538773858987643,0.9678900964540613,0.49660698449168394,0.886924150767799,0.9492031872509961,0.9170074573009381,0.5
E_JS,43,train_f1,0.8538773858987643,0.9678900964540613,0.49660698449168394,0.8995169082125604,0.9272908366533864,0.9131927415399705,0.5675864219665527
E_JS,44,fixed_0.5,0.8294162492122662,0.9595697912492047,0.4698235196586596,0.8596872284969591,0.9855577689243028,0.9183294663573086,0.5
E_JS,44,train_f1,0.8294162492122662,0.9595697912492047,0.4698235196586596,0.885025498377376,0.9506972111553785,0.916686674669868,0.7222659587860107
E_JS,45,fixed_0.5,0.8428070559584718,0.9655736079045154,0.4771569469480038,0.8963178294573644,0.9213147410358565,0.9086444007858546,0.5
E_JS,45,train_f1,0.8428070559584718,0.9655736079045154,0.4771569469480038,0.880941393631749,0.9506972111553785,0.9144910179640718,0.43494635820388794
G_JS,43,fixed_0.5,0.8722929995834359,0.9714448118166684,0.5671013967379894,0.8971698113207547,0.9472111553784861,0.9215116279069767,0.5
G_JS,43,train_f1,0.8722929995834359,0.9714448118166684,0.5671013967379894,0.9043519846963175,0.9417330677290837,0.9226640644059527,0.5303897261619568
G_JS,44,fixed_0.5,0.8684784988731401,0.9711775026835876,0.5482208435413554,0.9089581304771178,0.9297808764940239,0.9192516001969473,0.5
G_JS,44,train_f1,0.8684784988731401,0.9711775026835876,0.5482208435413554,0.9093567251461988,0.9292828685258964,0.9192118226600985,0.5036336779594421
G_JS,45,fixed_0.5,0.8659577507663716,0.9705737577946545,0.5485497946346545,0.9077909270216963,0.9168326693227091,0.9122893954410307,0.5
G_JS,45,train_f1,0.8659577507663716,0.9705737577946545,0.5485497946346545,0.9090009891196835,0.9153386454183267,0.9121588089330025,0.5044021010398865
H_JS,43,fixed_0.5,0.8752663608301378,0.9737786818146787,0.5551526263145268,0.9155778894472362,0.9073705179282868,0.9114557278639319,0.5
H_JS,43,train_f1,0.8752663608301378,0.9737786818146787,0.5551526263145268,0.9090459713297083,0.9158366533864541,0.9124286777474572,0.4780067801475525
H_JS,44,fixed_0.5,0.8707402294308022,0.9730101959458229,0.5299604373267186,0.9095427435387674,0.9113545816733067,0.9104477611940298,0.5
H_JS,44,train_f1,0.8707402294308022,0.9730101959458229,0.5299604373267186,0.8952929875120077,0.9282868525896414,0.9114914425427872,0.4256763458251953
H_JS,45,fixed_0.5,0.8763271311536696,0.9736475571753038,0.5463723826705542,0.9127849355797819,0.9173306772908366,0.9150521609538003,0.5
H_JS,45,train_f1,0.8763271311536696,0.9736475571753038,0.5463723826705542,0.9036786060019361,0.9297808764940239,0.9165439371624938,0.45832306146621704
C_OT,43,fixed_0.5,0.8264776016577123,0.9608141601544755,0.45940248444861737,0.8831948291782087,0.9526892430278885,0.9166267369429804,0.5
C_OT,43,train_f1,0.8264776016577123,0.9608141601544755,0.45940248444861737,0.8895157498824635,0.9422310756972112,0.9151148730350666,0.5494164824485779
C_OT,44,fixed_0.5,0.8405780363799494,0.9640552295613722,0.4767389784298889,0.8595726122982992,0.9815737051792829,0.9165310392931876,0.5
C_OT,44,train_f1,0.8405780363799494,0.9640552295613722,0.4767389784298889,0.889413988657845,0.9372509960159362,0.9127061105722599,0.8180118203163147
C_OT,45,fixed_0.5,0.8417663127650257,0.9633231707049406,0.48011694891369955,0.8879512423816222,0.9432270916334662,0.9147548901231587,0.5
C_OT,45,train_f1,0.8417663127650257,0.9633231707049406,0.48011694891369955,0.890728476821192,0.9377490039840638,0.9136341581756429,0.5276932120323181
D_OT,43,fixed_0.5,0.8389224602928766,0.9634337929201042,0.48011750480255294,0.8951690821256039,0.922808764940239,0.9087788131436979,0.5
D_OT,43,train_f1,0.8389224602928766,0.9634337929201042,0.48011750480255294,0.8907963757749165,0.9302788844621513,0.910109622411693,0.48338425159454346
D_OT,44,fixed_0.5,0.8552632633006846,0.9682799489882425,0.5120870166124353,0.9,0.9322709163346613,0.9158512720156555,0.5
D_OT,44,train_f1,0.8552632633006846,0.9682799489882425,0.5120870166124353,0.8971428571428571,0.9382470119521913,0.9172346640701071,0.48339518904685974
D_OT,45,fixed_0.5,0.8403523973809854,0.9631355098431851,0.496364900920894,0.8739344997756842,0.9701195219123506,0.9195185272598537,0.5
D_OT,45,train_f1,0.8403523973809854,0.9631355098431851,0.496364900920894,0.8944128787878788,0.9407370517928287,0.9169902912621359,0.6525065898895264
