model,label,layer,n_mentions,spearman,pearson_log
internvl_2_5_8b,ALL,1,11759,0.971551677077345,0.966705677377653
internvl_2_5_8b,ALL,2,11759,0.9269195118428813,0.9353486460413529
internvl_2_5_8b,ALL,3,11759,0.979334863233903,0.9819850664294417
internvl_2_5_8b,ALL,4,11759,0.9793801410304009,0.9807745805676525
internvl_2_5_8b,ALL,5,11759,0.9916815559643455,0.9912665070540881
internvl_2_5_8b,ALL,6,11759,0.9843928555503624,0.9843869703212803
internvl_2_5_8b,ALL,7,11759,0.9956805436658759,0.9949219113574873
internvl_2_5_8b,ALL,8,11759,0.9854895957489452,0.9877295180023561
internvl_2_5_8b,ALL,9,11759,0.9923991175696038,0.992153652474563
internvl_2_5_8b,ALL,10,11759,0.9790739689571709,0.9876942828084488
internvl_2_5_8b,ALL,11,11759,0.9865606394780043,0.9909382720064283
internvl_2_5_8b,ALL,12,11759,0.9829854680307152,0.9907562127635471
internvl_2_5_8b,ALL,13,11759,0.982680332716082,0.9914708985153556
internvl_2_5_8b,ALL,14,11759,0.9888130469866743,0.9917239983959037
internvl_2_5_8b,ALL,15,11759,0.9807418728081262,0.9878877451087357
internvl_2_5_8b,ALL,16,11759,0.9730101634802556,0.9837829646912385
internvl_2_5_8b,ALL,17,11759,0.9798129479215147,0.988448341329743
internvl_2_5_8b,ALL,18,11759,0.9792530317703121,0.9905706193763449
internvl_2_5_8b,ALL,19,11759,0.9746407194033733,0.9872595174234847
internvl_2_5_8b,ALL,20,11759,0.9394379067642811,0.9658478058790052
internvl_2_5_8b,ALL,21,11759,0.979610670151569,0.9865135069529196
internvl_2_5_8b,ALL,22,11759,0.9720357089356233,0.9773036964860015
internvl_2_5_8b,ALL,23,11759,0.9823841529491719,0.9854453416409613
internvl_2_5_8b,ALL,24,11759,0.9818404657534815,0.9825324365505843
internvl_2_5_8b,ALL,25,11759,0.9327660795925962,0.9599774784434593
internvl_2_5_8b,ALL,26,11759,0.9754532066478235,0.9852146333543881
internvl_2_5_8b,ALL,27,11759,0.9615970077657356,0.9665359212996357
internvl_2_5_8b,ALL,28,11759,0.9775116261079473,0.9771232099912284
internvl_2_5_8b,ALL,29,11759,0.9777101498023737,0.981492182566383
internvl_2_5_8b,ALL,30,11759,0.9509281609437232,0.9663113418378128
internvl_2_5_8b,ALL,31,11759,0.9843326677254656,0.9845473422757938
internvl_2_5_8b,ALL,32,11759,0.9782234661652852,0.9756770164728018
internvl_2_5_8b,REAL,1,9993,0.9710419887058779,0.967613901252538
internvl_2_5_8b,REAL,2,9993,0.9278203883690705,0.9354002626809624
internvl_2_5_8b,REAL,3,9993,0.9786901729455826,0.9816109851870608
internvl_2_5_8b,REAL,4,9993,0.9785764291987218,0.9800116066511178
internvl_2_5_8b,REAL,5,9993,0.9913832543814468,0.9910224269860846
internvl_2_5_8b,REAL,6,9993,0.9823202028545633,0.9831752592961744
internvl_2_5_8b,REAL,7,9993,0.9956692201906877,0.9948799252271936
internvl_2_5_8b,REAL,8,9993,0.9838976474706841,0.9870047385525577
internvl_2_5_8b,REAL,9,9993,0.9924674769880912,0.9922042068549946
internvl_2_5_8b,REAL,10,9993,0.9762568248754889,0.9860236830978595
internvl_2_5_8b,REAL,11,9993,0.9850640084993101,0.9901781779830533
internvl_2_5_8b,REAL,12,9993,0.9803851225349192,0.989259685205896
internvl_2_5_8b,REAL,13,9993,0.9811318224051557,0.9902146913261342
internvl_2_5_8b,REAL,14,9993,0.9877579002718517,0.9909100150423055
internvl_2_5_8b,REAL,15,9993,0.9790717878040386,0.9863786676087096
internvl_2_5_8b,REAL,16,9993,0.9701320615002625,0.9825437891994089
internvl_2_5_8b,REAL,17,9993,0.9771584981581931,0.9874378323413658
