model,family,head,method,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
llava_1_5_7b,native,svar_native,svar,0.9068118236913495,0.00017912286655337342,0.7236788285158106,0.00017839118041021725
llava_1_5_7b,native,metatoken_lr,metatoken,0.9020792672516245,0.0,0.7232311493722924,0.0
llava_1_5_7b,native,metatoken_gb,metatoken,0.8990161058682138,2.8537531488194606e-05,0.7137475961534175,5.7681581429084145e-05
llava_1_5_7b,shared_mlp_fixed,svar,svar,0.9089409719316217,0.0005490687390942193,0.7270493209999133,0.0028525930853832964
llava_1_5_7b,shared_mlp_fixed,metatoken,metatoken,0.8815410212546575,0.0010275402027764354,0.6789169302453169,0.0030267193978481886
llava_1_5_7b,shared_mlp_fixed,visual_only,visual_only,0.8984224439898988,0.0007536074563639722,0.7169131180083004,0.0027851371948939465
llava_1_5_7b,shared_mlp_fixed,all_attention,all_attention,0.9062482912692648,0.0011319718814514408,0.7506301449607848,0.0020271669197648224
llava_1_5_7b,shared_mlp_single,svar,svar,0.9104993343621984,0.00013773414965411772,0.7314468714735699,0.0028668863485267074
llava_1_5_7b,shared_mlp_single,metatoken,metatoken,0.9067203194168721,0.001942515381411654,0.7256286852336199,0.005126590427861533
llava_1_5_7b,shared_mlp_single,visual_only,visual_only,0.9000550141552649,0.0008359750682181942,0.7167749513346395,0.0005590342993304845
llava_1_5_7b,shared_mlp_single,all_attention,all_attention,0.9051759058086244,0.0010102158937816414,0.7497288274862796,0.003190588777508172
