model,feature,seed,input_dim,best_epoch,validation_AUROC,validation_HALL_AUPR,AUROC,HALL_AUPR
internvl_2_5_8b,logS,43,32,42,0.8192760942760943,0.47583387085601014,0.8545083863504915,0.5326851102127275
internvl_2_5_8b,logS,44,32,30,0.8214844523668052,0.4788261540301409,0.8508646616541353,0.538510806926253
internvl_2_5_8b,logS,45,32,21,0.8196127946127946,0.4816130800607172,0.8471978021978023,0.5373537524789476
internvl_2_5_8b,logS_plus_kappa,43,64,22,0.8639334521687463,0.5664030401585011,0.8740514748409485,0.5513463712636236
internvl_2_5_8b,logS_plus_kappa,44,64,25,0.8636759754406813,0.5523277358763623,0.8743811451706187,0.5332014410299556
internvl_2_5_8b,logS_plus_kappa,45,64,15,0.8598039215686274,0.5525972065677873,0.8741497975708501,0.5455767219344598
