layer,label,n,mean,median
1,0,357,0.1323038637638092,0.12888875603675842
2,0,357,0.16385740041732788,0.16125155985355377
3,0,357,0.12135610729455948,0.11728359758853912
4,0,357,0.16001597046852112,0.14754235744476318
5,0,357,0.15977491438388824,0.15547902882099152
6,0,357,0.15079034864902496,0.14092211425304413
7,0,357,0.17162638902664185,0.16601674258708954
8,0,357,0.17357757687568665,0.1673825979232788
9,0,357,0.21849504113197327,0.21166418492794037
10,0,357,0.24234989285469055,0.2363291233778
11,0,357,0.20119521021842957,0.19197753071784973
12,0,357,0.21968217194080353,0.21131065487861633
13,0,357,0.1970631182193756,0.1946360021829605
14,0,357,0.2820093631744385,0.28404974937438965
15,0,357,0.2844897508621216,0.2800225615501404
16,0,357,0.3095129430294037,0.3094925582408905
17,0,357,0.2599860727787018,0.2576034367084503
18,0,357,0.3525318205356598,0.35602203011512756
19,0,357,0.32574668526649475,0.3282724618911743
20,0,357,0.3451584279537201,0.3479766547679901
21,0,357,0.3887495696544647,0.3920348882675171
22,0,357,0.4110594689846039,0.4194104075431824
23,0,357,0.3308010995388031,0.33253076672554016
24,0,357,0.40894195437431335,0.41218996047973633
25,0,357,0.3799062669277191,0.3831188678741455
26,0,357,0.37509027123451233,0.37552234530448914
27,0,357,0.3747953474521637,0.3752921223640442
28,0,357,0.3657243549823761,0.3659447133541107
29,0,357,0.4014973044395447,0.40420377254486084
30,0,357,0.37192124128341675,0.37030357122421265
31,0,357,0.36491894721984863,0.3599867522716522
32,0,357,0.40400686860084534,0.40378618240356445
33,0,357,0.42616456747055054,0.42862021923065186
34,0,357,0.4000268876552582,0.3981097638607025
35,0,357,0.40695858001708984,0.411212295293808
36,0,357,0.23686961829662323,0.23209980130195618
1,1,1560,0.13668933510780334,0.13356420397758484
2,1,1560,0.184708371758461,0.18045338988304138
3,1,1560,0.12953290343284607,0.12302374839782715
4,1,1560,0.17590099573135376,0.16175273060798645
5,1,1560,0.17784073948860168,0.17352767288684845
6,1,1560,0.17233601212501526,0.16313453018665314
7,1,1560,0.20673497021198273,0.20224271714687347
8,1,1560,0.19099149107933044,0.18770214915275574
9,1,1560,0.2185177356004715,0.21749716997146606
10,1,1560,0.23421810567378998,0.22702597081661224
11,1,1560,0.1947028934955597,0.1884315460920334
12,1,1560,0.22117069363594055,0.21796318888664246
13,1,1560,0.20690672099590302,0.20687539875507355
14,1,1560,0.26722821593284607,0.26666712760925293
15,1,1560,0.28005433082580566,0.2826119661331177
16,1,1560,0.2892974019050598,0.28725793957710266
17,1,1560,0.24995097517967224,0.24751266837120056
18,1,1560,0.33223676681518555,0.33340388536453247
19,1,1560,0.29544591903686523,0.2943325638771057
20,1,1560,0.32194027304649353,0.32141000032424927
21,1,1560,0.36098507046699524,0.3611512780189514
22,1,1560,0.3868628740310669,0.3893018662929535
23,1,1560,0.31747859716415405,0.31691938638687134
24,1,1560,0.37297019362449646,0.37519025802612305
25,1,1560,0.34976187348365784,0.3507117033004761
26,1,1560,0.3700188398361206,0.37391412258148193
27,1,1560,0.35298946499824524,0.3507055640220642
28,1,1560,0.36199355125427246,0.36312365531921387
29,1,1560,0.39497292041778564,0.3966841697692871
30,1,1560,0.3474757671356201,0.3447670340538025
31,1,1560,0.34732040762901306,0.346397340297699
32,1,1560,0.3864052891731262,0.3851447105407715
33,1,1560,0.4027092456817627,0.4020048975944519
34,1,1560,0.3744801878929138,0.37104079127311707
35,1,1560,0.39609163999557495,0.3975299894809723
36,1,1560,0.24987299740314484,0.2455601990222931
