model,head,regime,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen2_5_vl_7b,svar_native,fixed_split,0.8733739367306557,0.0022135577124323207,0.4705651882800607,0.006626181974365109
qwen2_5_vl_7b,svar_native,joint_split_training,0.8731801602292939,0.008714370489594283,0.42139157629931306,0.03261671219577436
qwen2_5_vl_7b,metatoken_lr,fixed_split,0.8339372446226196,0.0,0.4408465141072135,0.0
qwen2_5_vl_7b,metatoken_lr,joint_split_training,0.8304283642752961,0.01625740853948139,0.4224151047620019,0.019259862708538803
qwen2_5_vl_7b,metatoken_gb,fixed_split,0.8272865109346492,0.00022532634560968999,0.3897540651391032,0.010005937748602015
qwen2_5_vl_7b,metatoken_gb,joint_split_training,0.8276713722930232,0.006879800963089994,0.3935622620962713,0.025623995632926777
llava_1_5_7b,svar_native,fixed_split,0.9044476072163369,0.00035734894091844527,0.7096409404052854,0.005276662232630245
llava_1_5_7b,svar_native,joint_split_training,0.9050710327129464,0.00768730820458992,0.7250961106028232,0.03390739715233388
llava_1_5_7b,metatoken_lr,fixed_split,0.8834624526806939,1.1102230246251565e-16,0.6736410172037169,0.0
llava_1_5_7b,metatoken_lr,joint_split_training,0.8875656302484757,0.0012605961531308072,0.696631268537287,0.016409854726082095
llava_1_5_7b,metatoken_gb,fixed_split,0.8861345058413462,0.00039182228357201293,0.6688174426262191,0.0005741138740575243
llava_1_5_7b,metatoken_gb,joint_split_training,0.8949727227872414,0.002449051830443517,0.7161869550878234,0.004968959533329916
qwen3_vl_8b,svar_native,fixed_split,0.8895129476584023,0.002272175774142073,0.6265796967484444,0.0038729142631544985
qwen3_vl_8b,svar_native,joint_split_training,0.8659653090722913,0.004580342130947582,0.5829360914743247,0.01930294858950057
qwen3_vl_8b,metatoken_lr,fixed_split,0.8224264462809917,0.0,0.4574226057244557,0.0
qwen3_vl_8b,metatoken_lr,joint_split_training,0.832754205975739,0.0026964264165918322,0.4769836979488237,0.013928324739596123
qwen3_vl_8b,metatoken_gb,fixed_split,0.8365553719008263,0.00024242925113778397,0.5276037523001184,0.002300675064368333
qwen3_vl_8b,metatoken_gb,joint_split_training,0.845031237244612,0.005741364622853556,0.5454173395403488,0.011684587895519202
internvl_2_5_8b,svar_native,fixed_split,0.869790823211876,0.006071846807447766,0.5373208901074216,0.011426294603283193
internvl_2_5_8b,svar_native,joint_split_training,0.8690458097000393,0.005135169923495823,0.5409228890220944,0.035659618055788704
internvl_2_5_8b,metatoken_lr,fixed_split,0.8337825332562175,1.1102230246251565e-16,0.46957987636182086,0.0
internvl_2_5_8b,metatoken_lr,joint_split_training,0.8310031839093792,0.014687131137939215,0.47540604547364634,0.03687538875330641
internvl_2_5_8b,metatoken_gb,fixed_split,0.848937728937729,0.00023749934211584624,0.5203163302840315,0.0014367400936722515
internvl_2_5_8b,metatoken_gb,joint_split_training,0.8468433821255278,0.004060319655056522,0.508946116945134,0.011254710579233962
