block,dimensions,hall_auroc,hall_aupr
adj_A_all,35,0.5924543888497377,0.2119494948033938
adj_A_top32,35,0.6028063581551952,0.21944885782383736
adj_E_all,35,0.5992882311486962,0.21762444298847172
adj_E_top32,35,0.6060292850990525,0.2243692592445708
