model,label,layer,n_mentions,mean,q25,median,q75,raw_q_softmax_js_tau007_real_auroc
qwen2_5_vl_7b,HALL,1,916,0.20839563012123108,0.16833198070526123,0.20722495019435883,0.24288031458854675,0.37877358965847513
qwen2_5_vl_7b,HALL,2,916,0.22217459976673126,0.19262444972991943,0.2200656235218048,0.2500874698162079,0.396520236740447
qwen2_5_vl_7b,HALL,3,916,0.16689923405647278,0.1442025750875473,0.1642695963382721,0.18396711349487305,0.5057719898187949
qwen2_5_vl_7b,HALL,4,916,0.16497233510017395,0.13896533846855164,0.1600794494152069,0.18356691300868988,0.5080618233358281
qwen2_5_vl_7b,HALL,5,916,0.14310047030448914,0.12364000082015991,0.13979555666446686,0.15981945395469666,0.565132171499679
qwen2_5_vl_7b,HALL,6,916,0.13422062993049622,0.09178817272186279,0.10732986032962799,0.1299481987953186,0.5543350729304103
qwen2_5_vl_7b,HALL,7,916,0.1164134293794632,0.09752512723207474,0.11352130025625229,0.13005749881267548,0.5082115634038633
qwen2_5_vl_7b,HALL,8,916,0.10473411530256271,0.07512098550796509,0.08764822036027908,0.10443155467510223,0.5305544608825763
qwen2_5_vl_7b,HALL,9,916,0.23555251955986023,0.09718550741672516,0.12956862151622772,0.41380906105041504,0.566621595372668
qwen2_5_vl_7b,HALL,10,916,0.3480483889579773,0.12873417139053345,0.404701828956604,0.5332684516906738,0.5110655811118158
qwen2_5_vl_7b,HALL,11,916,0.1174413189291954,0.091030053794384,0.10658344626426697,0.12458355724811554,0.5000113354630942
qwen2_5_vl_7b,HALL,12,916,0.2623869776725769,0.11045295000076294,0.18298687040805817,0.4378766715526581,0.505751138164461
qwen2_5_vl_7b,HALL,13,916,0.3204546272754669,0.14055998623371124,0.32692402601242065,0.48843297362327576,0.4975868058568239
qwen2_5_vl_7b,HALL,14,916,0.229958176612854,0.10934236645698547,0.1515907347202301,0.34575268626213074,0.4696641316279573
qwen2_5_vl_7b,HALL,15,916,0.44350844621658325,0.38758036494255066,0.4795587956905365,0.5339016914367676,0.47207571641526197
qwen2_5_vl_7b,HALL,16,916,0.27309972047805786,0.14270752668380737,0.20694877207279205,0.4176402688026428,0.45597474066979427
qwen2_5_vl_7b,HALL,17,916,0.41481584310531616,0.3499849736690521,0.43446850776672363,0.5009661912918091,0.565887239291346
qwen2_5_vl_7b,HALL,18,916,0.3198396861553192,0.18199977278709412,0.27079927921295166,0.4679986834526062,0.4812193767566469
qwen2_5_vl_7b,HALL,19,916,0.3593637943267822,0.2208108901977539,0.39514607191085815,0.4708271026611328,0.46063123695372166
qwen2_5_vl_7b,HALL,20,916,0.4407464563846588,0.38705334067344666,0.4543912708759308,0.50826096534729,0.6028803131834515
qwen2_5_vl_7b,HALL,21,916,0.43028485774993896,0.36510568857192993,0.45699775218963623,0.5174751281738281,0.6173923648798805
qwen2_5_vl_7b,HALL,22,916,0.48779258131980896,0.4509907364845276,0.5005267262458801,0.5465615391731262,0.5586631206725821
qwen2_5_vl_7b,HALL,23,916,0.44261234998703003,0.39202797412872314,0.4565083086490631,0.5127554535865784,0.6420130606925885
qwen2_5_vl_7b,HALL,24,916,0.47829681634902954,0.43593335151672363,0.5005189180374146,0.5483197569847107,0.5977665499160616
qwen2_5_vl_7b,HALL,25,916,0.4329052269458771,0.3771568834781647,0.4515026807785034,0.5123002529144287,0.5945008169930067
qwen2_5_vl_7b,HALL,26,916,0.4143216907978058,0.33371269702911377,0.4444039463996887,0.5105736255645752,0.669058006223589
qwen2_5_vl_7b,HALL,27,916,0.48570191860198975,0.4465647041797638,0.5012747049331665,0.5489658713340759,0.6484089208135336
qwen2_5_vl_7b,HALL,28,916,0.5026002526283264,0.46100786328315735,0.515853762626648,0.5599031448364258,0.6678330764894659
qwen2_5_vl_7b,REAL,1,7801,0.18708403408527374,0.13557621836662292,0.17883026599884033,0.22362738847732544,0.37877358965847513
qwen2_5_vl_7b,REAL,2,7801,0.20638525485992432,0.17733134329319,0.20478542149066925,0.23369282484054565,0.396520236740447
qwen2_5_vl_7b,REAL,3,7801,0.16958343982696533,0.14528685808181763,0.16429778933525085,0.18555870652198792,0.5057719898187949
qwen2_5_vl_7b,REAL,4,7801,0.169692724943161,0.1374940425157547,0.15985161066055298,0.18819652497768402,0.5080618233358281
qwen2_5_vl_7b,REAL,5,7801,0.1564113348722458,0.12802591919898987,0.1460258513689041,0.16778448224067688,0.565132171499679
qwen2_5_vl_7b,REAL,6,7801,0.15586471557617188,0.09479158371686935,0.11271633207798004,0.14207446575164795,0.5543350729304103
qwen2_5_vl_7b,REAL,7,7801,0.12661990523338318,0.09696896374225616,0.1132715493440628,0.13309414684772491,0.5082115634038633
qwen2_5_vl_7b,REAL,8,7801,0.11056359112262726,0.076378233730793,0.0904850885272026,0.10974818468093872,0.5305544608825763
qwen2_5_vl_7b,REAL,9,7801,0.27444109320640564,0.1050463318824768,0.18362729251384735,0.46777766942977905,0.566621595372668
qwen2_5_vl_7b,REAL,10,7801,0.35916638374328613,0.14648845791816711,0.42464905977249146,0.5294446349143982,0.5110655811118158
qwen2_5_vl_7b,REAL,11,7801,0.12043290585279465,0.09131535142660141,0.10619551688432693,0.12508878111839294,0.5000113354630942
qwen2_5_vl_7b,REAL,12,7801,0.2649157643318176,0.11051766574382782,0.19106562435626984,0.43876227736473083,0.505751138164461
qwen2_5_vl_7b,REAL,13,7801,0.319398432970047,0.12975743412971497,0.3187219798564911,0.49802038073539734,0.4975868058568239
qwen2_5_vl_7b,REAL,14,7801,0.22113053500652313,0.10296635329723358,0.14036260545253754,0.3193677067756653,0.4696641316279573
qwen2_5_vl_7b,REAL,15,7801,0.4174894094467163,0.31419578194618225,0.47348085045814514,0.5382076501846313,0.47207571641526197
qwen2_5_vl_7b,REAL,16,7801,0.25662484765052795,0.13112777471542358,0.1726577877998352,0.40251579880714417,0.45597474066979427
qwen2_5_vl_7b,REAL,17,7801,0.43656814098358154,0.37009936571121216,0.4667569696903229,0.5283339619636536,0.565887239291346
qwen2_5_vl_7b,REAL,18,7801,0.31598061323165894,0.165806382894516,0.25750118494033813,0.478218138217926,0.4812193767566469
qwen2_5_vl_7b,REAL,19,7801,0.334676057100296,0.16560083627700806,0.35108211636543274,0.4854919910430908,0.46063123695372166
qwen2_5_vl_7b,REAL,20,7801,0.47091925144195557,0.4269125163555145,0.48841944336891174,0.5359046459197998,0.6028803131834515
qwen2_5_vl_7b,REAL,21,7801,0.47155874967575073,0.4306158721446991,0.49954044818878174,0.5513423085212708,0.6173923648798805
