model,scope,images_with_mentions,real_mentions,hall_mentions,positive_layers,layers,mean_layer_difference,real_layer_mean,hall_layer_mean
qwen2_5_vl_7b,all,3679,7801,916,26,28,0.059140262173782855,0.7052411677596796,0.7643814299334624
qwen2_5_vl_7b,test,361,763,85,26,28,0.06319613167876888,0.70296604508955,0.766162176768319
llava_1_5_7b,all,3971,11976,3487,32,32,0.07061975436502069,0.710516728891611,0.7811364832566317
llava_1_5_7b,test,398,1228,333,32,32,0.06686893753424308,0.7151929926102927,0.7820619301445357
qwen3_vl_8b,all,3943,12280,2593,33,36,0.0445965541680341,0.8167709189965994,0.8613674731646337
qwen3_vl_8b,test,396,1250,242,34,36,0.04433634674829063,0.8179569362458255,0.8622932829941161
internvl_2_5_8b,all,3927,9993,1766,31,32,0.07080351065577886,0.724109211155132,0.7949127218109109
internvl_2_5_8b,test,390,988,175,31,32,0.07633483698195145,0.7260999087044434,0.802434745686395
