model,scope,label,layer,n_mentions,mean,median,q25,q75
qwen2_5_vl_7b,all,HALL,26,916,0.9734270177033271,0.982426255941391,0.9697924554347992,0.9888191521167755
qwen2_5_vl_7b,all,HALL,27,916,0.7891449247645499,0.7872394919395447,0.7583731561899185,0.8215772956609726
qwen2_5_vl_7b,all,HALL,28,916,0.8232331740543832,0.8326597511768341,0.7615482658147812,0.8980540931224823
qwen2_5_vl_7b,test,REAL,1,763,0.7551972797313805,0.7851064205169678,0.7052136659622192,0.8191832900047302
qwen2_5_vl_7b,test,REAL,2,763,0.5969913209328332,0.6716168522834778,0.41384340822696686,0.736489474773407
qwen2_5_vl_7b,test,REAL,3,763,0.5122567151195881,0.5124416351318359,0.4761091470718384,0.5488669574260712
qwen2_5_vl_7b,test,REAL,4,763,0.4487495698513241,0.4418305456638336,0.4033939689397812,0.48802177608013153
qwen2_5_vl_7b,test,REAL,5,763,0.6050127181828725,0.5890398025512695,0.5370835065841675,0.658201664686203
qwen2_5_vl_7b,test,REAL,6,763,0.6489917938237422,0.6594001650810242,0.5342218279838562,0.7569105923175812
qwen2_5_vl_7b,test,REAL,7,763,0.6678052438352242,0.656562328338623,0.6165026426315308,0.7097766101360321
qwen2_5_vl_7b,test,REAL,8,763,0.7331548429644749,0.7497168183326721,0.6610338389873505,0.8161880075931549
qwen2_5_vl_7b,test,REAL,9,763,0.6691474337252845,0.6805905699729919,0.5771166980266571,0.7656963467597961
qwen2_5_vl_7b,test,REAL,10,763,0.7005685819398373,0.7123444676399231,0.5769913196563721,0.8092382550239563
qwen2_5_vl_7b,test,REAL,11,763,0.705717054763284,0.7029085159301758,0.6429842114448547,0.7676674723625183
qwen2_5_vl_7b,test,REAL,12,763,0.8238929797593763,0.8526409864425659,0.7314692437648773,0.9213049709796906
qwen2_5_vl_7b,test,REAL,13,763,0.7136104557648555,0.7119421362876892,0.6430850028991699,0.7740252315998077
qwen2_5_vl_7b,test,REAL,14,763,0.6643169054353847,0.6747637391090393,0.5723619163036346,0.7506192624568939
qwen2_5_vl_7b,test,REAL,15,763,0.6815466848769631,0.6746583580970764,0.6131941676139832,0.7407324016094208
qwen2_5_vl_7b,test,REAL,16,763,0.675577846610843,0.669579803943634,0.6271639168262482,0.7201343476772308
qwen2_5_vl_7b,test,REAL,17,763,0.7209583924372887,0.7088911533355713,0.6239410638809204,0.8086717426776886
qwen2_5_vl_7b,test,REAL,18,763,0.7122623072851688,0.70249342918396,0.647901713848114,0.7702842056751251
qwen2_5_vl_7b,test,REAL,19,763,0.6182379117955699,0.6142258644104004,0.5972356796264648,0.6352790296077728
qwen2_5_vl_7b,test,REAL,20,763,0.5830650540901199,0.5768970847129822,0.5507396161556244,0.6109046339988708
qwen2_5_vl_7b,test,REAL,21,763,0.711824851103254,0.708854079246521,0.5842573940753937,0.835106760263443
qwen2_5_vl_7b,test,REAL,22,763,0.7344130481133142,0.7455683350563049,0.6159226298332214,0.8691476285457611
qwen2_5_vl_7b,test,REAL,23,763,0.7312904155348107,0.736752450466156,0.6406029462814331,0.823138564825058
qwen2_5_vl_7b,test,REAL,24,763,0.9263094881571449,0.947563886642456,0.9002483785152435,0.9688242375850677
qwen2_5_vl_7b,test,REAL,25,763,0.8571183277613839,0.8741856813430786,0.8216404616832733,0.9069629609584808
qwen2_5_vl_7b,test,REAL,26,763,0.9469341002941757,0.9610034227371216,0.9226624071598053,0.981172651052475
qwen2_5_vl_7b,test,REAL,27,763,0.7642745313919387,0.7636280655860901,0.7392139434814453,0.7900311350822449
qwen2_5_vl_7b,test,REAL,28,763,0.7738234072259651,0.7759881019592285,0.6972543597221375,0.8485262393951416
qwen2_5_vl_7b,test,HALL,1,85,0.7439873313202577,0.7688734531402588,0.6829993724822998,0.8278677463531494
qwen2_5_vl_7b,test,HALL,2,85,0.5945909160024979,0.6894884705543518,0.3707205057144165,0.7457191348075867
qwen2_5_vl_7b,test,HALL,3,85,0.5422738068244036,0.5356184840202332,0.5130261182785034,0.5814117789268494
qwen2_5_vl_7b,test,HALL,4,85,0.4734439905952005,0.4740918278694153,0.43269264698028564,0.5039820671081543
qwen2_5_vl_7b,test,HALL,5,85,0.6553269456414615,0.6357226967811584,0.5901136994361877,0.7116032242774963
qwen2_5_vl_7b,test,HALL,6,85,0.7429884195327758,0.7461909651756287,0.6954118013381958,0.8149330019950867
qwen2_5_vl_7b,test,HALL,7,85,0.6986593274509205,0.6934486031532288,0.6659152507781982,0.7347177863121033
qwen2_5_vl_7b,test,HALL,8,85,0.8098520342041464,0.8164402842521667,0.7661851644515991,0.8701942563056946
qwen2_5_vl_7b,test,HALL,9,85,0.7664171523907606,0.7857214212417603,0.71186363697052,0.8300807476043701
qwen2_5_vl_7b,test,HALL,10,85,0.7678447278106914,0.7765953540802002,0.704278826713562,0.8318570256233215
qwen2_5_vl_7b,test,HALL,11,85,0.763396746972028,0.7670693397521973,0.7246201038360596,0.8172987699508667
qwen2_5_vl_7b,test,HALL,12,85,0.9052477675325731,0.9303497672080994,0.8859817981719971,0.9511396884918213
qwen2_5_vl_7b,test,HALL,13,85,0.789075634058784,0.7979968190193176,0.7239978909492493,0.8579420447349548
qwen2_5_vl_7b,test,HALL,14,85,0.7527784494792714,0.767477810382843,0.7093226909637451,0.8034369945526123
qwen2_5_vl_7b,test,HALL,15,85,0.7636546843192157,0.775873601436615,0.7197890877723694,0.8234735727310181
qwen2_5_vl_7b,test,HALL,16,85,0.7345938068978927,0.7492052316665649,0.6889727115631104,0.7818219065666199
qwen2_5_vl_7b,test,HALL,17,85,0.855859899520874,0.887766420841217,0.8121042847633362,0.9152020215988159
qwen2_5_vl_7b,test,HALL,18,85,0.7942347351242515,0.8063704967498779,0.734822154045105,0.8535714745521545
qwen2_5_vl_7b,test,HALL,19,85,0.639221368116491,0.6271275877952576,0.6113380193710327,0.6580302119255066
qwen2_5_vl_7b,test,HALL,20,85,0.621180794168921,0.6259995102882385,0.599297821521759,0.6480516195297241
qwen2_5_vl_7b,test,HALL,21,85,0.8490903447656071,0.8914328813552856,0.7893383502960205,0.9192044734954834
qwen2_5_vl_7b,test,HALL,22,85,0.8711152146844303,0.9052950739860535,0.8298975825309753,0.9407666325569153
qwen2_5_vl_7b,test,HALL,23,85,0.8369337811189539,0.8588411211967468,0.780684769153595,0.9078123569488525
qwen2_5_vl_7b,test,HALL,24,85,0.9683726745493272,0.9800101518630981,0.9628486633300781,0.9860220551490784
qwen2_5_vl_7b,test,HALL,25,85,0.9044475870973924,0.9171440005302429,0.8895677328109741,0.9375900626182556
qwen2_5_vl_7b,test,HALL,26,85,0.9764848169158487,0.9841501116752625,0.9717128276824951,0.9903489947319031
qwen2_5_vl_7b,test,HALL,27,85,0.7987458733951345,0.8007330894470215,0.764431893825531,0.8253312706947327
qwen2_5_vl_7b,test,HALL,28,85,0.8327221190228181,0.8512012362480164,0.7554717659950256,0.9192004799842834
llava_1_5_7b,all,REAL,1,11976,0.6096226647645534,0.6269024610519409,0.4993758201599121,0.6909280568361282
llava_1_5_7b,all,REAL,2,11976,0.5160439163272231,0.5060780942440033,0.4427228420972824,0.5821838825941086
llava_1_5_7b,all,REAL,3,11976,0.6640414623549842,0.6513366997241974,0.5761714577674866,0.746368408203125
llava_1_5_7b,all,REAL,4,11976,0.8643407701385881,0.8823232054710388,0.8320214599370956,0.913205474615097
llava_1_5_7b,all,REAL,5,11976,0.7905871733654796,0.8195549249649048,0.7311004400253296,0.8711053431034088
llava_1_5_7b,all,REAL,6,11976,0.7829341639079647,0.784544974565506,0.7221858203411102,0.8431591838598251
llava_1_5_7b,all,REAL,7,11976,0.665332145513637,0.6732345521450043,0.5876004546880722,0.7415487170219421
llava_1_5_7b,all,REAL,8,11976,0.8357830769970326,0.8495694100856781,0.7883352488279343,0.892751932144165
llava_1_5_7b,all,REAL,9,11976,0.7131779599255454,0.7083520293235779,0.6713161021471024,0.7481369376182556
llava_1_5_7b,all,REAL,10,11976,0.6834306992470979,0.6850082576274872,0.6253489404916763,0.7502247095108032
llava_1_5_7b,all,REAL,11,11976,0.6199553839130727,0.6009323000907898,0.5576779693365097,0.6631610542535782
llava_1_5_7b,all,REAL,12,11976,0.6381073215318148,0.6249080002307892,0.5956202745437622,0.675738051533699
llava_1_5_7b,all,REAL,13,11976,0.7047813317714211,0.7127629518508911,0.6274899989366531,0.7833615243434906
llava_1_5_7b,all,REAL,14,11976,0.6483828526714402,0.6406185328960419,0.5885799080133438,0.7065434008836746
llava_1_5_7b,all,REAL,15,11976,0.6447012077098738,0.6207845509052277,0.5904818922281265,0.6792810410261154
llava_1_5_7b,all,REAL,16,11976,0.6473378025159569,0.6488601565361023,0.5940905064344406,0.6905868202447891
llava_1_5_7b,all,REAL,17,11976,0.6121793512675511,0.6096345484256744,0.5569025278091431,0.6590467989444733
llava_1_5_7b,all,REAL,18,11976,0.8061516513486823,0.8310272991657257,0.7360889762639999,0.8851382583379745
llava_1_5_7b,all,REAL,19,11976,0.7886519937308812,0.8207958042621613,0.7076324671506882,0.8812027722597122
llava_1_5_7b,all,REAL,20,11976,0.7146479563517577,0.7412769496440887,0.6016468107700348,0.8340223431587219
llava_1_5_7b,all,REAL,21,11976,0.6721304524453505,0.6798445582389832,0.6049834191799164,0.7313384264707565
llava_1_5_7b,all,REAL,22,11976,0.8207787857051881,0.8536712527275085,0.7555869519710541,0.9006241708993912
llava_1_5_7b,all,REAL,23,11976,0.7919700730494961,0.8087875843048096,0.72069151699543,0.8731237649917603
llava_1_5_7b,all,REAL,24,11976,0.8220085967045947,0.855052649974823,0.770747572183609,0.8950530886650085
llava_1_5_7b,all,REAL,25,11976,0.6464190707506541,0.6489614546298981,0.6078964173793793,0.6859594136476517
