model,group,classifier,reference,AUROC_delta,HALL_AUPR_delta
qwen2_5_vl_7b,visual,three_hidden,corresponding AE only,0.09649800505878992,0.11442798299763696
qwen2_5_vl_7b,visual,one_hidden,corresponding AE only,0.12510392156171024,0.05907336304925903
qwen2_5_vl_7b,visual,xgb,corresponding AE only,0.11704184261307327,0.1416534152770288
qwen2_5_vl_7b,visual_prompt_sum,three_hidden,corresponding AE only,0.023313119340169997,-0.0025872924777537998
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,corresponding AE only,0.05117703295268938,-0.007169206845533405
qwen2_5_vl_7b,visual_prompt_sum,xgb,corresponding AE only,0.048397167924308704,0.0820653685568567
qwen2_5_vl_7b,generation,three_hidden,corresponding AE only,0.0772470869625036,0.13527902759751392
qwen2_5_vl_7b,generation,one_hidden,corresponding AE only,0.10170260853409152,0.09358655704411539
qwen2_5_vl_7b,generation,xgb,corresponding AE only,0.10385159471825656,0.08362640436311439
qwen2_5_vl_7b,vp_generation,three_hidden,corresponding AE only,0.03438319098872178,0.025434063449167765
qwen2_5_vl_7b,vp_generation,one_hidden,corresponding AE only,0.04644867538961006,-0.02697537158921104
qwen2_5_vl_7b,vp_generation,xgb,corresponding AE only,0.053478888195098495,0.09903735406042513
