layers,metric,difference,ci95_low,ci95_high,images,replicates
16-32,bbox_mass,-0.0011981924009673572,-0.0011981924009673572,-0.0011981924009673572,1,100
16-32,patch_aupr,-0.003993005787625015,-0.003993005787625015,-0.003993005787625015,1,100
16-32,patch_auroc,-0.007454125826957481,-0.007454125826957481,-0.007454125826957481,1,100
16-32,top1_pointing,-0.047058823529411764,-0.047058823529411764,-0.047058823529411764,1,100
16-32,top32_box_recall,-0.0005513217432722151,-0.0005513217432722151,-0.0005513217432722151,1,100
16-32,uniform_enrichment,0.0006432706176686676,0.0006432706176686676,0.0006432706176686676,1,100
