method,layer,metric,count,mean,std,q10,median,q90
JFFN,1,cosine,10,0.9490686178207397,0.028137096467888974,0.9089560151100159,0.9614631235599518,0.9780781924724579
JFFN,1,js,10,0.013309066090732813,0.005960390288086792,0.007918865047395229,0.011183651629835367,0.021679526194930077
JFFN,1,top1_agreement,10,0.2,0.4000000000000001,0.0,0.0,1.0
JFFN,1,top32_overlap,10,0.784375,0.06767627446158661,0.7125,0.796875,0.846875
JFFN,1,total_variation,10,0.1285240761935711,0.030339208832069996,0.09920249432325363,0.1183864027261734,0.17080505043268204
JFFN,10,cosine,10,0.596958777308464,0.12074175418882038,0.477448371052742,0.5750872790813446,0.7788508474826813
JFFN,10,js,10,0.12208404950797558,0.03660512192291869,0.06688426546752453,0.1269618347287178,0.15812762528657912
JFFN,10,top1_agreement,10,0.0,0.0,0.0,0.0,0.0
JFFN,10,top32_overlap,10,0.565625,0.12058613363484211,0.403125,0.5625,0.671875
JFFN,10,total_variation,10,0.4022318243980408,0.07157299958304211,0.29570214450359344,0.41739508509635925,0.490123039484024
JFFN,11,cosine,10,0.4472595155239105,0.23919795078555392,0.2019628256559372,0.38636836409568787,0.7577475547790528
JFFN,11,js,10,0.19061155691742898,0.08461536190904836,0.09763457477092743,0.17441203445196152,0.29470055103302
JFFN,11,top1_agreement,10,0.0,0.0,0.0,0.0,0.0
JFFN,11,top32_overlap,10,0.453125,0.15515239484133012,0.26875,0.484375,0.5812499999999999
JFFN,11,total_variation,10,0.4931257486343384,0.1250844397853066,0.36620256006717683,0.4915718734264374,0.6398053407669068
JFFN,12,cosine,10,0.36438551619648935,0.2612172573842272,0.06391191333532334,0.28213823586702347,0.7031397461891175
JFFN,12,js,10,0.2743245601654053,0.10741496343172054,0.16909702569246293,0.24817656725645065,0.4196322292089462
JFFN,12,top1_agreement,10,0.2,0.4000000000000001,0.0,0.0,1.0
JFFN,12,top32_overlap,10,0.29375,0.1506496349149244,0.1125,0.3125,0.471875
JFFN,12,total_variation,10,0.5977126330137252,0.12730574938923048,0.47314669489860534,0.5678757131099701,0.7585302531719208
JFFN,13,cosine,10,0.3415587656199932,0.14958995396197391,0.17908524647355079,0.3930288851261139,0.5174441039562225
JFFN,13,js,10,0.26055943965911865,0.09423419038585583,0.16350774317979813,0.23543952405452728,0.3995142489671707
JFFN,13,top1_agreement,10,0.0,0.0,0.0,0.0,0.0
JFFN,13,top32_overlap,10,0.35,0.13961442439805422,0.153125,0.375,0.503125
JFFN,13,total_variation,10,0.596064692735672,0.11683632121229802,0.45695059895515444,0.5746391117572784,0.760693633556366
JFFN,14,cosine,10,0.48672464191913606,0.15874517870143814,0.30325774252414706,0.4656096398830414,0.7344488561153412
JFFN,14,js,10,0.19700654745101928,0.06539213015034409,0.1297706738114357,0.18149328976869583,0.27101882994174953
JFFN,14,top1_agreement,10,0.1,0.30000000000000004,0.0,0.0,0.09999999999999964
JFFN,14,top32_overlap,10,0.30625,0.13169567191065926,0.146875,0.328125,0.42187499999999994
JFFN,14,total_variation,10,0.5191693246364594,0.09072622658773849,0.4188230484724045,0.5100565850734711,0.6199995100498199
JFFN,15,cosine,10,0.3150427434593439,0.20909358397030978,0.04369937628507614,0.39719219505786896,0.5005941480398177
JFFN,15,js,10,0.29148314595222474,0.12944363413255497,0.16594086438417435,0.22610057145357132,0.4723402827978134
JFFN,15,top1_agreement,10,0.0,0.0,0.0,0.0,0.0
JFFN,15,top32_overlap,10,0.275,0.1955560980895252,0.03125,0.296875,0.503125
JFFN,15,total_variation,10,0.6243252098560333,0.1459328458221329,0.4537676751613617,0.558690994977951,0.8222574114799499
JFFN,16,cosine,10,0.3252867810428143,0.1542987063072276,0.12792386189103128,0.32587921619415283,0.512035459280014
JFFN,16,js,10,0.2591885715723038,0.09466433130095613,0.1520504981279373,0.2380918562412262,0.41255851089954376
JFFN,16,top1_agreement,10,0.0,0.0,0.0,0.0,0.0
JFFN,16,top32_overlap,10,0.23125,0.14604151806934904,0.0625,0.25,0.36249999999999993
JFFN,16,total_variation,10,0.5929297387599946,0.11270838171389377,0.45364499986171725,0.585394561290741,0.7732263207435608
JFFN,17,cosine,10,0.46366852074861525,0.15332537284170134,0.293959404528141,0.44796526432037354,0.65296391248703
JFFN,17,js,10,0.18821493461728095,0.06489079858199451,0.10818231776356697,0.17977463454008102,0.2691690355539322
JFFN,17,top1_agreement,10,0.0,0.0,0.0,0.0,0.0
JFFN,17,top32_overlap,10,0.271875,0.1556551175676534,0.09375,0.265625,0.50625
JFFN,17,total_variation,10,0.5030884504318237,0.09497358640311167,0.3760842472314835,0.5025637149810791,0.614539748430252
JFFN,18,cosine,10,0.32245183140039446,0.12028149144189983,0.13448789119720458,0.33544743061065674,0.4684587836265564
JFFN,18,js,10,0.2714496850967407,0.08753108351384105,0.178512641787529,0.24182948470115662,0.40088272392749785
JFFN,18,top1_agreement,10,0.0,0.0,0.0,0.0,0.0
JFFN,18,top32_overlap,10,0.2,0.10288798520721455,0.0625,0.25,0.29062499999999997
JFFN,18,total_variation,10,0.6088086068630219,0.10107344847643775,0.49308969378471373,0.5732965171337128,0.7586669683456421
JFFN,19,cosine,10,0.25678981766104697,0.18451654973081258,0.1159185640513897,0.1842348277568817,0.437900075316429
JFFN,19,js,10,0.27948071509599687,0.082078569933464,0.21980584412813187,0.27269572019577026,0.3772006094455719
JFFN,19,top1_agreement,10,0.0,0.0,0.0,0.0,0.0
JFFN,19,top32_overlap,10,0.25625,0.14238482187368148,0.0625,0.25,0.41562499999999997
JFFN,19,total_variation,10,0.6043097317218781,0.10494918778282747,0.5262799263000488,0.6066516041755676,0.72401385307312
JFFN,2,cosine,10,0.9746563017368317,0.013276598152266521,0.9580082893371582,0.9764296114444733,0.9902062952518463
JFFN,2,js,10,0.005512059188913554,0.0018187292046811018,0.0036812571226619182,0.005760993110015988,0.0077008259482681755
JFFN,2,top1_agreement,10,0.4,0.48989794855663565,0.0,0.0,1.0
JFFN,2,top32_overlap,10,0.7875,0.0414578098794425,0.746875,0.78125,0.81875
JFFN,2,total_variation,10,0.08016878850758076,0.0159976007890581,0.0647779319435358,0.08388908579945564,0.097640360891819
JFFN,20,cosine,10,0.41989436075091363,0.19994657625054893,0.10787548944354057,0.4454563409090042,0.6347323060035706
JFFN,20,js,10,0.2682616159319878,0.12175112429517479,0.12365913540124893,0.2501184940338135,0.46605129837989806
JFFN,20,top1_agreement,10,0.3,0.45825756949558405,0.0,0.0,1.0
JFFN,20,top32_overlap,10,0.2625,0.1774383695822299,0.059375,0.203125,0.50625
JFFN,20,total_variation,10,0.6005836427211761,0.14602276443512335,0.40828860402107237,0.5980713367462158,0.8292411506175995
