model,best_single,AUROC,HALL_AUPR,AUROC_delta,HALL_AUPR_delta
qwen2_5_vl_7b,visual,0.8577312350291216,0.4266091512324722,0.01926796887585991,0.04624406091642652
llava_1_5_7b,visual,0.8960658620750191,0.6877815985492841,0.010623808358022124,-6.881749382703362e-05
qwen3_vl_8b,visual,0.8940385816618764,0.6471133478208343,0.03213702088073478,0.08214187702092568
internvl_2_5_8b,prompt,0.8647443292068545,0.5197238451353047,0.020407868080849045,0.025092508492366217
