model,family,head,method,seed,AUROC,HALL_AUPR
shikra_7b,native,svar_native,svar,43,0.8826686701536679,0.6935316333992145
shikra_7b,native,svar_native,svar,44,0.8820574368312645,0.6855822473882874
shikra_7b,native,svar_native,svar,45,0.8822388967238531,0.6897886424329863
shikra_7b,native,metatoken_lr,metatoken,43,0.8790649403569986,0.6806862450919064
shikra_7b,native,metatoken_lr,metatoken,44,0.8790649403569986,0.6806862450919064
shikra_7b,native,metatoken_lr,metatoken,45,0.8790649403569986,0.6806862450919064
shikra_7b,native,metatoken_gb,metatoken,43,0.8758878004832562,0.6637631144048991
shikra_7b,native,metatoken_gb,metatoken,44,0.8758909839901438,0.6639015293639484
shikra_7b,native,metatoken_gb,metatoken,45,0.8759578376347816,0.6641698083102635
shikra_7b,shared_mlp_fixed,svar,svar,43,0.8757668272215308,0.6788351145157158
shikra_7b,shared_mlp_fixed,svar,svar,44,0.8757540931939806,0.6762225129102898
shikra_7b,shared_mlp_fixed,svar,svar,45,0.8751937959817777,0.6778159050908281
shikra_7b,shared_mlp_fixed,metatoken,metatoken,43,0.8742960470394978,0.6660991133045652
shikra_7b,shared_mlp_fixed,metatoken,metatoken,44,0.8742291933948599,0.6660090443313295
shikra_7b,shared_mlp_fixed,metatoken,metatoken,45,0.875559899273842,0.669639154328052
shikra_7b,shared_mlp_fixed,visual_only,visual_only,43,0.8605369302716486,0.6621988698080943
shikra_7b,shared_mlp_fixed,visual_only,visual_only,44,0.8601835610071342,0.6646477532917184
shikra_7b,shared_mlp_fixed,visual_only,visual_only,45,0.8626857974207227,0.6609444636205465
shikra_7b,shared_mlp_fixed,all_attention,all_attention,43,0.8691228483472824,0.6841281715914407
shikra_7b,shared_mlp_fixed,all_attention,all_attention,44,0.8756808725355678,0.6939180519584673
shikra_7b,shared_mlp_fixed,all_attention,all_attention,45,0.8748085916483881,0.6861952259901392
shikra_7b,shared_mlp_single,svar,svar,43,0.8810546321616965,0.6949515186100815
shikra_7b,shared_mlp_single,svar,svar,44,0.8809368424068584,0.6980322740154218
shikra_7b,shared_mlp_single,svar,svar,45,0.8805420875528063,0.6964258459194583
shikra_7b,shared_mlp_single,metatoken,metatoken,43,0.8737039147584195,0.6547939151557156
shikra_7b,shared_mlp_single,metatoken,metatoken,44,0.8755312477118544,0.6701311638598064
shikra_7b,shared_mlp_single,metatoken,metatoken,45,0.8753020352159532,0.6731494920463991
shikra_7b,shared_mlp_single,visual_only,visual_only,43,0.8629309274510617,0.6543891402248613
shikra_7b,shared_mlp_single,visual_only,visual_only,44,0.8632460946329259,0.6555628388762602
shikra_7b,shared_mlp_single,visual_only,visual_only,45,0.8624470344041589,0.6493534269550478
shikra_7b,shared_mlp_single,all_attention,all_attention,43,0.8773872322272769,0.6783261152397839
shikra_7b,shared_mlp_single,all_attention,all_attention,44,0.8774095167754894,0.6856189623148036
shikra_7b,shared_mlp_single,all_attention,all_attention,45,0.8733027928905924,0.6656177709372538
