model,family,head,method,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
shikra_7b,native,svar_native,svar,0.8823216679029285,0.00025630690544505084,0.6896341744068294,0.0032471607871091992
shikra_7b,native,metatoken_lr,metatoken,0.8790649403569986,0.0,0.6806862450919064,0.0
shikra_7b,native,metatoken_gb,metatoken,0.8759122073693938,3.2291634815065653e-05,0.6639448173597037,0.0001688300350402124
shikra_7b,shared_mlp_fixed,svar,svar,0.8755715721324296,0.0002671786591595925,0.6776245108389446,0.001075142039270208
shikra_7b,shared_mlp_fixed,metatoken,metatoken,0.8746950465693999,0.0006121519434127228,0.6672491039879822,0.0016904207712944719
shikra_7b,shared_mlp_fixed,visual_only,visual_only,0.8611354295665018,0.0011057268565147348,0.6625970289067865,0.0015378527450215992
shikra_7b,shared_mlp_fixed,all_attention,all_attention,0.8732041041770794,0.002907771809905777,0.6880804831800157,0.004213160761562866
shikra_7b,shared_mlp_single,svar,svar,0.8808445207071204,0.00021919240590176838,0.6964698795149872,0.0012580984818459685
shikra_7b,shared_mlp_single,metatoken,metatoken,0.8748457325620757,0.0008127916972300104,0.6660248570206404,0.008036504946823777
shikra_7b,shared_mlp_single,visual_only,visual_only,0.8628746854960488,0.0003286301674395613,0.653101802018723,0.0026934647877855386
shikra_7b,shared_mlp_single,all_attention,all_attention,0.8760331806311196,0.0019306971211608059,0.6765209494972804,0.00826461862999028
