model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
llava_1_5_7b,all,cos_mean,HALL,13,450,450,0,-0.4299370563070485,-0.4436700638228407,-0.4304223402092854,-0.41875595277330524
llava_1_5_7b,all,cos_mean,HALL,14,450,450,0,-0.4164382076530033,-0.4338006341390105,-0.42260338133201003,-0.4061940680775378
llava_1_5_7b,all,cos_mean,HALL,15,450,450,0,-0.34354180798694695,-0.36126735616320127,-0.34098321751743144,-0.3254477153984933
llava_1_5_7b,all,cos_mean,HALL,16,450,450,0,-0.33116382342908013,-0.3538657738115742,-0.33529618643741643,-0.3106152059678809
llava_1_5_7b,all,cos_mean,HALL,17,450,450,0,-0.31031913418147417,-0.3279077464345998,-0.3116693294917544,-0.2939062360189079
llava_1_5_7b,all,cos_mean,HALL,18,450,450,0,-0.26244968042721073,-0.2796048619202338,-0.2609547618517859,-0.24619659015621032
llava_1_5_7b,all,cos_mean,HALL,19,450,450,0,-0.1788881046848367,-0.19733632078108104,-0.18231997855117596,-0.16325632592260164
llava_1_5_7b,all,cos_mean,HALL,20,450,450,0,-0.17984424379534283,-0.19779843355516075,-0.1837772356381417,-0.16785854580719692
llava_1_5_7b,all,cos_mean,HALL,21,450,450,0,-0.132198240096716,-0.14830147846921843,-0.13351633346735525,-0.11935924147888323
llava_1_5_7b,all,cos_mean,HALL,22,450,450,0,-0.1016300914463725,-0.10873988647896718,-0.1019868577261352,-0.09563126887567502
llava_1_5_7b,all,cos_mean,HALL,23,450,450,0,-0.03834912565073046,-0.05223101221196834,-0.04196367731237337,-0.029533638994627784
llava_1_5_7b,all,cos_mean,HALL,24,450,450,0,-0.06498539098575375,-0.07363937961855527,-0.06406184616419826,-0.056451315348389305
llava_1_5_7b,all,cos_mean,HALL,25,450,450,0,-0.017941658303941857,-0.023523208307747408,-0.01686669084963594,-0.011885024347227022
llava_1_5_7b,all,cos_mean,HALL,26,450,450,0,0.024316033220173002,0.011692829940724576,0.02209887959719481,0.03595663341289305
llava_1_5_7b,all,cos_mean,HALL,27,450,450,0,0.009813398619344752,0.0022488742177012946,0.009015862126046967,0.017699809286557726
llava_1_5_7b,all,cos_mean,HALL,28,450,450,0,0.00919535337615653,0.002269874096589951,0.010657506667702895,0.0191211534902733
llava_1_5_7b,all,cos_mean,HALL,29,450,450,0,0.018130145663141223,0.00636548437761222,0.019859281756806818,0.03219865005833829
llava_1_5_7b,all,cos_mean,HALL,30,450,450,0,0.027097620702343207,0.015844071771513295,0.029034814765717933,0.03945509231493579
llava_1_5_7b,all,cos_mean,HALL,31,450,450,0,0.003185596898311954,-0.006278674952311134,0.005239013877873807,0.016448398094376496
llava_1_5_7b,all,cos_mean,HALL,32,450,450,0,0.04834688437938101,0.01611349879921262,0.040404828926215136,0.07067835891997573
llava_1_5_7b,all,parallel_gain_mean,REAL,1,1503,1503,0,-0.16854091767081364,-0.3688104613351883,-0.16229245074436446,0.05225300511516444
llava_1_5_7b,all,parallel_gain_mean,REAL,2,1503,1503,0,-0.10945928667455543,-0.12178614936471152,-0.10984641825266611,-0.09766665744332675
llava_1_5_7b,all,parallel_gain_mean,REAL,3,1503,1503,0,-0.10604077717809916,-0.11614977186971404,-0.10541137855773752,-0.09523152203677307
llava_1_5_7b,all,parallel_gain_mean,REAL,4,1503,1503,0,-0.2227607000806038,-0.24094559605891386,-0.2221151314161397,-0.20160354471923747
llava_1_5_7b,all,parallel_gain_mean,REAL,5,1503,1503,0,-0.2222964060981796,-0.23759879013704532,-0.22456117181638907,-0.20690568844256393
llava_1_5_7b,all,parallel_gain_mean,REAL,6,1503,1503,0,-0.26319403793110946,-0.2846347578359152,-0.26394674064711765,-0.24129984801933554
llava_1_5_7b,all,parallel_gain_mean,REAL,7,1503,1503,0,-0.2770578004473205,-0.29847868905073893,-0.2785557772692784,-0.2569223150352871
llava_1_5_7b,all,parallel_gain_mean,REAL,8,1503,1503,0,-0.27998104664361806,-0.3076491233992352,-0.28235095209144195,-0.2584021731311585
llava_1_5_7b,all,parallel_gain_mean,REAL,9,1503,1503,0,-0.24938766242194094,-0.2726370781311626,-0.2551340280529615,-0.2349298707152625
llava_1_5_7b,all,parallel_gain_mean,REAL,10,1503,1503,0,-0.2511292902693617,-0.2714403089095296,-0.25338239581158484,-0.23603074670238727
llava_1_5_7b,all,parallel_gain_mean,REAL,11,1503,1503,0,-0.27383789305667156,-0.2902832950631613,-0.2779605196448661,-0.26132711038377876
llava_1_5_7b,all,parallel_gain_mean,REAL,12,1503,1503,0,-0.21870680323735417,-0.23565299856659438,-0.22244939698407012,-0.20530990521963066
llava_1_5_7b,all,parallel_gain_mean,REAL,13,1503,1503,0,-0.23828613908604654,-0.25584072628775284,-0.24108007611669235,-0.2230636048551626
llava_1_5_7b,all,parallel_gain_mean,REAL,14,1503,1503,0,-0.21430064135080726,-0.2317288809666132,-0.21803636454341196,-0.20013414319100542
llava_1_5_7b,all,parallel_gain_mean,REAL,15,1503,1503,0,-0.17305970635880558,-0.1871731487015365,-0.17318073869337594,-0.15944709929961845
llava_1_5_7b,all,parallel_gain_mean,REAL,16,1503,1503,0,-0.16380590378701346,-0.1783650683457069,-0.1654491804131283,-0.1495624828146688
llava_1_5_7b,all,parallel_gain_mean,REAL,17,1503,1503,0,-0.14006634713686242,-0.1498385629951164,-0.13988518580673615,-0.13063198972848417
llava_1_5_7b,all,parallel_gain_mean,REAL,18,1503,1503,0,-0.10580411427104941,-0.11359952297296297,-0.10559296221312547,-0.09811076483172941
llava_1_5_7b,all,parallel_gain_mean,REAL,19,1503,1503,0,-0.07871758704424192,-0.0877153878370166,-0.08035540779123461,-0.06958781180299409
llava_1_5_7b,all,parallel_gain_mean,REAL,20,1503,1503,0,-0.05967269999473168,-0.06548313367207291,-0.05952631189597243,-0.053682989544297954
llava_1_5_7b,all,parallel_gain_mean,REAL,21,1503,1503,0,-0.04424049320206685,-0.05009142073297192,-0.04466200583652066,-0.03880864188471478
llava_1_5_7b,all,parallel_gain_mean,REAL,22,1503,1503,0,-0.029320302805444745,-0.03165734122779747,-0.02889141332539465,-0.026543753505735818
llava_1_5_7b,all,parallel_gain_mean,REAL,23,1503,1503,0,-0.006561188781368019,-0.009999183716872407,-0.006928498102430065,-0.0032109970102244152
llava_1_5_7b,all,parallel_gain_mean,REAL,24,1503,1503,0,-0.01568174586015304,-0.017472395368608194,-0.015123143832204668,-0.013107555328277834
llava_1_5_7b,all,parallel_gain_mean,REAL,25,1503,1503,0,-0.004786924380008244,-0.006361519980082912,-0.004326095468523149,-0.002414944791032581
llava_1_5_7b,all,parallel_gain_mean,REAL,26,1503,1503,0,0.008585748069492666,0.00422006224434052,0.007931368565716496,0.012119051405322146
llava_1_5_7b,all,parallel_gain_mean,REAL,27,1503,1503,0,0.0034866395233530165,0.0012692980196414348,0.0035236532518029304,0.00562967174463334
llava_1_5_7b,all,parallel_gain_mean,REAL,28,1503,1503,0,-0.0002967852913603928,-0.0027139657729407345,-0.0001261407492153941,0.0023191670943268454
llava_1_5_7b,all,parallel_gain_mean,REAL,29,1503,1503,0,-0.0002200929019359581,-0.0036760370916920065,0.0001254694834319129,0.0036668092124401727
llava_1_5_7b,all,parallel_gain_mean,REAL,30,1503,1503,0,0.003766326803461035,0.0005812189111337974,0.004032382715206271,0.007316248596887587
llava_1_5_7b,all,parallel_gain_mean,REAL,31,1503,1503,0,-0.004815629466360878,-0.009672406274070212,-0.0035752430303423563,0.0015064261589785395
llava_1_5_7b,all,parallel_gain_mean,REAL,32,1503,1503,0,0.14914878484682925,0.06890534654200704,0.13337080802472112,0.22459405747876693
llava_1_5_7b,all,parallel_gain_mean,HALL,1,450,450,0,-0.2059682899575316,-0.38152422437294675,-0.24448935487406342,0.025378688757010142
llava_1_5_7b,all,parallel_gain_mean,HALL,2,450,450,0,-0.10704698063451874,-0.11850602431309375,-0.10640239163010624,-0.0959924510595442
llava_1_5_7b,all,parallel_gain_mean,HALL,3,450,450,0,-0.11402861752293467,-0.1229567369500846,-0.11219273269167174,-0.10522356071232294
llava_1_5_7b,all,parallel_gain_mean,HALL,4,450,450,0,-0.2254405354719571,-0.24297704064436465,-0.21920417112546922,-0.20181843693302237
llava_1_5_7b,all,parallel_gain_mean,HALL,5,450,450,0,-0.21638821364422364,-0.22749961476203628,-0.21605865846976408,-0.20410257312745955
llava_1_5_7b,all,parallel_gain_mean,HALL,6,450,450,0,-0.2634608111035187,-0.2845136076127389,-0.2682160188295931,-0.24645491398086306
llava_1_5_7b,all,parallel_gain_mean,HALL,7,450,450,0,-0.269950717151515,-0.28588244284238506,-0.2699543828531819,-0.2549413900634764
llava_1_5_7b,all,parallel_gain_mean,HALL,8,450,450,0,-0.29374131903153006,-0.3162108567991234,-0.2986995639549902,-0.27879764842720134
llava_1_5_7b,all,parallel_gain_mean,HALL,9,450,450,0,-0.26541628518877136,-0.28026063661069883,-0.26988281411127246,-0.25684164523929925
llava_1_5_7b,all,parallel_gain_mean,HALL,10,450,450,0,-0.2556012261797373,-0.27031896254717364,-0.25938255646855873,-0.24380578770479594
llava_1_5_7b,all,parallel_gain_mean,HALL,11,450,450,0,-0.2815720888550261,-0.293667412392623,-0.28505272446965624,-0.2741520071416775
llava_1_5_7b,all,parallel_gain_mean,HALL,12,450,450,0,-0.2199005257606088,-0.23497544478281557,-0.22335108576115284,-0.211204288829696
llava_1_5_7b,all,parallel_gain_mean,HALL,13,450,450,0,-0.24612212238060163,-0.26122676235209696,-0.2492601032998224,-0.23505860211494606
llava_1_5_7b,all,parallel_gain_mean,HALL,14,450,450,0,-0.21649740053468147,-0.23052555909418537,-0.21957910916588785,-0.20666362095305524
