model,feature,seed,input_dim,best_epoch,validation_AUROC,validation_HALL_AUPR,AUROC,HALL_AUPR
llava_1_5_7b,AE_logS_PV,43,64,37,0.9055664079686043,0.7373508153436761,0.9006808111042637,0.6923171280122106
llava_1_5_7b,AE_logS_PV,44,64,36,0.9071216760818682,0.7368205983610883,0.9016027428079545,0.696509113542397
llava_1_5_7b,AE_logS_PV,45,64,29,0.9072932615314222,0.7400673015110804,0.9004705030763662,0.6858460156118316
llava_1_5_7b,AE_logS_PV_kP,43,96,32,0.9161343118103584,0.76353732871798,0.9036080053995365,0.6823294472490228
llava_1_5_7b,AE_logS_PV_kP,44,96,42,0.9156239550886085,0.7603115703879603,0.906024102278174,0.692281871741442
llava_1_5_7b,AE_logS_PV_kP,45,96,36,0.9146384386604016,0.7590503386380889,0.9063102190138022,0.6878763466160954
llava_1_5_7b,AE_logS_PV_kVP,43,96,32,0.9080367984794889,0.7377423123035869,0.9032485253983626,0.6938953302244575
llava_1_5_7b,AE_logS_PV_kVP,44,96,12,0.907137074776059,0.7368201495293493,0.902884154512819,0.6796470990545581
llava_1_5_7b,AE_logS_PV_kVP,45,96,19,0.9077376238494975,0.7429576213874934,0.9028340229480295,0.6832575736372513
llava_1_5_7b,kVP,43,32,17,0.8742300652904633,0.6705097717458369,0.8795301816474455,0.6371842287428375
llava_1_5_7b,kVP,44,32,36,0.8752023828379353,0.6784422117309856,0.8807883616515537,0.625678054829808
llava_1_5_7b,kVP,45,32,9,0.8740804779754677,0.6822357577298738,0.8742333538750477,0.6328249340791605
