model,support,comparison,metric,difference,low,high,valid_replicates,test_images,images_with_mentions
qwen3_vl_8b,PVG,S minus I,AUROC,0.008018732782369198,-0.0016205125678578403,0.018004899495342112,2000,400,396
qwen3_vl_8b,PVG,S minus I,HALL_AUPR,0.014992559926413462,-0.020533165789684543,0.04861395279229881,2000,400,396
qwen3_vl_8b,PVG,I+S minus I,AUROC,0.013434710743801759,0.006670845184884253,0.02020754716405066,2000,400,396
qwen3_vl_8b,PVG,I+S minus I,HALL_AUPR,0.031203476013306086,0.006383154073201056,0.05610754857647728,2000,400,396
qwen3_vl_8b,PVG,I+S minus S,AUROC,0.005415977961432561,-0.0003615661366928785,0.011538111247316735,2000,400,396
qwen3_vl_8b,PVG,I+S minus S,HALL_AUPR,0.016210916086892624,-0.0015809953674313813,0.03605801748455064,2000,400,396
qwen3_vl_8b,ALL,S minus I,AUROC,0.03254104683195591,0.013141614703144358,0.05129375078097659,2000,400,396
qwen3_vl_8b,ALL,S minus I,HALL_AUPR,0.05959600882197158,0.020147608114844034,0.10391464623249307,2000,400,396
qwen3_vl_8b,ALL,I+S minus I,AUROC,0.040871625344352513,0.026587516495400174,0.05472843178918794,2000,400,396
qwen3_vl_8b,ALL,I+S minus I,HALL_AUPR,0.09188365186711134,0.05846146385029993,0.12539630583794098,2000,400,396
qwen3_vl_8b,ALL,I+S minus S,AUROC,0.008330578512396603,-0.00338461984474912,0.020822496780594887,2000,400,396
qwen3_vl_8b,ALL,I+S minus S,HALL_AUPR,0.03228764304513976,-0.000413743308684733,0.06142422696130876,2000,400,396
