model,group,baseline,AUROC,HALL_AUPR,baseline_AUROC,baseline_HALL_AUPR,AUROC_delta,HALL_AUPR_delta,seed43_AUROC_delta,seed44_AUROC_delta,seed45_AUROC_delta
qwen2_5_vl_7b,attention_raw_prompt,attention_only,0.8291229666945359,0.3635226046386964,0.8343746068031436,0.3849101739605713,-0.00525164010860768,-0.02138756932187491,-4.586071747325615e-05,-0.016725050887757553,0.0010159912794081016
qwen2_5_vl_7b,attention_raw_prompt,strength_only,0.8291229666945359,0.3635226046386964,0.8153906216008683,0.3383065489695675,0.013732345093667608,0.02521605566912888,0.015941890943213965,0.01027280071401615,0.01498234362377271
qwen2_5_vl_7b,attention_raw_generation,attention_only,0.8044910577480505,0.35174003565070944,0.8129711747751944,0.3281658536938567,-0.008480117027143907,0.023574181956852736,-0.006327015137564729,-0.005905449311560118,-0.013207886632306431
qwen2_5_vl_7b,attention_raw_generation,strength_only,0.8044910577480505,0.35174003565070944,0.8004976475803769,0.3230350904986082,0.003993410167673628,0.028704945152101258,0.0010195190269060017,0.00848776048005584,0.0024729509960594864
qwen2_5_vl_7b,attention_raw_visual,attention_only,0.8506275274840928,0.38084815390893895,0.8178653364706768,0.33479413297112304,0.03276219101341593,0.04605402093781591,0.041361075539657066,0.028786419583231915,0.028139077917358923
qwen2_5_vl_7b,attention_raw_visual,strength_only,0.8506275274840928,0.38084815390893895,0.8439095203321726,0.37306854401641765,0.006718007151920169,0.0077796098925213,0.01191849492180741,0.0010054080369144014,0.0072301184970384735
qwen2_5_vl_7b,attention_raw_concat,attention_only,0.8548578846920453,0.43824275296488485,0.8453312025738446,0.40933462737185494,0.009526682118200624,0.02890812559302991,0.009158032504665403,0.014421431771599602,0.00500058207833709
qwen2_5_vl_7b,attention_raw_concat,strength_only,0.8548578846920453,0.43824275296488485,0.8553588248367534,0.4203866968047834,-0.0005009401447081396,0.01785605616010144,0.0020884265187834927,0.004037507011398267,-0.00762875396430629
qwen2_5_vl_7b,attention_raw_visual_prompt_sum,attention_only,0.8387437220793484,0.36773242975372783,0.809111231054526,0.3241992229148569,0.02963249102482246,0.04353320683887091,0.02240825210694719,0.02953430205279628,0.0369549189147238
qwen2_5_vl_7b,attention_raw_visual_prompt_sum,strength_only,0.8387437220793484,0.36773242975372783,0.8316488339030647,0.3517369400201605,0.007094888176283787,0.015995489733567347,0.011387568923366564,0.0067944416810422625,0.0031026539244427553
qwen2_5_vl_7b,attention_log1p_prompt,attention_only,0.8436684575864798,0.38824773079022307,0.8338724907426026,0.38610129000236126,0.00979596684387718,0.002146440787861803,0.011165320830996084,0.0067133034885896725,0.011509276212045783
qwen2_5_vl_7b,attention_log1p_prompt,strength_only,0.8436684575864798,0.38824773079022307,0.8245733483380193,0.35144679699304476,0.019095109248460473,0.036800933797178303,0.019811829948459536,0.020072883263307695,0.01740061453361408
qwen2_5_vl_7b,attention_log1p_generation,attention_only,0.8212702007641101,0.37788593746987825,0.8081493319034196,0.319743812043497,0.013120868860690416,0.05814212542638125,0.014375571054126346,0.02253172326937536,0.002455312258569764
qwen2_5_vl_7b,attention_log1p_generation,strength_only,0.8212702007641101,0.37788593746987825,0.8097474015199889,0.337134218488854,0.01152279924412114,0.040751718981024254,0.012646974780133213,0.02490236958799441,-0.0029809466357635372
qwen2_5_vl_7b,attention_log1p_visual,attention_only,0.8459738405763869,0.38984017248394504,0.8231281477796945,0.3433714469779443,0.022845692796692463,0.04646872550600073,0.02096893112778564,0.030299823259850367,0.01726832400244116
qwen2_5_vl_7b,attention_log1p_visual,strength_only,0.8459738405763869,0.38984017248394504,0.8477418300307736,0.38485446515262894,-0.0017679894543867203,0.0049857073313160916,-0.008366053191376732,0.007884515657907154,-0.004822430829690916
qwen2_5_vl_7b,attention_log1p_concat,attention_only,0.8540541462204301,0.4090050749726331,0.845669278375731,0.40948232735316376,0.008384867844699051,-0.0004772523805306461,0.009023978099743424,0.003681204514105696,0.012449420920248255
qwen2_5_vl_7b,attention_log1p_concat,strength_only,0.8540541462204301,0.4090050749726331,0.8561678549296157,0.42017980360207136,-0.002113708709185591,-0.011174728629438246,0.0007002578783419366,-0.007865113046668704,0.0008237290407701048
qwen2_5_vl_7b,attention_log1p_visual_prompt_sum,attention_only,0.8443840023706463,0.3982246902200766,0.8097509292674867,0.32978219935148473,0.03463307310315955,0.06844249086859189,0.0429679645249712,0.03821785251898824,0.022713402265519322
qwen2_5_vl_7b,attention_log1p_visual_prompt_sum,strength_only,0.8443840023706463,0.3982246902200766,0.8352483122668012,0.3515248381797371,0.009135690103845073,0.046699852040339496,0.022598750471836238,0.015283966034847052,-0.010475646195147958
qwen2_5_vl_7b,gated_raw_prompt,gated_only,0.8398143934449748,0.3816276778985162,0.8437819334643303,0.4183611070511984,-0.003967540019355509,-0.036733429152682184,0.002938613665788181,-0.01462956887397826,-0.00021166484987678036
qwen2_5_vl_7b,gated_raw_prompt,strength_only,0.8398143934449748,0.3816276778985162,0.8153906216008683,0.3383065489695675,0.02442377184410649,0.04332112892894868,0.02846186681342111,0.022168365277086877,0.022641083441811594
qwen2_5_vl_7b,gated_raw_generation,gated_only,0.8049520167544487,0.35420814707387355,0.8178870909135808,0.3588986857775003,-0.012935074159132087,-0.004690538703626734,-0.0142838496191795,-0.008258456892689447,-0.01626291596552676
qwen2_5_vl_7b,gated_raw_generation,strength_only,0.8049520167544487,0.35420814707387355,0.8004976475803769,0.3230350904986082,0.004454369174071826,0.031173056575265368,-0.0006561610346178526,0.010223412249044772,0.003795856307789003
qwen2_5_vl_7b,gated_raw_visual,gated_only,0.8539771237333916,0.38310702966016447,0.8282857146216903,0.36132441068509563,0.025691409111701313,0.021782618975068835,0.03130170354926676,0.017356517689889772,0.028416006095947743
qwen2_5_vl_7b,gated_raw_visual,strength_only,0.8539771237333916,0.38310702966016447,0.8439095203321726,0.37306854401641765,0.010067603401219039,0.01003848564374682,0.014354404569138501,0.007944487365372233,0.007903918269146049
