layers,metric,difference,ci95_low,ci95_high,images,replicates
16-32,bbox_mass,-0.001896596095913694,-0.0020826928311433153,-0.0017112821964395176,3840,10000
16-32,patch_aupr,-0.006358782024902754,-0.006517914397559324,-0.0062041449468849446,3840,10000
16-32,patch_auroc,-0.007033998074968295,-0.007156025658276435,-0.0069140946258811065,3840,10000
16-32,top1_pointing,-0.008091993185689983,-0.009134755784006715,-0.007070726532952626,3840,10000
16-32,top32_box_recall,-0.005838456154795113,-0.006071058754494443,-0.005609749906367989,3840,10000
16-32,uniform_enrichment,-0.02626061348290598,-0.03262457404633275,-0.020051395628230998,3840,10000
