method,label,layer,metric,count,mean,std,q10,median,q90
ATTN,HALL,1,normalized_entropy,1766,0.8553168031799429,0.04647799241281901,0.7945078313350677,0.8610375821590424,0.9080197811126709
ATTN,HALL,1,top1_mass,1766,0.09347631100518787,0.038488170570416376,0.05303902551531792,0.08792631700634956,0.14013385027647018
ATTN,HALL,1,top32_mass,1766,0.5392683363885599,0.07511740161911892,0.4498032182455063,0.5349960625171661,0.6360825002193451
ATTN,HALL,2,normalized_entropy,1766,0.7938206894818951,0.037105448973889024,0.7447884678840637,0.7944739460945129,0.8412796556949615
ATTN,HALL,2,top1_mass,1766,0.1055083638152038,0.029489355854165785,0.07105342298746109,0.10290894657373428,0.14413459599018097
ATTN,HALL,2,top32_mass,1766,0.6405412599630022,0.05334199417811637,0.5730095505714417,0.6424340605735779,0.7085520923137665
ATTN,HALL,3,normalized_entropy,1766,0.7751307448336384,0.057646712919961526,0.6940306127071381,0.7809544205665588,0.8443207442760468
ATTN,HALL,3,top1_mass,1766,0.12816386568409602,0.04987736938062372,0.07058629393577576,0.1210920512676239,0.19399182498455048
ATTN,HALL,3,top32_mass,1766,0.6558595917199234,0.07206987515957265,0.5643587708473206,0.6568817496299744,0.7528240382671356
ATTN,HALL,4,normalized_entropy,1766,0.8233893057700596,0.041085674130700425,0.7686692774295807,0.8284667134284973,0.8710914254188538
ATTN,HALL,4,top1_mass,1766,0.09335810687954064,0.03339505325035463,0.055553557351231575,0.08802885562181473,0.1384691745042801
ATTN,HALL,4,top32_mass,1766,0.5982620539744875,0.06064244111096769,0.521854430437088,0.5969465672969818,0.6768346428871155
ATTN,HALL,5,normalized_entropy,1766,0.8591694062995479,0.0359082741614523,0.8144359290599823,0.8637848794460297,0.899838775396347
ATTN,HALL,5,top1_mass,1766,0.07398304446481194,0.03608051339646449,0.03923904336988926,0.06454138457775116,0.11687250435352325
ATTN,HALL,5,top32_mass,1766,0.5453514411859847,0.062034774218528314,0.4672553092241287,0.5421065390110016,0.6276006996631622
ATTN,HALL,6,normalized_entropy,1766,0.856552973845267,0.034426698583723714,0.8122563660144806,0.8606160283088684,0.8958945870399475
ATTN,HALL,6,top1_mass,1766,0.06506810461868145,0.032286928993327337,0.035648807883262634,0.05690818279981613,0.10517582297325134
ATTN,HALL,6,top32_mass,1766,0.5524050307334617,0.06438850779888858,0.4722321033477783,0.5493089556694031,0.6361047923564911
ATTN,HALL,7,normalized_entropy,1766,0.8813162996841855,0.03901671544433014,0.8349418342113495,0.88925901055336,0.9189633727073669
ATTN,HALL,7,top1_mass,1766,0.05816334442025639,0.040772494392667606,0.030478132888674736,0.04607068933546543,0.09577549993991852
ATTN,HALL,7,top32_mass,1766,0.5032485144155887,0.06665074260187087,0.4249027818441391,0.4972489923238754,0.589081734418869
ATTN,HALL,8,normalized_entropy,1766,0.8534833409845627,0.05325396847892632,0.7858355939388275,0.8631401360034943,0.9083355963230133
ATTN,HALL,8,top1_mass,1766,0.07359392577012323,0.05164477777177426,0.03311852551996708,0.056688107550144196,0.13192467391490936
ATTN,HALL,8,top32_mass,1766,0.5490527256800122,0.08567120410631492,0.44472096860408783,0.5450154840946198,0.6620776653289795
ATTN,HALL,9,normalized_entropy,1766,0.9001168945502587,0.03251301315621748,0.8608466386795044,0.9055440127849579,0.9352366626262665
ATTN,HALL,9,top1_mass,1766,0.04833280668822819,0.024122315787105487,0.02627402823418379,0.04313250444829464,0.073612030595541
ATTN,HALL,9,top32_mass,1766,0.46260585910129115,0.06885942255293397,0.37976327538490295,0.456259086728096,0.5517099499702454
ATTN,HALL,10,normalized_entropy,1766,0.8326485070441074,0.06382561197458081,0.7465599477291107,0.8416824638843536,0.9054344296455383
ATTN,HALL,10,top1_mass,1766,0.09008484298683965,0.05819688655364063,0.03593466989696026,0.07286045700311661,0.1659330055117607
ATTN,HALL,10,top32_mass,1766,0.5787589823065635,0.09916344866653866,0.45072269439697266,0.577998548746109,0.7068565487861633
ATTN,HALL,11,normalized_entropy,1766,0.8456251164086138,0.06796901302436625,0.7486156225204468,0.8575725555419922,0.921377569437027
ATTN,HALL,11,top1_mass,1766,0.08789398854847318,0.06651249187676848,0.030765061266720295,0.06801176443696022,0.16958559304475784
ATTN,HALL,11,top32_mass,1766,0.5500959158956262,0.10239113076394192,0.4156033545732498,0.5480769574642181,0.6858514249324799
ATTN,HALL,12,normalized_entropy,1766,0.81996732656575,0.06751467257163918,0.7287875115871429,0.8254558742046356,0.901502788066864
ATTN,HALL,12,top1_mass,1766,0.09531066257776619,0.05900593166577954,0.0379208717495203,0.0807078517973423,0.1689884513616562
ATTN,HALL,12,top32_mass,1766,0.6017243830594714,0.10343136190526422,0.46116773784160614,0.6066794693470001,0.7356199026107788
ATTN,HALL,13,normalized_entropy,1766,0.7624226126267173,0.08578323188871143,0.6460969746112823,0.7704321444034576,0.8678192496299744
ATTN,HALL,13,top1_mass,1766,0.12592229729102733,0.08014379607015495,0.04764148034155369,0.1044200100004673,0.2365240827202797
ATTN,HALL,13,top32_mass,1766,0.6815327747660612,0.10929845877185675,0.5292025208473206,0.6884569525718689,0.8185254037380219
ATTN,HALL,14,normalized_entropy,1766,0.8241573979367216,0.06270985932821149,0.7402102947235107,0.8324785828590393,0.8943473398685455
ATTN,HALL,14,top1_mass,1766,0.09555695841926343,0.060061635749904654,0.04010882414877415,0.07786707207560539,0.1747654303908348
ATTN,HALL,14,top32_mass,1766,0.5941887822757356,0.09209396980454196,0.4781424552202225,0.5940618813037872,0.7144018411636353
ATTN,HALL,15,normalized_entropy,1766,0.7891271244966566,0.07428143387274588,0.6921707987785339,0.7965373992919922,0.8816976547241211
ATTN,HALL,15,top1_mass,1766,0.11356171397523931,0.07029690242866986,0.04432258568704128,0.09662608429789543,0.207078717648983
ATTN,HALL,15,top32_mass,1766,0.6477002011420098,0.09873560469443965,0.5091680288314819,0.6555003225803375,0.7691861093044281
ATTN,HALL,16,normalized_entropy,1766,0.7435918824825255,0.09066418856256654,0.6227450370788574,0.752915620803833,0.8546798527240753
ATTN,HALL,16,top1_mass,1766,0.12246435428816627,0.07835691586491259,0.04751903750002384,0.10005740821361542,0.23302458971738815
ATTN,HALL,16,top32_mass,1766,0.7123354698024007,0.11270770160844804,0.5528840124607086,0.720343142747879,0.85416579246521
ATTN,HALL,17,normalized_entropy,1766,0.7659326334771862,0.07486349869351475,0.6658465564250946,0.7751242518424988,0.8549807667732239
ATTN,HALL,17,top1_mass,1766,0.11422118224258432,0.06527781632449346,0.049923125654459,0.09724879637360573,0.19731517881155014
ATTN,HALL,17,top32_mass,1766,0.6842477903833206,0.09833957553828195,0.5492592751979828,0.6875753104686737,0.8134210407733917
ATTN,HALL,18,normalized_entropy,1766,0.7393953094801033,0.10353145075955207,0.5968940556049347,0.7546035647392273,0.8621245622634888
ATTN,HALL,18,top1_mass,1766,0.15657160431884928,0.1071632053693974,0.05243104323744774,0.12894611805677414,0.2979513257741928
ATTN,HALL,18,top32_mass,1766,0.6972185568894562,0.1088558545257898,0.5480960607528687,0.7049575746059418,0.8351935148239136
ATTN,HALL,19,normalized_entropy,1766,0.7627244226356055,0.07258023782758016,0.6640423536300659,0.7710812389850616,0.8493709564208984
ATTN,HALL,19,top1_mass,1766,0.12732978957670393,0.07278959218617227,0.055217912420630455,0.10903693363070488,0.2224654033780098
ATTN,HALL,19,top32_mass,1766,0.6822603796677303,0.08812167191702731,0.5634978413581848,0.6847869455814362,0.7934455871582031
ATTN,HALL,20,normalized_entropy,1766,0.7161218696785405,0.09479337339236953,0.5891300439834595,0.726314127445221,0.8294171988964081
ATTN,HALL,20,top1_mass,1766,0.14999439484215132,0.0939674351322426,0.058566996827721596,0.12247904390096664,0.28753942251205444
ATTN,HALL,20,top32_mass,1766,0.742121860519946,0.09924728985967755,0.6013813018798828,0.7543758749961853,0.8653055429458618
ATTN,HALL,21,normalized_entropy,1766,0.7751986328027256,0.07631552433584118,0.6693835854530334,0.7870852053165436,0.8634290397167206
ATTN,HALL,21,top1_mass,1766,0.10939333825620019,0.06628031921049601,0.0465301088988781,0.0913098119199276,0.1993962824344635
ATTN,HALL,21,top32_mass,1766,0.6689778550666159,0.1010624990308872,0.5374538898468018,0.6705583930015564,0.8044368326663971
ATTN,HALL,22,normalized_entropy,1766,0.7553392878373913,0.08515702600343879,0.6391948461532593,0.7680274546146393,0.856409877538681
ATTN,HALL,22,top1_mass,1766,0.12918466716236937,0.0826853005905493,0.05141611769795418,0.10588298738002777,0.23987317085266113
ATTN,HALL,22,top32_mass,1766,0.690241751911821,0.10138744787968544,0.5510549545288086,0.693516880273819,0.8206572830677032
ATTN,HALL,23,normalized_entropy,1766,0.7545030265877768,0.10569121302786232,0.6099926233291626,0.7723081111907959,0.8740654587745667
ATTN,HALL,23,top1_mass,1766,0.14103857750897872,0.10078607791203703,0.048444781452417374,0.11252495646476746,0.27139826118946075
ATTN,HALL,23,top32_mass,1766,0.6788112913360682,0.11982832627882152,0.5168911516666412,0.6841574907302856,0.8366521000862122
ATTN,HALL,24,normalized_entropy,1766,0.772148518674371,0.10520779075261685,0.6295673549175262,0.7918881773948669,0.8903493285179138
ATTN,HALL,24,top1_mass,1766,0.1314698257056378,0.09862709284177305,0.04176715947687626,0.10240022838115692,0.2650080770254135
ATTN,HALL,24,top32_mass,1766,0.6523374506058266,0.1268643505055605,0.48129966855049133,0.6535826921463013,0.8199989199638367
ATTN,HALL,25,normalized_entropy,1766,0.709160777730688,0.10737703468644151,0.5623018145561218,0.7199498414993286,0.840422511100769
ATTN,HALL,25,top1_mass,1766,0.149769983235388,0.10094475194180513,0.054321616888046265,0.12155512347817421,0.29051561653614044
ATTN,HALL,25,top32_mass,1766,0.7469045646227095,0.11667843134113096,0.5803720653057098,0.7626962661743164,0.8873983919620514
ATTN,HALL,26,normalized_entropy,1766,0.7269908805226956,0.10846943604631794,0.5763465166091919,0.7398279011249542,0.8566970527172089
ATTN,HALL,26,top1_mass,1766,0.14524188875890467,0.09899119399483816,0.05253842659294605,0.11718245223164558,0.2749995291233063
ATTN,HALL,26,top32_mass,1766,0.7203948166672802,0.12261912147817597,0.5463444888591766,0.7342731654644012,0.8745557367801666
ATTN,HALL,27,normalized_entropy,1766,0.7503752950431266,0.10805326973068395,0.6049456298351288,0.7671026289463043,0.8748984038829803
ATTN,HALL,27,top1_mass,1766,0.13940110131950537,0.10818996710968962,0.04689359478652477,0.10549085214734077,0.2790582925081253
ATTN,HALL,27,top32_mass,1766,0.6836830961643502,0.12344463453029896,0.5087335407733917,0.6972980201244354,0.842415064573288
ATTN,HALL,28,normalized_entropy,1766,0.7877566072739669,0.10204230557204617,0.6470028758049011,0.8051123917102814,0.904626190662384
ATTN,HALL,28,top1_mass,1766,0.12794536493174385,0.09712245962313686,0.0387304350733757,0.09830319136381149,0.2595190405845642
ATTN,HALL,28,top32_mass,1766,0.6273944444726575,0.12895195683823354,0.45147745311260223,0.6340110003948212,0.796623021364212
ATTN,HALL,29,normalized_entropy,1766,0.7297815857360209,0.10230539474383944,0.5959230959415436,0.7393282949924469,0.8558014035224915
ATTN,HALL,29,top1_mass,1766,0.14996588556254167,0.09726824468607229,0.054423144087195396,0.12503431737422943,0.2794097512960434
ATTN,HALL,29,top32_mass,1766,0.7136834635739958,0.11730553768384376,0.5466787219047546,0.7298630475997925,0.8552987277507782
ATTN,HALL,30,normalized_entropy,1766,0.7487000571068119,0.08717531752127525,0.6341792941093445,0.7553581297397614,0.8554306626319885
ATTN,HALL,30,top1_mass,1766,0.13049458980028722,0.08122931977371295,0.052265360951423645,0.11024193838238716,0.230693481862545
ATTN,HALL,30,top32_mass,1766,0.7005768456788457,0.1067825174843247,0.5480949282646179,0.7150204479694366,0.8265737295150757
ATTN,HALL,31,normalized_entropy,1766,0.7739249382796671,0.08100987291048048,0.6650668680667877,0.7805450558662415,0.8755020499229431
ATTN,HALL,31,top1_mass,1766,0.12013139368888172,0.07317848210554966,0.04835570231080055,0.10038073360919952,0.21468103677034378
ATTN,HALL,31,top32_mass,1766,0.6668223641635608,0.10603363002332909,0.5145903527736664,0.6783158183097839,0.799944669008255
ATTN,HALL,32,normalized_entropy,1766,0.8380124859199654,0.06227755365393775,0.7535431981086731,0.8463950753211975,0.9099510312080383
ATTN,HALL,32,top1_mass,1766,0.08667699517713837,0.05438637570024492,0.036893315613269806,0.07193535566329956,0.15447888523340225
ATTN,HALL,32,top32_mass,1766,0.5716909585459451,0.09786739703604443,0.44185130298137665,0.5721490979194641,0.70271235704422
ATTN,REAL,1,normalized_entropy,9993,0.8543244261146605,0.04356933434904273,0.797143280506134,0.8588024973869324,0.9055585265159607
ATTN,REAL,1,top1_mass,9993,0.09366787486454946,0.036232032648668366,0.05345258638262749,0.08809743821620941,0.14051491618156434
ATTN,REAL,1,top32_mass,9993,0.5416971630404974,0.07130411634201116,0.45447932481765746,0.5385291576385498,0.6347667455673218
ATTN,REAL,2,normalized_entropy,9993,0.7893801410312972,0.038209315163631616,0.7395142078399658,0.7905694842338562,0.8371096253395081
ATTN,REAL,2,top1_mass,9993,0.11081256571608025,0.029841711988395726,0.07497664391994477,0.1078602597117424,0.15011460185050965
ATTN,REAL,2,top32_mass,9993,0.6445164028993183,0.055049080154210936,0.5731132984161377,0.6455547213554382,0.7146382331848145
ATTN,REAL,3,normalized_entropy,9993,0.7765342883984152,0.05986744761596386,0.6978145122528077,0.7822561860084534,0.848417067527771
ATTN,REAL,3,top1_mass,9993,0.12284850650654772,0.05157850139774746,0.06730968803167343,0.1141137182712555,0.18726674616336825
ATTN,REAL,3,top32_mass,9993,0.6586195925215421,0.07458371474874322,0.560574984550476,0.6594456434249878,0.7547912120819092
ATTN,REAL,4,normalized_entropy,9993,0.8168963755881787,0.04241141394913995,0.7604374527931214,0.8201011419296265,0.8685180425643921
ATTN,REAL,4,top1_mass,9993,0.09050872315395724,0.03217956043317808,0.053604394942522046,0.08592723309993744,0.13132350444793703
ATTN,REAL,4,top32_mass,9993,0.6140127409677134,0.06564979235777277,0.5286220908164978,0.613541841506958,0.7000669121742249
ATTN,REAL,5,normalized_entropy,9993,0.8472256498819689,0.03979885097769189,0.7958637833595276,0.8525437712669373,0.892227053642273
ATTN,REAL,5,top1_mass,9993,0.0731103822978859,0.0339363279376509,0.04059717804193497,0.06522480398416519,0.1142997190356255
ATTN,REAL,5,top32_mass,9993,0.5703260567612229,0.06898944671073658,0.48379619121551515,0.5673942565917969,0.6608548879623414
ATTN,REAL,6,normalized_entropy,9993,0.8525325568495576,0.03754574759606455,0.8047399640083313,0.8582051396369934,0.8943167209625245
ATTN,REAL,6,top1_mass,9993,0.06540559683180358,0.032478292389532,0.035826747119426725,0.056891068816185,0.10470324009656906
ATTN,REAL,6,top32_mass,9993,0.5591336360812056,0.06691230032492192,0.4772343635559082,0.5541456937789917,0.6484534740447998
ATTN,REAL,7,normalized_entropy,9993,0.8682151761520712,0.04896187624801254,0.8034807562828064,0.8799536228179932,0.9150917410850525
ATTN,REAL,7,top1_mass,9993,0.06674651737205321,0.04963394693065547,0.03142057061195373,0.05044858157634735,0.11978285014629365
ATTN,REAL,7,top32_mass,9993,0.5242583886091623,0.07663434743008025,0.43435525298118594,0.5150029063224792,0.6298007249832155
ATTN,REAL,8,normalized_entropy,9993,0.8528015191438355,0.0527084927194657,0.7854912877082825,0.8632077574729919,0.9078227519989014
ATTN,REAL,8,top1_mass,9993,0.07275589141313628,0.049410110467097465,0.03387624099850654,0.057414885610342026,0.12924487590789807
ATTN,REAL,8,top32_mass,9993,0.5499610053154486,0.08416650621085002,0.44497830271720884,0.5437197685241699,0.6617327690124513
ATTN,REAL,9,normalized_entropy,9993,0.8933945497652438,0.03315338882481628,0.8503756642341613,0.8976842761039734,0.9319486141204834
ATTN,REAL,9,top1_mass,9993,0.04827108499258056,0.02446641000532635,0.0261921301484108,0.041811369359493256,0.07787442952394485
ATTN,REAL,9,top32_mass,9993,0.47698482279661575,0.06973764601932753,0.388075715303421,0.47305622696876526,0.5694716930389405
ATTN,REAL,10,normalized_entropy,9993,0.8416196899103663,0.0579531135911093,0.7655670404434204,0.8498279452323914,0.907473635673523
