model,group,classifier,seed,AUROC,HALL_AUPR
llava_1_5_7b,svar,three_hidden,43,0.9057013039097729,0.7120615331123181
llava_1_5_7b,svar,three_hidden,44,0.9040555213193651,0.7032905305862853
llava_1_5_7b,svar,three_hidden,45,0.9087091977971457,0.7084598165046644
llava_1_5_7b,svar,one_hidden,43,0.8974259275562207,0.6827760253833348
llava_1_5_7b,svar,one_hidden,44,0.9004900666138452,0.6833687850650249
llava_1_5_7b,svar,one_hidden,45,0.8983148457904158,0.6856007439561588
llava_1_5_7b,svar,xgb,43,0.9008373194040946,0.6903030939285938
llava_1_5_7b,svar,xgb,44,0.9008373194040946,0.6903030939285938
llava_1_5_7b,svar,xgb,45,0.9008373194040946,0.6903030939285938
llava_1_5_7b,metatoken,three_hidden,43,0.865390634934609,0.6456904854072077
llava_1_5_7b,metatoken,three_hidden,44,0.8638915788752922,0.6372292261793595
llava_1_5_7b,metatoken,three_hidden,45,0.8573695845682817,0.6302995541034666
llava_1_5_7b,metatoken,one_hidden,43,0.8644907122105819,0.6257884273398779
llava_1_5_7b,metatoken,one_hidden,44,0.8625001222721093,0.6174890756722411
llava_1_5_7b,metatoken,one_hidden,45,0.8629647562872319,0.618293091630062
llava_1_5_7b,metatoken,xgb,43,0.891415030665845,0.6633484639526965
llava_1_5_7b,metatoken,xgb,44,0.891415030665845,0.6633484639526965
llava_1_5_7b,metatoken,xgb,45,0.891415030665845,0.6633484639526965
