model,group,classifier,AUROC_true_mean,HALL_AUPR_true_mean,AUROC_frozen_mean,HALL_AUPR_frozen_mean,AUROC_delta_pp,HALL_AUPR_delta_pp
llava_1_5_7b,visual,three_hidden,0.9003441552301487,0.6937592120719217,0.9028075306576935,0.6994084599080789,0.24633754275448227,0.5649247836157167
llava_1_5_7b,visual,one_hidden,0.889073927347543,0.6672050453661064,0.8920728546135712,0.6698902330965408,0.29989272660282396,0.26851877304344685
llava_1_5_7b,visual,xgb,0.9021162856667742,0.6980011696416958,0.900084123211159,0.6853454745627777,-0.20321624556151052,-1.2655695078918061
llava_1_5_7b,visual_prompt_sum,three_hidden,0.890174376330728,0.6810039787576126,0.892331256337771,0.6806618288393276,0.21568800070429495,-0.03421499182850729
llava_1_5_7b,visual_prompt_sum,one_hidden,0.8702937465152448,0.6509496444840659,0.8836809121825407,0.6717695334550088,1.338716566729592,2.081988897094289
llava_1_5_7b,visual_prompt_sum,xgb,0.8940292083614558,0.6783091990448242,0.8938311275444827,0.662331333795435,-0.019808081697314517,-1.5977865249389267
llava_1_5_7b,generation,three_hidden,0.8731019292908545,0.6335302065467456,0.8737679047125302,0.6377919007190394,0.06659754216756797,0.42616941722937174
llava_1_5_7b,generation,one_hidden,0.8637831642717636,0.6365885111502017,0.8664666294959454,0.6415269345485443,0.2683465224181836,0.4938423398342606
llava_1_5_7b,generation,xgb,0.8867589087458794,0.6586938160903205,0.8795497451849242,0.6496486189584562,-0.7209163560955134,-0.9045197131864358
llava_1_5_7b,vp_generation,three_hidden,0.9004647970446017,0.7206401842716831,0.9003245916926699,0.71792074941148,-0.014020535193182138,-0.2719434860203096
llava_1_5_7b,vp_generation,one_hidden,0.8910791899391247,0.7011202157333268,0.8971006837456349,0.7134665726397643,0.6021493806510181,1.2346356906437483
llava_1_5_7b,vp_generation,xgb,0.902363275327445,0.7045656299693648,0.9077554753450517,0.7016482969946517,0.5392200017606763,-0.2917332974713083
