model,group,classifier,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std,ensemble_AUROC,ensemble_HALL_AUPR
llava_1_5_7b,visual,three_hidden,0.9028075306576935,0.002578402568004824,0.6994084599080789,0.0032760465870369676,0.9049652258121315,0.7029286663229564
llava_1_5_7b,visual,one_hidden,0.8920728546135712,0.005189844057901648,0.6698902330965408,0.007931103574934139,0.8948264225137189,0.676094119779125
llava_1_5_7b,visual,xgb,0.900084123211159,0.0,0.6853454745627777,0.0,0.900084123211159,0.6853454745627777
llava_1_5_7b,visual_prompt_sum,three_hidden,0.892331256337771,0.0018474624715533415,0.6806618288393276,0.002883517467352934,0.8944620516281754,0.6854800411926459
llava_1_5_7b,visual_prompt_sum,one_hidden,0.8836809121825407,0.005322226622522838,0.6717695334550088,0.00756222809384853,0.885714704932946,0.6780418693211141
llava_1_5_7b,visual_prompt_sum,xgb,0.8938311275444827,1.1102230246251565e-16,0.662331333795435,0.0,0.8938311275444828,0.662331333795435
llava_1_5_7b,generation,three_hidden,0.8737679047125302,0.00203018771465625,0.6377919007190394,0.004902898376562745,0.8765394058553667,0.6466375461977699
llava_1_5_7b,generation,one_hidden,0.8664666294959454,0.0033134721902882153,0.6415269345485443,0.005175592906169191,0.8668261094971192,0.6444757844838954
llava_1_5_7b,generation,xgb,0.8795497451849242,0.0,0.6496486189584562,0.0,0.8795497451849242,0.6496486189584562
llava_1_5_7b,vp_generation,three_hidden,0.9003245916926699,0.0010867128561064775,0.71792074941148,0.0033821592346616972,0.9026493920630727,0.7237170714516762
llava_1_5_7b,vp_generation,one_hidden,0.8971006837456349,0.0033780140796032263,0.7134665726397643,0.002313468025129941,0.8997906701489764,0.7191420797707705
llava_1_5_7b,vp_generation,xgb,0.9077554753450517,1.1102230246251565e-16,0.7016482969946517,0.0,0.9077554753450519,0.7016482969946517
