feature,layer,hall_minus_real,difference_sem,difference_ci95_low,difference_ci95_high,cohens_d_hall_minus_real,hall_positive_raw_auroc,best_orientation_auroc
s,1,-0.1122772929239384,0.003975243020690149,-0.12006876924449109,-0.10448581660338571,-0.49786073622021026,0.3600721302082226,0.6399278697917774
s,2,-0.006904148538075083,0.002694260498846278,-0.012184899115813788,-0.0016233979603363785,-0.04942790930943877,0.47930384236592866,0.5206961576340714
s,3,0.005811507929359472,0.0010504116944065028,0.0037527010083227264,0.007870314850396217,0.09755523327543356,0.5505499575769454,0.5505499575769454
s,4,-0.041019257201213355,0.001367133146925979,-0.04369883816918827,-0.03833967623323844,-0.5059926790396125,0.3484944149842559,0.6515055850157441
s,5,-0.04630261941839009,0.001378664581381302,-0.04900480199789744,-0.04360043683888274,-0.5285894136238422,0.34515245001043093,0.6548475499895691
s,6,-0.06160075732369086,0.0018207089951211021,-0.06516934695412822,-0.0580321676932535,-0.5830401004415094,0.32855355582592394,0.6714464441740761
s,7,-0.06127433347388067,0.0016866100044526185,-0.0645800890826078,-0.05796857786515354,-0.6760677568404975,0.30364415141342815,0.6963558485865718
s,8,-0.004379134532361828,0.0015710431845490575,-0.0074583791740779806,-0.0012998898906456755,-0.0508115739330416,0.49106544031567584,0.5089345596843242
s,9,0.0037804823353098094,0.001011432507983026,0.0017980746196630784,0.005762890050956541,0.0679743682562688,0.5266804879235577,0.5266804879235577
s,10,-0.028092840930558305,0.0010355136189812361,-0.03012244762376153,-0.02606323423735508,-0.45261228088010996,0.36496778328667656,0.6350322167133234
s,11,-0.01923321535239164,0.0010703087409220952,-0.021331020484598947,-0.017135410220184336,-0.30036327070333,0.4218204954982137,0.5781795045017863
s,12,-0.024556958057350142,0.002405092642215456,-0.029270939636092435,-0.01984297647860785,-0.21213273250991452,0.3999559198695642,0.6000440801304359
s,13,-0.018031057468202105,0.0015517220653906015,-0.021072432716367683,-0.014989682220036526,-0.20119576628697333,0.4407612783161199,0.5592387216838801
s,14,-0.0014148410730414618,0.0013149476279491962,-0.0039921384238218866,0.001162456277738963,-0.019009945108592507,0.5039978508781255,0.5039978508781255
s,15,-0.020832853559693443,0.0021689091654092845,-0.02508391552389564,-0.016581791595491245,-0.21976932145719916,0.37742653838410023,0.6225734616158998
s,16,-0.022929081943903695,0.0008697179863896305,-0.02463372919722737,-0.02122443469058002,-0.4159766494293649,0.3786571206651904,0.6213428793348096
s,17,-0.03288319583907573,0.0011580831029941929,-0.03515303872094435,-0.030613352957207112,-0.47116141315076643,0.34908968113073485,0.6509103188692651
s,18,0.006942059903817688,0.001005537351214959,0.004971206695436369,0.008912913112199007,0.12045420229796487,0.5599585798113769,0.5599585798113769
s,19,-0.05208635998651234,0.0011933952580455947,-0.05442541469228171,-0.049747305280742976,-0.6829309392277425,0.2964210013565033,0.7035789986434967
s,20,-0.0014015895225181763,0.0007061630913309938,-0.002785669181526924,-1.750986350942843e-05,-0.03645108064141649,0.4947818038332663,0.5052181961667337
s,21,-0.0034341294757370133,0.001144719581361913,-0.005677779855206363,-0.001190479096267664,-0.04745276030551912,0.5181322998736216,0.5181322998736216
s,22,-0.007225993423306432,0.0007339606195835696,-0.008664556237690229,-0.005787430608922635,-0.1662471021263442,0.45637279960935156,0.5436272003906484
s,23,-0.019331262758630063,0.0011099119240787771,-0.021506690129824466,-0.01715583538743566,-0.25771642803997763,0.4071258136194002,0.5928741863805997
s,24,-0.01244842961507564,0.0008134505409964565,-0.014042792675428694,-0.010854066554722586,-0.26203158668816084,0.39802841990260995,0.60197158009739
s,25,-0.008092733304588207,0.0011902518922467182,-0.010425627013391774,-0.00575983959578464,-0.11650535435619105,0.464056051592718,0.535943948407282
s,26,-0.02508376457411049,0.0018884097860774576,-0.028785047754822306,-0.021382481393398673,-0.20402762347273878,0.4089382641585628,0.5910617358414372
s,27,0.002517229401744675,0.0011454548431540554,0.0002721379091627264,0.004762320894326624,0.039454553615175435,0.5616117283798072,0.5616117283798072
s,28,0.01193637325681196,0.0008930507776377269,0.010185993732642016,0.013686752780981906,0.24076173130519699,0.5987466999767626,0.5987466999767626
s,29,-0.018501593651241516,0.0009236517539155654,-0.020311951088916026,-0.016691236213567006,-0.24560234031366954,0.46608040188971767,0.5339195981102823
s,30,-0.00011628672373983906,0.0007943500015384641,-0.0016732127267552288,0.0014406392792755507,-0.0024031708221717834,0.5357289116997018,0.5357289116997018
s,31,0.03704451657255192,0.0014190476535609505,0.03426318317157246,0.039825849973531384,0.46873061778248865,0.6398902742872228,0.6398902742872228
s,32,0.03973261029621189,0.005044882942418179,0.02984463972907226,0.04962058086335152,0.14382507134555947,0.5424692349041836,0.5424692349041836
s_times_risk,1,-0.032305088496933754,0.0019649028636667264,-0.036156298109720535,-0.02845387888414697,-0.27676065656724935,0.4355370357386219,0.5644629642613781
s_times_risk,2,0.023354573445648896,0.0015224617604000946,0.020370548395264712,0.02633859849603308,0.27846393667647973,0.5794006879067378,0.5794006879067378
s_times_risk,3,-2.853779705988546e-05,0.0010068157082490756,-0.0020018965852280734,0.0019448209911083025,-0.0005107523526035072,0.5050523808347026,0.5050523808347026
s_times_risk,4,-0.021060510780414987,0.0014327638125175783,-0.02386872785294944,-0.018252293707880535,-0.2694927778342535,0.4192251724556081,0.5807748275443919
s_times_risk,5,-0.013373231361756388,0.0012567729744604752,-0.01583650639169892,-0.010909956331813856,-0.1876442345947679,0.44711793580469417,0.5528820641953058
s_times_risk,6,-0.009375791751880858,0.0015188821267647392,-0.012352800720339747,-0.006398782783421968,-0.11564063730076272,0.46604380015168473,0.5339561998483153
s_times_risk,7,0.004188988323189369,0.0013161826316138215,0.0016092703652262788,0.006768706281152458,0.06150694275227413,0.5180036969072452,0.5180036969072452
s_times_risk,8,0.03681229004338338,0.0015683721566133232,0.033738280616421264,0.03988629947034549,0.4380923597698456,0.6224487738501571,0.6224487738501571
s_times_risk,9,0.03203849224288807,0.001289292202244098,0.02951147952648964,0.03456550495928651,0.4518118958340662,0.6209242761404655,0.6209242761404655
