layer,r_cos_hallucination_mean,r_cos_hallucination_sem,r_cos_non_hallucination_mean,r_cos_non_hallucination_sem,r_cos_diff_h_minus_non
0,0.36906597,0.00114262,0.37323835,0.00047380,-0.00417238
1,0.37018341,0.00150763,0.37883210,0.00066974,-0.00864869
2,0.39800179,0.00130337,0.39442024,0.00059628,0.00358155
3,0.33785987,0.00134051,0.33901358,0.00060649,-0.00115371
4,0.30665201,0.00149684,0.31076106,0.00071965,-0.00410905
5,0.26579461,0.00127558,0.26667279,0.00061223,-0.00087819
6,0.25568837,0.00112766,0.25485691,0.00052543,0.00083145
7,0.24960132,0.00110106,0.24517678,0.00046871,0.00442454
8,0.24297120,0.00111051,0.24815853,0.00045091,-0.00518733
9,0.25171810,0.00121495,0.23932600,0.00050749,0.01239210
10,0.26430964,0.00131445,0.25521672,0.00055928,0.00909293
11,0.25014499,0.00126921,0.23628770,0.00052551,0.01385729
12,0.25682548,0.00137240,0.22840858,0.00057720,0.02841690
13,0.27246422,0.00134581,0.25525269,0.00057653,0.01721153
14,0.24871704,0.00131071,0.23327394,0.00054770,0.01544310
15,0.23648170,0.00140549,0.20502694,0.00058754,0.03145476
16,0.22730961,0.00117830,0.20516981,0.00051598,0.02213980
17,0.26177788,0.00153435,0.23621330,0.00065179,0.02556458
18,0.21203412,0.00126088,0.19130218,0.00053183,0.02073194
19,0.21788153,0.00141855,0.19471189,0.00055715,0.02316964
20,0.21743134,0.00148830,0.19597171,0.00059707,0.02145962
21,0.21950682,0.00146065,0.19695893,0.00058060,0.02254789
22,0.23425820,0.00151107,0.21838389,0.00063084,0.01587431
23,0.23786277,0.00152317,0.21936615,0.00064268,0.01849662
24,0.27173313,0.00153191,0.25492883,0.00066116,0.01680431
25,0.28895101,0.00164923,0.28707519,0.00069047,0.00187582
26,0.27126759,0.00149668,0.25249422,0.00059312,0.01877338
27,0.26505345,0.00155892,0.25354558,0.00066996,0.01150787
28,0.28701013,0.00148326,0.26499262,0.00061828,0.02201751
29,0.29902220,0.00124328,0.28376690,0.00053782,0.01525530
30,0.34682035,0.00106465,0.34745577,0.00043569,-0.00063542
31,0.29867655,0.00129097,0.29587105,0.00052453,0.00280550
