model,group,classifier,reference,AUROC_delta,HALL_AUPR_delta
llava_1_5_7b,gated_generation,xgb,three_hidden,0.002716697736413254,-0.015836225222775502
llava_1_5_7b,gated_generation,xgb,one_hidden,0.01287132494864962,-0.0018914086019283793
llava_1_5_7b,gated_generation,rf,three_hidden,-0.0008068873940170196,-0.015532537868654606
llava_1_5_7b,gated_generation,rf,one_hidden,0.009347739818219347,-0.0015877212478074831
llava_1_5_7b,gated_vp_generation,xgb,three_hidden,0.0004927173710267407,-0.008134458680881362
llava_1_5_7b,gated_vp_generation,xgb,one_hidden,0.009177488024980751,-0.0005285152750009736
llava_1_5_7b,gated_vp_generation,rf,three_hidden,-0.006779108088956987,-0.015043534813534931
llava_1_5_7b,gated_vp_generation,rf,one_hidden,0.0019056625649970238,-0.007437591407654542
qwen3_vl_8b,attention_visual,xgb,three_hidden,-0.007052431832237915,-0.00588764384506546
qwen3_vl_8b,attention_visual,xgb,one_hidden,-0.0007160998068445057,0.010960502258729021
qwen3_vl_8b,attention_visual,rf,three_hidden,-0.035147032642934506,-0.05612358967886444
qwen3_vl_8b,attention_visual,rf,one_hidden,-0.028810700617541096,-0.03927544357506996
qwen3_vl_8b,attention_visual_prompt_sum,xgb,three_hidden,0.0014073734483003308,-0.015940005371324117
qwen3_vl_8b,attention_visual_prompt_sum,xgb,one_hidden,0.05274479628137485,0.08283457359688506
qwen3_vl_8b,attention_visual_prompt_sum,rf,three_hidden,-0.02958069764354665,-0.06969073645097001
qwen3_vl_8b,attention_visual_prompt_sum,rf,one_hidden,0.02175672518952787,0.029083842517239167
qwen3_vl_8b,attention_generation,xgb,three_hidden,0.004055669267111206,-0.004295912829592963
qwen3_vl_8b,attention_generation,xgb,one_hidden,0.03545986805343326,0.06739156941380675
qwen3_vl_8b,attention_generation,rf,three_hidden,-0.011348387508399727,-0.03061519072837715
qwen3_vl_8b,attention_generation,rf,one_hidden,0.02005581127792233,0.04107229151502256
