model,group,AUROC_delta,HALL_AUPR_delta
qwen2_5_vl_7b,attention_visual,-0.01710310782795421,-0.032778435706264264
qwen2_5_vl_7b,attention_visual_prompt_sum,-0.018373684885130692,-0.055756792410593004
qwen2_5_vl_7b,attention_generation,-0.03838012890389353,-0.08623407357668045
qwen2_5_vl_7b,attention_vp_generation,-0.024681297411456415,-0.07190967615012223
qwen2_5_vl_7b,gated_visual,-0.022543482427701877,-0.0540396995467009
qwen2_5_vl_7b,gated_visual_prompt_sum,-0.027636373898901834,-0.06996184300884628
qwen2_5_vl_7b,gated_generation,-0.046178802706017597,-0.10999553625841557
qwen2_5_vl_7b,gated_vp_generation,-0.03524043363072238,-0.0777326016940294
llava_1_5_7b,attention_visual,-0.003702807698043542,-0.012913916386075974
llava_1_5_7b,attention_visual_prompt_sum,-0.01903810534158512,-0.011313411112315097
llava_1_5_7b,attention_generation,-0.012773418110045065,-0.007523741110524895
llava_1_5_7b,attention_vp_generation,-0.005887335948169259,0.003597421514115129
llava_1_5_7b,gated_visual,-0.0067318427185961704,-0.0250857132253538
llava_1_5_7b,gated_visual_prompt_sum,-0.012847402883650494,-0.018786430970288315
llava_1_5_7b,gated_generation,-0.010154627212236367,-0.013944816620847122
llava_1_5_7b,gated_vp_generation,-0.00868477065395401,-0.007605943405880389
qwen3_vl_8b,attention_visual,-0.00633633202539341,-0.01684814610379448
qwen3_vl_8b,attention_visual_prompt_sum,-0.05133742283307452,-0.09877457896820918
qwen3_vl_8b,attention_generation,-0.03140419878632206,-0.07168748224339971
qwen3_vl_8b,attention_vp_generation,-0.035438900877482915,-0.08090866513426431
qwen3_vl_8b,gated_visual,-0.006181972447844686,-0.01310196779502748
qwen3_vl_8b,gated_visual_prompt_sum,-0.024335816464404192,-0.03568088205847042
qwen3_vl_8b,gated_generation,-0.03295911426416287,-0.07023831278187642
qwen3_vl_8b,gated_vp_generation,-0.014760505970114024,-0.034040288117334505
internvl_2_5_8b,attention_visual,-0.00709828247332378,0.00022635845794183318
internvl_2_5_8b,attention_visual_prompt_sum,-0.03001888780890727,-0.04981226204204808
internvl_2_5_8b,attention_generation,-0.013157824466210277,-0.013837450684870634
internvl_2_5_8b,attention_vp_generation,-0.02068513257070015,-0.029226672064427972
internvl_2_5_8b,gated_visual,-0.009439899027660736,-0.009365734046692276
internvl_2_5_8b,gated_visual_prompt_sum,-0.02976877120650545,-0.046845203474814856
internvl_2_5_8b,gated_generation,-0.02968398968914332,-0.07633790702935422
internvl_2_5_8b,gated_vp_generation,-0.01774737511081692,-0.039232758695970094
