model,group,classifier,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std,HALL_F1_mean,HALL_F1_std
qwen2_5_vl_7b,attention_visual,fixed_three_hidden,0.8462437132599797,0.004714289617452631,0.38359796657145045,0.012055040041183797,0.3151310557092523,0.04855912741319239
qwen2_5_vl_7b,attention_visual,searched_one_hidden,0.8291406054320255,0.004017502975893338,0.3508195308651862,0.005464566669362305,0.1702075492727397,0.025036519756667625
qwen2_5_vl_7b,attention_visual_prompt_sum,fixed_three_hidden,0.8407774685119138,0.017562343155069025,0.3879191398009418,0.029391585005631854,0.3018710397497078,0.029591566505013274
qwen2_5_vl_7b,attention_visual_prompt_sum,searched_one_hidden,0.8224037836267831,0.00037795039781638807,0.3321623473903488,0.002201721466770561,0.05460162068211379,0.00914727366461108
qwen2_5_vl_7b,attention_generation,fixed_three_hidden,0.8253612119458937,0.006302974459451248,0.3697348058233578,0.016848584775572318,0.3289881793784442,0.02245669407144671
qwen2_5_vl_7b,attention_generation,searched_one_hidden,0.7869810830420002,0.0009255686480402553,0.2835007322466774,0.0055734140830726465,0.0035460992907801418,0.00501494171054289
qwen2_5_vl_7b,attention_vp_generation,fixed_three_hidden,0.8467475931942694,0.0027067181490359068,0.41736964096486845,0.025069877962526858,0.38632193566116935,0.06507383751269041
qwen2_5_vl_7b,attention_vp_generation,searched_one_hidden,0.822066295782813,0.0010952859068749168,0.3454599648147462,0.00391071842686085,0.054390953507301075,0.004399987262924346
qwen2_5_vl_7b,gated_visual,fixed_three_hidden,0.8497320675775311,0.004354023650605566,0.4048896801574186,0.01077572084640904,0.38377578308477417,0.019485241404015582
qwen2_5_vl_7b,gated_visual,searched_one_hidden,0.8271885851498292,0.006491208987756019,0.3508499806107177,0.01417417215623846,0.17262201453790238,0.025610736760199135
qwen2_5_vl_7b,gated_visual_prompt_sum,fixed_three_hidden,0.8552847421392967,0.01062849094078257,0.4276635624592531,0.019141666260772537,0.35867461417475993,0.01960269709924058
qwen2_5_vl_7b,gated_visual_prompt_sum,searched_one_hidden,0.8276483682403949,0.004123429309234489,0.3577017194504068,0.0028180599262160964,0.017674209163570865,0.013208217763065406
