model,group,classifier,max_depth,n_estimators,learning_rate,validation_AUROC,validation_HALL_AUPR
qwen3_vl_8b,gated_visual,rf,20,400,,0.8400955315721961,0.5505454465749082
qwen3_vl_8b,gated_visual_prompt_sum,xgb,8,500,0.1,0.8882742349276158,0.6720185476239816
qwen3_vl_8b,gated_visual_prompt_sum,rf,,400,,0.8712469739494421,0.6464219009801344
qwen3_vl_8b,gated_generation,xgb,6,500,0.1,0.8771544033255212,0.6431976868758706
qwen3_vl_8b,gated_generation,rf,20,400,,0.8546163546579478,0.579443275397512
qwen3_vl_8b,gated_vp_generation,xgb,6,500,0.1,0.9076976215965973,0.7160110445995999
qwen3_vl_8b,gated_vp_generation,rf,,600,,0.8781122508029282,0.6534532862229985
internvl_2_5_8b,attention_visual,xgb,8,500,0.05,0.8471649574135234,0.5160808345664956
internvl_2_5_8b,attention_visual,rf,,600,,0.8262042992062112,0.4839866388589262
internvl_2_5_8b,attention_visual_prompt_sum,xgb,6,500,0.1,0.8603592328640128,0.5289315587606945
internvl_2_5_8b,attention_visual_prompt_sum,rf,,600,,0.8325673561620025,0.5048809402660327
internvl_2_5_8b,attention_generation,xgb,8,500,0.1,0.8423280607219421,0.48758081185396096
internvl_2_5_8b,attention_generation,rf,20,600,,0.8168897386870617,0.45156374285122647
internvl_2_5_8b,attention_vp_generation,xgb,8,500,0.1,0.869052668173127,0.5517553448652597
internvl_2_5_8b,attention_vp_generation,rf,,600,,0.8328976186337562,0.5049861720751073
internvl_2_5_8b,gated_visual,xgb,8,500,0.1,0.8451787473202388,0.5259237865852431
internvl_2_5_8b,gated_visual,rf,20,600,,0.8329845298105336,0.49596628079222665
internvl_2_5_8b,gated_visual_prompt_sum,xgb,8,500,0.05,0.8681580624601657,0.5616628830217212
internvl_2_5_8b,gated_visual_prompt_sum,rf,20,400,,0.837319659308187,0.5299639272886004
internvl_2_5_8b,gated_generation,xgb,8,500,0.05,0.8360333738918826,0.5015353829390199
internvl_2_5_8b,gated_generation,rf,,600,,0.8189396836433166,0.46375258078203513
internvl_2_5_8b,gated_vp_generation,xgb,8,500,0.1,0.8794032099194623,0.5898988416973291
internvl_2_5_8b,gated_vp_generation,rf,20,200,,0.8432759719566603,0.5238516117582561
