model,group,classifier,seed,threshold_rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
qwen2_5_vl_7b,attention_visual,three_hidden,43,fixed_0.5,0.5,0.8476330578162538,0.37272863361653974,0.4318181818181818,0.10382513661202186,0.16740088105726872
qwen2_5_vl_7b,attention_visual,three_hidden,43,train_f1,0.5307554602622986,0.8476330578162538,0.37272863361653974,0.4696969696969697,0.16939890710382513,0.24899598393574296
qwen2_5_vl_7b,attention_visual,three_hidden,44,fixed_0.5,0.5,0.8511960827891782,0.4004071302434321,0.5813953488372093,0.1366120218579235,0.22123893805309736
qwen2_5_vl_7b,attention_visual,three_hidden,44,train_f1,0.596285343170166,0.8511960827891782,0.4004071302434321,0.4528301886792453,0.26229508196721313,0.33217993079584773
qwen2_5_vl_7b,attention_visual,three_hidden,45,fixed_0.5,0.5,0.839901999174507,0.37765813585437963,0.45714285714285713,0.26229508196721313,0.3333333333333333
qwen2_5_vl_7b,attention_visual,three_hidden,45,train_f1,0.5330763459205627,0.839901999174507,0.37765813585437963,0.43846153846153846,0.3114754098360656,0.36421725239616615
qwen2_5_vl_7b,attention_visual,one_hidden,43,fixed_0.5,0.5,0.8334620961170083,0.35560593388900263,0.4482758620689655,0.14207650273224043,0.2157676348547718
qwen2_5_vl_7b,attention_visual,one_hidden,43,train_f1,0.47052615880966187,0.8334620961170083,0.35560593388900263,0.46,0.12568306010928962,0.19742489270386265
qwen2_5_vl_7b,attention_visual,one_hidden,44,fixed_0.5,0.5,0.8301742354489234,0.353680850539462,0.4857142857142857,0.09289617486338798,0.1559633027522936
qwen2_5_vl_7b,attention_visual,one_hidden,44,train_f1,0.5384069681167603,0.8301742354489234,0.353680850539462,0.45454545454545453,0.1092896174863388,0.1762114537444934
qwen2_5_vl_7b,attention_visual,one_hidden,45,fixed_0.5,0.5,0.8237854847301449,0.3431718081670937,0.42857142857142855,0.04918032786885246,0.08823529411764706
qwen2_5_vl_7b,attention_visual,one_hidden,45,train_f1,0.5545403361320496,0.8237854847301449,0.3431718081670937,0.4166666666666667,0.08196721311475409,0.136986301369863
qwen2_5_vl_7b,attention_visual,xgb,43,fixed_0.5,0.5,0.8188095968842933,0.33853525230543824,0.4642857142857143,0.14207650273224043,0.2175732217573222
qwen2_5_vl_7b,attention_visual,xgb,43,train_f1,0.9341276288032532,0.8188095968842933,0.33853525230543824,0.35185185185185186,0.5191256830601093,0.4194260485651214
qwen2_5_vl_7b,attention_visual,xgb,44,fixed_0.5,0.5,0.8188095968842933,0.33853525230543824,0.4642857142857143,0.14207650273224043,0.2175732217573222
qwen2_5_vl_7b,attention_visual,xgb,44,train_f1,0.9341276288032532,0.8188095968842933,0.33853525230543824,0.35185185185185186,0.5191256830601093,0.4194260485651214
qwen2_5_vl_7b,attention_visual,xgb,45,fixed_0.5,0.5,0.8188095968842933,0.33853525230543824,0.4642857142857143,0.14207650273224043,0.2175732217573222
qwen2_5_vl_7b,attention_visual,xgb,45,train_f1,0.9341276288032532,0.8188095968842933,0.33853525230543824,0.35185185185185186,0.5191256830601093,0.4194260485651214
qwen2_5_vl_7b,attention_visual,rf,43,fixed_0.5,0.5,0.8022521140026881,0.32754071311066957,0.5714285714285714,0.02185792349726776,0.042105263157894736
qwen2_5_vl_7b,attention_visual,rf,43,train_f1,0.7678754812883091,0.8022521140026881,0.32754071311066957,0.32489451476793246,0.4207650273224044,0.36666666666666664
qwen2_5_vl_7b,attention_visual,rf,44,fixed_0.5,0.5,0.7999626058765217,0.32716929164256575,0.6,0.03278688524590164,0.06217616580310881
qwen2_5_vl_7b,attention_visual,rf,44,train_f1,0.78,0.7999626058765217,0.32716929164256575,0.3210332103321033,0.47540983606557374,0.3832599118942731
qwen2_5_vl_7b,attention_visual,rf,45,fixed_0.5,0.5,0.7979041652114708,0.3218323953844344,0.5714285714285714,0.02185792349726776,0.042105263157894736
qwen2_5_vl_7b,attention_visual,rf,45,train_f1,0.76,0.7979041652114708,0.3218323953844344,0.32367149758454106,0.366120218579235,0.3435897435897436
qwen2_5_vl_7b,attention_visual_prompt_sum,three_hidden,43,fixed_0.5,0.5,0.8160032737496781,0.3479950215098815,0.22589928057553957,0.8579234972677595,0.357630979498861
qwen2_5_vl_7b,attention_visual_prompt_sum,three_hidden,43,train_f1,0.2700470983982086,0.8160032737496781,0.3479950215098815,0.4069767441860465,0.1912568306010929,0.26022304832713755
qwen2_5_vl_7b,attention_visual_prompt_sum,three_hidden,44,fixed_0.5,0.5,0.8546920805596419,0.3978638895409483,0.41911764705882354,0.3114754098360656,0.3573667711598746
qwen2_5_vl_7b,attention_visual_prompt_sum,three_hidden,44,train_f1,0.4592675566673279,0.8546920805596419,0.3978638895409483,0.45454545454545453,0.2459016393442623,0.3191489361702128
qwen2_5_vl_7b,attention_visual_prompt_sum,three_hidden,45,fixed_0.5,0.5,0.8516370512264214,0.4178985083519956,0.5094339622641509,0.14754098360655737,0.2288135593220339
qwen2_5_vl_7b,attention_visual_prompt_sum,three_hidden,45,train_f1,0.6209713220596313,0.8516370512264214,0.4178985083519956,0.46464646464646464,0.25136612021857924,0.3262411347517731
qwen2_5_vl_7b,attention_visual_prompt_sum,one_hidden,43,fixed_0.5,0.5,0.8229141310981526,0.3350437101462031,0.375,0.03278688524590164,0.06030150753768844
qwen2_5_vl_7b,attention_visual_prompt_sum,one_hidden,43,train_f1,0.47899359464645386,0.8229141310981526,0.3350437101462031,0.42857142857142855,0.03278688524590164,0.06091370558375635
qwen2_5_vl_7b,attention_visual_prompt_sum,one_hidden,44,fixed_0.5,0.5,0.8220110277386786,0.3317437607378453,0.4444444444444444,0.06557377049180328,0.11428571428571428
qwen2_5_vl_7b,attention_visual_prompt_sum,one_hidden,44,train_f1,0.3593091368675232,0.8220110277386786,0.3317437607378453,0.4444444444444444,0.02185792349726776,0.041666666666666664
qwen2_5_vl_7b,attention_visual_prompt_sum,one_hidden,45,fixed_0.5,0.5,0.8222861920435183,0.32969957128699784,0.4375,0.15300546448087432,0.22672064777327935
qwen2_5_vl_7b,attention_visual_prompt_sum,one_hidden,45,train_f1,0.3099760115146637,0.8222861920435183,0.32969957128699784,0.46153846153846156,0.03278688524590164,0.061224489795918366
qwen2_5_vl_7b,attention_visual_prompt_sum,xgb,43,fixed_0.5,0.5,0.8375190057396451,0.38227154932751556,0.5128205128205128,0.1092896174863388,0.18018018018018017
qwen2_5_vl_7b,attention_visual_prompt_sum,xgb,43,train_f1,0.6760478019714355,0.8375190057396451,0.38227154932751556,0.4766355140186916,0.2786885245901639,0.35172413793103446
qwen2_5_vl_7b,attention_visual_prompt_sum,xgb,44,fixed_0.5,0.5,0.8375190057396451,0.38227154932751556,0.5128205128205128,0.1092896174863388,0.18018018018018017
qwen2_5_vl_7b,attention_visual_prompt_sum,xgb,44,train_f1,0.6760478019714355,0.8375190057396451,0.38227154932751556,0.4766355140186916,0.2786885245901639,0.35172413793103446
qwen2_5_vl_7b,attention_visual_prompt_sum,xgb,45,fixed_0.5,0.5,0.8375190057396451,0.38227154932751556,0.5128205128205128,0.1092896174863388,0.18018018018018017
