model,variant,selected,trial,validation_AUROC,validation_HALL_AUPR,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen2_5_vl_7b,raw_js_attention32,False,22,0.8418596323704941,0.46110362532095023,0.8384006286266925,0.002282977909227418,0.42786109318713716,0.003523362245818576
qwen2_5_vl_7b,norm_js_attention32,False,21,0.8502506564812604,0.4970862801006806,0.8271427707930368,0.003831540776979784,0.42424557178424577,0.02575234940691142
qwen2_5_vl_7b,raw_js_union32,False,21,0.8480703429617251,0.455499571351087,0.8413322050290136,0.0036782291170603045,0.4480570636390928,0.014526350799982901
qwen2_5_vl_7b,norm_js_union32,False,21,0.8594453728017823,0.49107438628800276,0.8573500967117988,0.0017639394757927994,0.49734226639286055,0.0026399465078498804
qwen2_5_vl_7b,raw_full_product,False,19,0.8579036365083154,0.49786110590468957,0.8250448299484203,0.007179425482997322,0.4085142323223397,0.014546844886283716
qwen2_5_vl_7b,norm_full_product,True,16,0.8645301185644944,0.5193740812463862,0.8404507172791748,0.002681211217755204,0.42840823062863703,0.007038729163982941
llava_1_5_7b,raw_js_attention32,False,14,0.9040754769921436,0.7634846289695459,0.894466557977443,0.0005414063921335482,0.7118486029372783,0.0032627901855217063
llava_1_5_7b,norm_js_attention32,False,8,0.9047413620330288,0.7603762538118132,0.8971302250893561,0.00019805991718340192,0.7030030714927243,0.0008674031572556958
llava_1_5_7b,raw_js_union32,False,22,0.9073723344556678,0.7596537862264388,0.9099921551823223,0.00045399403270358565,0.747021434762912,0.0006901625684260209
llava_1_5_7b,norm_js_union32,False,6,0.9148869648869647,0.7881446392933494,0.916082768963982,0.0003159058131876007,0.7594566698821116,0.0016883967085640234
llava_1_5_7b,raw_full_product,False,13,0.9215568382235048,0.787812296727648,0.9199571938540373,0.0006362091963926773,0.7637401260377867,0.003104343046615788
llava_1_5_7b,norm_full_product,True,10,0.9226881914381915,0.7928932453631717,0.9258603354635975,0.00045200658890517,0.7741532499010928,0.002546418246314687
qwen3_vl_8b,raw_js_attention32,False,21,0.8895460330130932,0.7009701339670936,0.9001848109573899,0.000929105568808413,0.7095380579847613,0.0020044137940474697
qwen3_vl_8b,norm_js_attention32,False,17,0.8769877265904165,0.6866103273620281,0.904747511385161,0.0025290985597246425,0.72464524418977,0.0053682699024561594
qwen3_vl_8b,raw_js_union32,False,18,0.8898819962667762,0.7088884016992058,0.9018961834522227,0.0006184698492617171,0.7208453220124289,0.008086840733668952
qwen3_vl_8b,norm_js_union32,False,6,0.8858477495165488,0.7059209964832992,0.8960150497147233,0.001527243760795718,0.717642940209712,0.0018106144370325426
qwen3_vl_8b,raw_full_product,False,6,0.8959212717149848,0.7222212090101029,0.8971679591918983,0.00044486479210668694,0.7206196115479551,0.005498562399209717
qwen3_vl_8b,norm_full_product,True,23,0.8979908053576732,0.7152356951074322,0.9000466345406496,0.00047352678251912507,0.7198433805961416,0.0036469320606802953
internvl_2_5_8b,raw_js_attention32,False,6,0.8576023787433638,0.5938378436821096,0.8690384994199917,0.0003066473942151924,0.6145319259992105,0.003422444714533253
internvl_2_5_8b,norm_js_attention32,False,19,0.8707170377815577,0.6549863279401302,0.8595394952833285,0.0025868948623240244,0.5842573338193799,0.004663189117988196
internvl_2_5_8b,raw_js_union32,False,8,0.8715159656718726,0.6169285159034881,0.8732079931712229,0.0007394932791692571,0.6302360263650925,0.004348322646659424
internvl_2_5_8b,norm_js_union32,False,17,0.8655884361630845,0.641972821878921,0.8701164394055462,0.0015097344534553423,0.6100076248540195,0.0034345629304717872
internvl_2_5_8b,raw_full_product,False,10,0.8746867107365599,0.6393300039439592,0.8897509976872625,0.0010307713034032721,0.6423475341941812,0.0110230122240699
internvl_2_5_8b,norm_full_product,True,17,0.8794053785887326,0.6383647835196348,0.8835934251132658,0.0012903187070162027,0.6292089758921838,0.007209575272144259
