model,label,layer,n_mentions,mean,q25,median,q75,raw_bounded_strength_real_auroc
qwen3_vl_8b,HALL,1,2593,0.4164572060108185,0.3005205988883972,0.4046862721443176,0.5183768272399902,0.6751767160646742
qwen3_vl_8b,HALL,2,2593,0.4211154282093048,0.3020646274089813,0.3890274167060852,0.5130280256271362,0.6679324251838137
qwen3_vl_8b,HALL,3,2593,0.43409842252731323,0.31862300634384155,0.40555691719055176,0.5282748937606812,0.6712036351942274
qwen3_vl_8b,HALL,4,2593,0.434685081243515,0.2954629361629486,0.40237417817115784,0.5652682781219482,0.6220256616724307
qwen3_vl_8b,HALL,5,2593,0.37813568115234375,0.1996840089559555,0.35243260860443115,0.5372427701950073,0.6698093463860985
qwen3_vl_8b,HALL,6,2593,0.38791173696517944,0.27368831634521484,0.3740544021129608,0.4891129434108734,0.7178309241493321
qwen3_vl_8b,HALL,7,2593,0.3610144555568695,0.19318482279777527,0.3456711173057556,0.5211016535758972,0.692462025046134
qwen3_vl_8b,HALL,8,2593,0.40272626280784607,0.29744186997413635,0.40212762355804443,0.5026900172233582,0.6971320304854839
qwen3_vl_8b,HALL,9,2593,0.4298335909843445,0.34037458896636963,0.4421783983707428,0.5277471542358398,0.6540279454457064
qwen3_vl_8b,HALL,10,2593,0.4199177324771881,0.3322383761405945,0.4347552955150604,0.5167456865310669,0.6427599487972504
qwen3_vl_8b,HALL,11,2593,0.42574310302734375,0.3443070650100708,0.43687501549720764,0.5168944597244263,0.6677347619687684
qwen3_vl_8b,HALL,12,2593,0.44244322180747986,0.373779833316803,0.45423585176467896,0.5212093591690063,0.6493592904223473
qwen3_vl_8b,HALL,13,2593,0.4252699613571167,0.35846394300460815,0.42550939321517944,0.49054649472236633,0.7354214899547893
qwen3_vl_8b,HALL,14,2593,0.4585994780063629,0.3933655917644501,0.46951326727867126,0.5446330308914185,0.6032509066630153
qwen3_vl_8b,HALL,15,2593,0.4295678734779358,0.37188827991485596,0.44291719794273376,0.5022082924842834,0.6995969165292174
qwen3_vl_8b,HALL,16,2593,0.45699289441108704,0.4038607180118561,0.4733119606971741,0.5295868515968323,0.5937309135972444
qwen3_vl_8b,HALL,17,2593,0.43244320154190063,0.3695458471775055,0.440722793340683,0.5012466907501221,0.7019969354978512
qwen3_vl_8b,HALL,18,2593,0.4512040615081787,0.4009878635406494,0.468475341796875,0.518603503704071,0.631636101204571
qwen3_vl_8b,HALL,19,2593,0.4533843994140625,0.40859028697013855,0.47371092438697815,0.5147930383682251,0.6399398562403665
